Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : GENARO HERRERA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
,Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
,Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-08-01,3.82,3.80,3.79,3.78
2017-08-02,3.73,3.71,3.69,3.68
2017-08-03,3.59,3.57,3.54,3.52
2017-08-04,3.43,3.41,3.39,3.36
2017-08-05,3.29,3.26,3.24,3.22
2017-08-06,3.14,3.12,3.10,3.09
2017-08-07,3.01,2.99,2.97,2.94
2017-08-08,2.88,2.87,2.86,2.85
2017-08-09,2.80,2.79,2.78,2.76
2017-08-10,2.72,2.72,2.72,2.72
2017-08-11,2.68,2.66,2.64,2.62
2017-08-12,2.58,2.57,2.56,2.55
2017-08-13,2.52,2.52,2.51,2.50
2017-08-14,2.48,2.48,2.48,2.48
2017-08-15,2.46,2.46,2.46,2.45
2017-08-16,2.44,2.43,2.42,2.41
2017-08-17,2.38,2.37,2.36,2.35
2017-08-18,2.30,2.30,2.30,2.29
2017-08-19,2.27,2.26,2.25,2.24
2017-08-20,2.21,2.21,2.21,2.21
2017-08-21,2.21,2.21,2.21,2.22
2017-08-22,2.25,2.25,2.25,2.26
2017-08-23,2.30,2.31,2.32,2.34
2017-08-24,2.40,2.41,2.43,2.45
2017-08-25,2.54,2.58,2.62,2.66
2017-08-26,2.93,3.00,3.07,3.14
2017-08-27,3.43,3.50,3.58,3.65
2017-08-28,3.83,3.87,3.90,3.93
2017-08-29,4.03,4.05,4.06,4.08
2017-08-30,4.08,4.06,4.05,4.04
2017-08-31,3.96,3.95,3.93,3.92
