Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : GENARO HERRERA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
,Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
,Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-07-01,8.38,8.36,8.34,8.27
2019-07-02,8.19,8.17,8.14,8.10
2019-07-03,8.07,8.06,8.05,8.04
2019-07-04,8.03,8.03,8.04,8.05
2019-07-05,8.08,8.08,8.09,8.10
2019-07-06,8.12,8.13,8.14,8.16
2019-07-07,8.18,8.18,8.18,8.19
2019-07-08,8.19,8.19,8.18,8.18
2019-07-09,8.17,8.16,8.14,8.12
2019-07-10,8.09,8.09,8.08,8.08
2019-07-11,8.09,8.09,8.12,8.17
2019-07-12,8.18,8.18,8.18,8.19
2019-07-13,8.25,8.25,8.29,8.34
2019-07-14,8.37,8.37,8.39,8.40
2019-07-15,8.42,8.42,8.42,8.42
2019-07-16,8.40,8.39,8.38,8.37
2019-07-17,8.32,8.31,8.29,8.27
2019-07-18,8.22,8.21,8.20,8.19
2019-07-19,8.16,8.15,8.14,8.12
2019-07-20,8.10,8.10,8.09,8.08
2019-07-21,8.06,8.06,8.04,8.03
2019-07-22,8.03,8.03,8.03,8.03
2019-07-23,8.03,8.03,8.03,8.03
2019-07-24,8.00,8.00,7.98,7.97
2019-07-25,7.95,7.94,7.93,7.92
2019-07-26,7.90,7.90,7.90,7.90
2019-07-27,7.90,7.90,7.89,7.88
2019-07-28,7.87,7.86,7.85,7.84
2019-07-29,7.82,7.81,7.75,7.67
2019-07-30,7.56,7.54,7.52,7.50
2019-07-31,7.45,7.44,7.43,7.43
