AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/10/08,02:00,5.97,0.3
2025/10/08,03:00,5.98,0.0
2025/10/08,04:00,5.98,0.0
2025/10/08,05:00,5.99,0.0
2025/10/08,06:00,6.00,0.0
2025/10/08,07:00,6.00,0.0
2025/10/08,08:00,6.00,0.0
2025/10/08,09:00,6.01,0.0
2025/10/08,10:00,6.01,0.0
2025/10/08,11:00,6.02,0.0
2025/10/08,12:00,6.02,0.0
2025/10/08,13:00,6.03,0.0
2025/10/08,14:00,6.03,0.0
2025/10/08,15:00,6.04,0.0
2025/10/08,16:00,6.06,0.0
2025/10/08,17:00,6.06,0.0
2025/10/08,18:00,6.06,0.0
2025/10/08,19:00,6.06,0.0
2025/10/08,20:00,6.07,0.0
2025/10/08,21:00,6.07,0.0
2025/10/08,22:00,6.08,0.0
2025/10/08,23:00,6.08,0.0
2025/10/09,00:00,6.09,0.0
2025/10/09,01:00,6.10,0.0
2025/10/09,02:00,6.10,0.0
2025/10/09,03:00,6.11,0.0
2025/10/09,04:00,6.11,0.0
2025/10/09,05:00,6.12,0.0
2025/10/09,06:00,6.13,0.0
2025/10/09,07:00,6.12,0.0
2025/10/09,08:00,6.14,0.0
2025/10/09,09:00,6.13,0.0
2025/10/09,10:00,6.14,0.0
2025/10/09,11:00,6.14,0.0
2025/10/09,12:00,6.15,0.0
2025/10/09,13:00,6.15,0.0
2025/10/09,14:00,6.16,0.0
2025/10/09,15:00,6.16,0.0
2025/10/09,16:00,6.17,0.0
2025/10/09,17:00,6.18,0.0
2025/10/09,18:00,6.18,0.0
2025/10/09,19:00,6.18,0.0
2025/10/09,20:00,6.19,S/D
2025/10/09,21:00,6.19,0.0
2025/10/09,22:00,6.20,0.0
2025/10/09,23:00,6.20,0.0
2025/10/10,00:00,6.21,0.0
2025/10/10,01:00,6.20,0.0
2025/10/10,02:00,6.21,0.0
2025/10/10,03:00,6.21,0.0
2025/10/10,04:00,6.22,0.0
2025/10/10,05:00,6.22,0.0
2025/10/10,06:00,6.23,0.0
2025/10/10,07:00,6.22,0.0
2025/10/10,08:00,6.23,0.0
2025/10/10,09:00,6.23,0.0
2025/10/10,10:00,6.23,0.0
2025/10/10,11:00,6.23,0.0
2025/10/10,12:00,6.24,0.0
2025/10/10,13:00,6.24,0.0
2025/10/10,14:00,6.24,0.0
2025/10/10,15:00,6.25,0.0
2025/10/10,16:00,6.25,0.0
2025/10/10,17:00,6.24,0.0
2025/10/10,18:00,6.26,0.0
2025/10/10,19:00,6.25,0.0
2025/10/10,20:00,6.25,0.0
2025/10/10,21:00,S/D,S/D
2025/10/10,22:00,6.25,0.0
2025/10/10,23:00,6.25,0.0
2025/10/11,00:00,6.25,0.0
2025/10/11,01:00,6.25,0.0
2025/10/11,03:00,6.26,0.0
2025/10/11,04:00,6.25,0.0
2025/10/11,05:00,6.26,0.0
2025/10/11,06:00,6.26,0.0
2025/10/11,07:00,6.26,0.0
2025/10/11,08:00,6.26,0.0
2025/10/11,09:00,6.26,0.0
2025/10/11,10:00,6.26,0.0
2025/10/11,11:00,6.25,0.0
2025/10/11,12:00,6.26,0.0
2025/10/11,13:00,6.25,0.0
2025/10/11,14:00,6.26,0.0
2025/10/11,15:00,6.26,0.0
2025/10/11,16:00,6.26,0.0
2025/10/11,17:00,6.25,0.0
2025/10/11,18:00,6.26,0.0
2025/10/11,19:00,6.26,0.0
2025/10/11,20:00,6.26,0.0
2025/10/11,21:00,6.27,0.0
2025/10/11,22:00,6.27,0.0
2025/10/11,23:00,6.25,0.0
2025/10/12,00:00,6.26,0.0
2025/10/12,01:00,6.25,0.0
2025/10/12,02:00,6.25,0.0
2025/10/12,03:00,6.25,0.0
2025/10/12,04:00,6.25,0.0
2025/10/12,05:00,6.25,0.0
2025/10/12,06:00,6.25,0.0
2025/10/12,07:00,6.25,0.0
2025/10/12,08:00,6.25,0.0
2025/10/12,09:00,6.25,0.0
2025/10/12,10:00,6.25,0.0
2025/10/12,11:00,6.24,0.0
2025/10/12,12:00,6.24,0.0
2025/10/12,13:00,6.24,0.0
2025/10/12,14:00,6.24,0.0
2025/10/12,15:00,6.23,0.0
2025/10/12,16:00,6.23,0.0
2025/10/12,17:00,6.23,0.0
2025/10/12,18:00,6.22,0.0
2025/10/12,19:00,6.22,0.0
2025/10/12,20:00,6.22,0.0
2025/10/12,22:00,6.22,0.0
2025/10/12,23:00,6.21,0.0
2025/10/13,02:00,6.21,0.0
2025/10/13,03:00,6.20,0.0
2025/10/13,04:00,6.20,0.0
2025/10/13,05:00,6.20,0.0
2025/10/13,06:00,6.20,0.0
2025/10/13,07:00,6.20,0.0
2025/10/13,08:00,6.20,0.0
2025/10/13,09:00,6.20,0.0
2025/10/13,10:00,6.19,0.0
2025/10/13,11:00,6.19,0.0
2025/10/13,12:00,6.19,0.0
2025/10/13,13:00,6.19,0.0
2025/10/13,14:00,6.18,0.0
2025/10/13,15:00,6.18,0.0
2025/10/13,16:00,6.18,0.0
2025/10/13,17:00,6.17,0.0
2025/10/21,10:00,6.87,0.0
2025/10/21,11:00,6.87,0.0
2025/10/21,12:00,6.88,0.0
2025/10/21,13:00,6.88,0.0
2025/10/21,14:00,6.88,0.0
2025/10/21,15:00,6.89,0.0
2025/10/21,16:00,6.90,0.0
2025/10/21,17:00,6.90,0.0
2025/10/21,18:00,6.91,0.0
2025/10/21,19:00,6.91,0.0
2025/10/21,20:00,6.91,0.0
2025/10/21,21:00,6.92,0.0
2025/10/21,22:00,6.92,0.0
2025/10/21,23:00,6.93,0.0
2025/10/22,00:00,6.93,0.0
2025/10/22,01:00,6.94,0.0
2025/10/22,02:00,6.94,0.0
2025/10/22,03:00,6.95,0.0
2025/10/22,04:00,6.96,0.0
2025/10/22,05:00,6.97,0.0
2025/10/22,06:00,6.98,0.0
2025/10/22,07:00,6.98,0.0
2025/10/22,08:00,6.99,0.0
2025/10/22,09:00,6.99,0.0
2025/10/22,11:00,7.01,0.0
2025/10/22,12:00,7.02,0.0
2025/10/22,13:00,7.03,0.0
