AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2021/09/01,08:00,S/D,0.0
2021/09/01,09:00,S/D,0.0
2021/09/01,10:00,S/D,0.0
2021/09/01,11:00,S/D,0.0
2021/09/01,14:00,S/D,0.0
2021/09/01,15:00,S/D,0.0
2021/09/01,16:00,S/D,0.0
2021/09/01,17:00,S/D,0.0
2021/09/01,18:00,S/D,0.0
2021/09/01,19:00,S/D,4.8
2021/09/01,20:00,S/D,0.0
2021/09/02,08:00,S/D,0.0
2021/09/02,09:00,S/D,0.0
2021/09/02,10:00,S/D,0.0
2021/09/02,15:00,S/D,0.0
2021/09/02,16:00,S/D,0.0
2021/09/02,17:00,S/D,0.0
2021/09/02,18:00,S/D,0.0
2021/09/02,19:00,S/D,0.0
2021/09/02,20:00,S/D,0.0
2021/09/02,21:00,S/D,0.0
2021/09/02,22:00,S/D,0.0
2021/09/03,07:00,S/D,0.0
2021/09/03,08:00,S/D,0.0
2021/09/03,14:00,S/D,0.0
2021/09/03,15:00,S/D,0.0
2021/09/03,16:00,S/D,0.0
2021/09/03,17:00,S/D,0.0
2021/09/03,18:00,S/D,0.0
2021/09/03,19:00,S/D,0.0
2021/09/03,20:00,S/D,0.0
2021/09/03,21:00,S/D,0.0
2021/09/03,22:00,S/D,0.0
2021/09/04,07:00,S/D,0.0
2021/09/04,08:00,S/D,0.0
2021/09/04,14:00,S/D,0.0
2021/09/04,15:00,S/D,0.0
2021/09/04,16:00,S/D,1.5
2021/09/04,17:00,S/D,0.9
2021/09/04,18:00,S/D,0.0
2021/09/04,19:00,S/D,0.0
2021/09/04,20:00,S/D,0.0
2021/09/04,21:00,S/D,0.0
2021/09/05,08:00,S/D,0.0
2021/09/05,09:00,S/D,0.0
2021/09/05,11:00,S/D,0.0
2021/09/05,14:00,S/D,0.0
2021/09/05,15:00,S/D,0.0
2021/09/05,16:00,S/D,0.3
2021/09/05,17:00,S/D,0.0
2021/09/05,18:00,S/D,0.0
2021/09/05,19:00,S/D,0.6
2021/09/05,20:00,S/D,0.9
2021/09/06,08:00,S/D,0.0
2021/09/06,09:00,S/D,0.0
2021/09/06,10:00,S/D,0.0
2021/09/06,11:00,S/D,0.0
2021/09/06,13:00,S/D,0.0
2021/09/06,14:00,S/D,0.0
2021/09/06,15:00,S/D,0.0
2021/09/06,16:00,S/D,0.0
2021/09/06,17:00,S/D,0.0
2021/09/06,18:00,S/D,0.0
2021/09/06,19:00,S/D,0.0
2021/09/06,20:00,S/D,0.0
2021/09/06,21:00,S/D,0.0
2021/09/06,22:00,S/D,0.0
2021/09/06,23:00,S/D,3.9
2021/09/07,00:00,S/D,0.9
2021/09/07,01:00,S/D,S/D
2021/09/07,08:00,S/D,0.0
2021/09/07,09:00,S/D,0.0
2021/09/07,10:00,S/D,0.0
2021/09/07,14:00,S/D,0.0
2021/09/07,15:00,S/D,0.0
2021/09/07,16:00,S/D,0.0
2021/09/07,17:00,S/D,0.0
2021/09/07,18:00,S/D,0.0
2021/09/07,19:00,S/D,0.0
2021/09/07,20:00,S/D,0.0
2021/09/07,21:00,S/D,0.0
2021/09/07,22:00,S/D,0.0
2021/09/08,07:00,S/D,0.0
2021/09/08,08:00,S/D,0.0
2021/09/08,14:00,S/D,0.0
2021/09/08,15:00,S/D,0.0
2021/09/08,16:00,S/D,0.0
2021/09/08,17:00,S/D,0.0
2021/09/08,18:00,S/D,0.0
2021/09/08,19:00,S/D,0.0
2021/09/08,20:00,S/D,0.0
2021/09/08,21:00,S/D,0.0
2021/09/08,22:00,S/D,0.0
2021/09/09,07:00,S/D,0.0
2021/09/09,08:00,S/D,0.0
2021/09/09,14:00,S/D,0.0
2021/09/09,15:00,S/D,0.0
2021/09/09,16:00,S/D,0.0
2021/09/09,17:00,S/D,0.0
2021/09/09,18:00,S/D,1.2
2021/09/09,19:00,S/D,3.6
2021/09/09,20:00,S/D,0.0
2021/09/09,21:00,S/D,0.0
2021/09/09,22:00,S/D,0.0
2021/09/10,10:00,S/D,0.0
2021/09/10,11:00,S/D,0.0
2021/09/10,12:00,S/D,0.0
2021/09/10,13:00,S/D,0.0
2021/09/10,14:00,S/D,0.0
2021/09/10,15:00,S/D,0.0
2021/09/10,16:00,S/D,0.0
2021/09/10,17:00,S/D,0.0
2021/09/10,18:00,S/D,0.0
2021/09/10,19:00,S/D,0.0
2021/09/10,20:00,S/D,0.0
2021/09/10,21:00,S/D,0.0
2021/09/10,22:00,S/D,0.0
2021/09/10,23:00,S/D,0.0
2021/09/11,00:00,S/D,0.0
2021/09/11,07:00,S/D,0.0
2021/09/11,08:00,S/D,0.0
2021/09/11,09:00,S/D,0.0
2021/09/11,10:00,S/D,0.0
2021/09/11,11:00,S/D,0.3
2021/09/11,12:00,S/D,0.0
2021/09/11,14:00,S/D,0.0
2021/09/11,15:00,S/D,0.0
2021/09/11,16:00,S/D,0.3
2021/09/11,17:00,S/D,0.0
2021/09/11,18:00,S/D,0.0
2021/09/11,19:00,S/D,0.0
2021/09/11,20:00,S/D,0.0
2021/09/12,07:00,S/D,0.0
2021/09/12,08:00,S/D,0.0
2021/09/12,10:00,S/D,0.0
2021/09/12,12:00,S/D,0.0
2021/09/12,15:00,S/D,0.0
2021/09/12,16:00,S/D,0.0
2021/09/12,17:00,S/D,0.0
2021/09/12,18:00,S/D,0.0
2021/09/12,19:00,S/D,0.0
2021/09/12,20:00,S/D,0.0
2021/09/12,21:00,S/D,0.0
2021/09/12,22:00,S/D,0.0
2021/09/13,07:00,S/D,0.0
2021/09/13,08:00,S/D,0.0
2021/09/13,13:00,S/D,0.0
2021/09/13,14:00,S/D,0.0
2021/09/13,15:00,S/D,0.0
2021/09/13,16:00,S/D,0.0
2021/09/13,17:00,S/D,0.0
2021/09/13,18:00,S/D,0.0
2021/09/13,19:00,S/D,0.0
2021/09/13,20:00,S/D,0.0
2021/09/13,21:00,S/D,0.0
2021/09/13,22:00,S/D,0.0
2021/09/14,07:00,S/D,0.0
2021/09/14,08:00,S/D,0.0
2021/09/14,14:00,S/D,0.0
2021/09/14,15:00,S/D,0.0
2021/09/14,16:00,S/D,0.0
2021/09/14,17:00,S/D,0.0
2021/09/14,18:00,S/D,0.0
2021/09/14,19:00,S/D,0.0
2021/09/14,20:00,S/D,0.0
2021/09/15,07:00,S/D,0.0
2021/09/15,08:00,S/D,0.0
2021/09/15,14:00,S/D,0.0
2021/09/15,15:00,S/D,0.0
2021/09/15,16:00,S/D,0.0
2021/09/15,17:00,S/D,0.0
2021/09/15,18:00,S/D,0.0
2021/09/15,19:00,S/D,0.0
2021/09/15,20:00,S/D,0.0
2021/09/16,08:00,S/D,0.0
2021/09/16,09:00,S/D,0.0
2021/09/16,11:00,S/D,0.0
2021/09/16,13:00,S/D,0.0
2021/09/16,15:00,S/D,0.0
2021/09/16,16:00,S/D,0.0
2021/09/16,17:00,S/D,0.0
2021/09/16,18:00,S/D,0.0
2021/09/16,19:00,S/D,0.0
2021/09/16,20:00,S/D,0.0
2021/09/16,21:00,S/D,0.0
2021/09/17,08:00,S/D,0.0
2021/09/17,10:00,S/D,0.0
2021/09/17,11:00,S/D,0.0
2021/09/17,12:00,S/D,0.0
2021/09/17,13:00,S/D,0.3
2021/09/17,14:00,S/D,0.9
2021/09/17,15:00,S/D,0.0
2021/09/17,16:00,S/D,0.0
2021/09/17,17:00,S/D,0.0
2021/09/17,18:00,S/D,0.0
2021/09/17,19:00,S/D,0.0
2021/09/17,20:00,S/D,0.0
2021/09/17,21:00,S/D,0.0
2021/09/17,22:00,S/D,0.0
2021/09/17,23:00,S/D,0.0
2021/09/18,00:00,S/D,0.0
2021/09/18,07:00,S/D,0.0
2021/09/18,08:00,S/D,0.0
2021/09/18,13:00,S/D,0.0
2021/09/18,14:00,S/D,0.0
2021/09/18,15:00,S/D,0.0
2021/09/18,16:00,S/D,0.0
2021/09/18,17:00,S/D,0.0
2021/09/18,18:00,S/D,0.0
2021/09/18,19:00,S/D,0.0
2021/09/18,20:00,S/D,0.0
2021/09/18,21:00,S/D,0.0
2021/09/19,07:00,S/D,0.0
2021/09/19,08:00,S/D,0.0
2021/09/19,14:00,S/D,0.0
2021/09/19,15:00,S/D,0.0
2021/09/19,16:00,S/D,0.0
2021/09/19,17:00,S/D,0.0
