Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : REQUENA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
,Latitud :,5°2'35.06'',Longitud :,73°50'10.09'',Altitud :,109 msnm.
,Tipo :,CO - Meteorológica,Código :,105095
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-08-01,32.4,21.2,92.6,0.0
2020-08-02,32,22.2,90.3,0.0
2020-08-03,33.2,21.8,92.3,0.0
2020-08-04,33,22,90.6,0.0
2020-08-05,33.6,22.6,90.8,0.0
2020-08-06,34,23,92.0,0.0
2020-08-07,32.2,23.8,92.4,0.0
2020-08-08,34,22.4,90.3,0.0
2020-08-09,33.2,22.8,89.3,0.0
2020-08-10,33.6,23,90.6,0.0
2020-08-11,34.2,23.4,92.6,20.2
2020-08-12,32.8,22,91.1,18.5
2020-08-13,33,21.8,92.1,0.0
2020-08-14,32.2,23,91.1,0.0
2020-08-15,33.6,22.8,92.9,S/D
2020-08-16,S/D,S/D,S/D,S/D
2020-08-17,34.8,23,90.9,17.4
2020-08-18,32.4,23.2,95.0,0.0
2020-08-19,35,23.6,89.6,0.0
2020-08-20,32.6,23.4,91.4,17.5
2020-08-21,32.4,23,94.1,0.0
2020-08-22,19.2,15.8,S/D,0.0
2020-08-23,25.2,16,96.8,0.0
2020-08-24,28,S/D,S/D,0.0
2020-08-25,30.4,18.4,S/D,0.0
2020-08-26,34.2,18.8,S/D,0.0
2020-08-27,35.6,20,97.3,0.0
2020-08-28,32.6,22.6,94.9,0.0
2020-08-29,33.4,23,93.3,0.0
2020-08-30,35,22.6,90.5,8.4
2020-08-31,33.4,22.2,92.2,9.7
