Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : IÑAPARI
,Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
,Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
,Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/10/01,00:00,21.8,0.0,99,248,0.9
2020/10/01,01:00,21.7,0.0,100,346,0.0
2020/10/01,02:00,21.5,0.0,100,26,0.0
2020/10/01,03:00,21.8,0.0,100,38,0.4
2020/10/01,04:00,21.4,0.0,100,85,0.2
2020/10/01,05:00,20.7,0.0,100,259,1.5
2020/10/01,06:00,21.2,0.0,100,223,0.0
2020/10/01,07:00,24.0,0.0,88,268,0.4
2020/10/01,08:00,28.4,0.0,71,277,2.0
2020/10/01,09:00,32.5,0.0,56,343,4.6
2020/10/01,10:00,33.9,0.0,47,341,6.4
2020/10/01,11:00,34.7,0.0,44,295,6.7
2020/10/01,12:00,35.3,0.0,46,306,4.2
2020/10/01,13:00,36.6,0.0,39,264,4.1
2020/10/01,14:00,36.9,0.0,40,25,4.0
2020/10/01,15:00,37.3,0.0,38,330,3.5
2020/10/01,16:00,34.7,0.0,46,353,6.9
2020/10/01,17:00,32.3,0.0,52,346,2.2
2020/10/01,18:00,29.5,0.0,61,341,1.4
2020/10/01,19:00,26.4,0.0,77,122,1.1
2020/10/01,20:00,26.1,0.0,79,270,1.6
2020/10/01,21:00,25.6,0.0,87,87,0.2
2020/10/01,22:00,24.7,0.0,91,79,0.6
2020/10/01,23:00,23.9,0.0,95,239,0.5
2020/10/02,00:00,23.4,0.0,95,252,1.0
2020/10/02,01:00,23.3,0.0,96,60,0.1
2020/10/02,02:00,22.7,0.0,99,66,0.2
2020/10/02,03:00,22.3,0.0,99,72,0.3
2020/10/02,04:00,21.9,0.0,99,239,1.0
2020/10/02,05:00,21.7,0.0,100,207,0.2
2020/10/02,06:00,22.0,0.0,100,108,0.0
2020/10/02,08:00,29.3,0.0,71,276,3.5
2020/10/02,09:00,32.5,0.0,62,271,4.5
2020/10/02,10:00,34.2,0.0,55,242,4.9
2020/10/02,11:00,34.9,0.0,51,213,5.0
2020/10/02,12:00,36.0,0.0,49,269,2.4
2020/10/02,13:00,36.6,0.0,46,3,3.3
2020/10/02,14:00,37.2,0.0,45,248,1.8
2020/10/02,15:00,37.3,0.0,41,331,1.6
2020/10/02,16:00,37.1,0.0,42,345,2.4
2020/10/02,17:00,35.3,0.0,48,137,0.8
2020/10/02,18:00,30.6,0.0,72,107,0.9
2020/10/02,19:00,28.5,0.0,86,91,0.3
2020/10/02,20:00,27.1,0.0,90,162,0.2
2020/10/02,21:00,27.5,0.0,83,50,2.2
2020/10/02,22:00,27.5,0.0,76,66,3.8
2020/10/02,23:00,26.6,0.0,79,169,2.8
2020/10/03,00:00,26.0,0.0,85,65,2.7
2020/10/03,01:00,25.6,0.0,89,62,1.6
2020/10/03,02:00,23.4,9.9,100,253,3.3
2020/10/03,03:00,23.4,0.3,100,330,3.1
2020/10/03,04:00,23.5,0.0,99,28,2.3
2020/10/03,05:00,23.5,0.0,100,194,2.8
2020/10/03,06:00,23.5,0.0,99,321,1.8
2020/10/03,07:00,25.4,0.0,93,294,5.2
2020/10/03,08:00,27.4,0.0,82,279,3.7
2020/10/03,09:00,29.6,0.0,76,299,3.2
2020/10/03,10:00,30.3,0.0,68,300,3.2
2020/10/03,11:00,32.5,0.0,66,250,2.7
2020/10/03,12:00,33.3,0.0,64,303,2.2
2020/10/03,13:00,35.7,0.0,50,345,3.5
2020/10/03,14:00,35.4,0.0,50,263,2.5
2020/10/03,15:00,34.7,0.0,58,233,4.6
2020/10/03,16:00,30.8,0.0,56,189,3.0
2020/10/03,17:00,31.7,0.0,56,151,1.7
2020/10/03,18:00,28.9,0.0,79,158,2.8
2020/10/03,19:00,26.6,0.0,78,37,3.7
2020/10/03,20:00,25.1,0.0,89,357,3.6
2020/10/03,21:00,24.2,0.0,93,332,2.3
2020/10/03,22:00,23.5,0.3,96,319,2.2
2020/10/03,23:00,23.3,0.0,98,263,1.3
2020/10/04,00:00,23.1,0.0,98,324,1.2
2020/10/04,01:00,23.0,0.0,99,249,1.1
2020/10/04,02:00,23.0,0.0,98,234,1.3
2020/10/04,03:00,22.8,0.0,99,228,2.2
2020/10/04,04:00,22.6,0.0,99,235,2.2
2020/10/04,05:00,22.5,0.0,98,206,2.8
2020/10/04,06:00,22.4,0.0,98,278,0.6
2020/10/04,07:00,25.2,0.0,88,267,1.7
2020/10/04,08:00,27.1,0.0,78,230,4.7
2020/10/04,09:00,30.5,0.0,67,211,2.7
2020/10/04,10:00,32.6,0.0,60,245,4.0
2020/10/04,11:00,34.1,0.0,54,214,3.1
2020/10/04,12:00,35.4,0.0,46,110,2.9
2020/10/04,13:00,35.9,0.0,48,135,2.3
2020/10/04,14:00,37.0,0.0,41,1,1.4
2020/10/04,15:00,34.1,0.0,52,20,4.7
2020/10/04,16:00,33.8,0.0,55,305,3.1
2020/10/04,17:00,31.8,0.0,58,305,2.2
2020/10/04,18:00,28.9,0.0,77,88,1.2
2020/10/04,19:00,26.8,0.0,87,345,0.4
2020/10/04,20:00,25.9,0.0,91,196,0.0
2020/10/04,21:00,25.3,0.0,93,302,0.1
2020/10/04,22:00,24.6,0.0,97,252,0.6
