Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : IÑAPARI
,Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
,Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
,Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/07/01,00:00,20.6,0.0,100,334,0.0
2020/07/01,01:00,20.2,0.0,100,236,0.5
2020/07/01,02:00,20.3,0.0,100,80,0.8
2020/07/01,03:00,19.6,0.0,100,279,0.0
2020/07/01,04:00,19.3,0.0,100,208,0.8
2020/07/01,05:00,19.3,0.0,100,61,0.0
2020/07/01,06:00,19.5,0.0,100,118,0.6
2020/07/01,07:00,20.1,0.0,100,279,0.1
2020/07/01,08:00,22.7,0.0,100,96,0.9
2020/07/01,09:00,28.1,0.0,77,7,1.3
2020/07/01,10:00,30.3,0.0,67,37,2.2
2020/07/01,11:00,32.2,0.0,64,174,2.0
2020/07/01,12:00,30.2,0.0,66,329,2.4
2020/07/01,13:00,30.9,0.0,64,343,2.4
2020/07/01,14:00,31.4,0.0,58,47,2.1
2020/07/01,15:00,31.4,0.0,60,73,1.9
2020/07/01,16:00,32.0,0.0,56,34,2.1
2020/07/01,17:00,29.9,0.0,70,105,2.0
2020/07/01,18:00,26.2,0.0,89,71,0.0
2020/07/01,19:00,24.0,0.0,96,189,0.7
2020/07/01,20:00,23.4,0.0,98,82,0.1
2020/07/01,21:00,22.6,0.0,99,321,0.0
2020/07/01,22:00,22.2,0.0,100,175,0.3
2020/07/01,23:00,21.6,0.0,100,31,0.3
2020/07/02,00:00,21.3,0.0,100,67,0.7
2020/07/02,01:00,20.7,0.0,100,170,0.8
2020/07/02,02:00,21.3,0.0,100,262,0.4
2020/07/02,03:00,22.6,0.0,100,107,0.6
2020/07/02,04:00,22.9,0.0,100,86,1.5
2020/07/02,05:00,23.0,0.0,100,95,1.1
2020/07/02,06:00,22.7,0.0,99,177,3.2
2020/07/02,07:00,20.7,0.0,98,111,4.4
2020/07/02,08:00,21.0,0.0,94,116,2.6
2020/07/02,09:00,21.7,0.0,87,115,5.1
2020/07/02,10:00,23.1,0.0,80,94,4.6
2020/07/02,11:00,25.0,0.0,75,94,5.2
2020/07/02,12:00,26.3,0.0,72,74,0.9
2020/07/02,13:00,26.7,0.0,73,90,2.8
2020/07/02,14:00,26.9,0.0,76,121,3.0
2020/07/02,15:00,26.8,0.0,76,145,2.1
2020/07/02,16:00,26.9,0.0,74,180,4.6
2020/07/02,17:00,25.1,0.0,79,181,3.4
2020/07/02,18:00,22.8,0.0,86,142,0.7
2020/07/02,19:00,22.0,0.0,93,46,1.8
2020/07/02,20:00,21.5,0.0,94,98,1.9
2020/07/02,21:00,20.9,0.0,91,155,3.1
2020/07/02,22:00,20.6,0.0,92,142,1.9
2020/07/02,23:00,20.2,0.0,91,179,4.5
2020/07/03,00:00,19.5,0.0,92,127,2.7
2020/07/03,01:00,19.2,0.0,94,176,4.1
2020/07/03,02:00,18.8,0.0,95,185,4.4
2020/07/03,03:00,18.5,0.0,95,173,2.8
2020/07/03,04:00,18.4,0.0,95,119,2.3
2020/07/03,05:00,18.4,0.0,96,107,2.3
2020/07/03,06:00,18.2,0.3,100,115,1.3
2020/07/03,07:00,18.5,0.0,99,147,1.7
2020/07/03,08:00,18.7,0.0,97,120,1.6
2020/07/03,09:00,20.2,0.0,89,121,2.4
2020/07/03,10:00,21.8,0.0,83,107,3.6
2020/07/03,11:00,22.9,0.0,79,118,3.1
2020/07/03,12:00,23.7,0.0,78,178,2.7
2020/07/03,13:00,23.2,0.0,79,200,4.5
2020/07/03,14:00,23.7,0.0,78,184,4.2
2020/07/03,15:00,23.3,0.0,81,175,3.7
2020/07/03,16:00,22.7,0.0,83,187,3.1
2020/07/03,17:00,22.0,0.0,85,174,2.4
2020/07/03,18:00,21.5,0.0,89,177,1.5
2020/07/03,19:00,21.3,0.0,91,197,2.3
2020/07/03,20:00,21.1,0.0,91,232,1.6
2020/07/03,21:00,20.9,0.0,92,235,1.3
2020/07/03,22:00,20.7,0.0,94,247,1.2
2020/07/03,23:00,20.5,0.0,95,240,0.6
2020/07/04,00:00,20.3,0.0,96,260,2.4
2020/07/04,01:00,20.2,0.0,95,236,3.3
2020/07/04,02:00,20.0,0.0,96,224,2.4
2020/07/04,03:00,20.0,0.0,95,228,3.8
2020/07/04,04:00,19.8,0.0,95,231,2.4
2020/07/04,05:00,19.6,0.0,95,211,2.7
2020/07/04,06:00,19.5,0.0,95,233,2.7
2020/07/04,07:00,20.0,0.0,94,231,1.7
2020/07/04,08:00,20.5,0.0,92,233,2.6
2020/07/04,09:00,21.1,0.0,89,302,1.9
2020/07/04,10:00,21.8,0.0,86,354,2.2
2020/07/04,11:00,22.4,0.0,87,264,2.1
2020/07/04,12:00,23.8,0.0,80,167,1.1
2020/07/04,13:00,23.3,0.0,84,232,2.9
2020/07/04,14:00,24.1,0.0,81,203,3.6
2020/07/04,15:00,24.7,0.0,80,236,3.3
2020/07/04,16:00,24.6,0.0,81,253,3.0
2020/07/04,17:00,23.5,0.0,87,285,2.2
2020/07/04,18:00,23.1,0.0,90,245,1.2
2020/07/04,19:00,22.9,0.0,92,22,1.3
2020/07/04,20:00,21.6,0.0,98,100,1.0
2020/07/04,21:00,20.9,0.0,100,8,0.8
