Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : IÑAPARI
,Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
,Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
,Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/11/01,00:00,22.5,0.0,100,255,0.8
2020/11/01,01:00,22.4,0.0,100,242,0.8
2020/11/01,02:00,22.4,0.0,100,212,0.1
2020/11/01,03:00,22.4,0.0,100,163,1.6
2020/11/01,04:00,22.2,0.0,98,241,0.7
2020/11/01,05:00,21.9,0.0,99,229,0.5
2020/11/01,06:00,22.5,0.0,98,183,0.6
2020/11/01,07:00,24.1,0.0,86,213,1.5
2020/11/01,08:00,25.4,0.0,72,187,4.6
2020/11/01,09:00,28.1,0.0,65,176,4.2
2020/11/01,10:00,28.8,0.0,58,102,3.1
2020/11/01,11:00,30.2,0.0,61,149,2.2
2020/11/01,12:00,31.5,0.0,48,152,4.3
2020/11/01,13:00,32.2,0.0,47,128,4.6
2020/11/01,14:00,30.8,0.0,52,108,3.2
2020/11/01,15:00,31.2,0.0,53,100,2.5
2020/11/01,16:00,32.0,0.0,46,166,3.3
2020/11/01,17:00,30.8,0.0,52,141,0.4
2020/11/01,18:00,25.9,0.0,81,228,0.3
2020/11/01,19:00,23.9,0.0,92,360,0.4
2020/11/01,20:00,23.0,0.0,95,334,0.0
2020/11/01,21:00,22.5,0.0,97,277,0.2
2020/11/01,22:00,23.0,0.0,97,198,0.4
2020/11/01,23:00,23.2,0.0,96,357,1.0
2020/11/02,00:00,23.1,0.0,97,248,0.7
2020/11/02,01:00,22.8,0.0,98,283,1.1
2020/11/02,02:00,22.7,0.0,97,278,0.8
2020/11/02,03:00,22.7,0.0,97,246,0.0
2020/11/02,04:00,22.6,0.0,97,271,0.0
2020/11/02,05:00,22.6,0.0,99,258,0.1
2020/11/02,06:00,22.7,0.0,99,299,0.8
2020/11/02,07:00,23.4,0.0,96,271,1.2
2020/11/02,08:00,24.7,0.0,89,257,0.9
2020/11/02,09:00,26.8,0.0,78,226,1.9
2020/11/02,10:00,29.9,0.0,68,191,2.0
2020/11/02,11:00,32.6,0.0,55,166,3.2
2020/11/02,12:00,33.5,0.0,49,198,2.9
2020/11/02,13:00,33.1,0.0,49,106,2.3
2020/11/02,14:00,33.6,0.0,42,85,2.4
2020/11/02,15:00,34.0,0.0,46,77,3.0
2020/11/02,16:00,33.7,0.0,45,54,3.0
2020/11/02,17:00,32.3,0.0,50,30,2.2
2020/11/02,18:00,28.3,0.0,77,104,0.9
2020/11/02,19:00,27.1,0.0,81,244,0.0
2020/11/02,20:00,26.0,0.0,90,147,1.3
2020/11/02,21:00,24.8,0.0,93,120,1.5
2020/11/02,22:00,24.1,0.0,97,31,0.1
2020/11/02,23:00,23.2,0.0,99,266,0.1
2020/11/03,00:00,22.9,0.0,100,223,0.1
2020/11/03,01:00,22.4,0.0,100,4,0.0
2020/11/03,02:00,22.3,0.0,100,92,0.7
2020/11/03,03:00,22.5,0.0,100,305,0.8
2020/11/03,04:00,22.6,0.0,100,241,1.1
2020/11/03,05:00,22.2,0.0,100,115,0.5
2020/11/03,06:00,22.6,0.0,100,329,0.5
2020/11/03,07:00,25.4,0.0,88,253,1.0
2020/11/03,08:00,30.7,0.0,64,181,1.8
2020/11/03,09:00,31.9,0.0,54,180,1.1
2020/11/03,10:00,31.8,0.0,58,227,3.8
2020/11/03,11:00,33.0,0.0,56,172,2.5
2020/11/03,12:00,33.3,0.0,51,217,3.7
2020/11/03,13:00,33.1,0.0,50,200,4.8
2020/11/03,14:00,34.6,0.0,46,232,3.5
2020/11/03,15:00,35.5,0.0,45,186,2.3
2020/11/03,16:00,34.5,0.0,52,245,2.0
2020/11/03,17:00,32.5,0.0,55,269,1.7
2020/11/03,18:00,28.4,0.0,79,247,0.2
2020/11/03,19:00,26.4,0.0,89,223,0.4
2020/11/03,20:00,25.2,0.0,93,134,0.5
2020/11/03,21:00,24.4,0.0,96,270,0.3
2020/11/03,22:00,23.7,0.0,98,234,1.4
2020/11/03,23:00,23.6,0.0,99,81,0.0
2020/11/04,00:00,23.1,0.0,99,207,0.5
2020/11/04,01:00,22.6,0.0,99,257,1.1
2020/11/04,02:00,22.5,0.0,100,224,0.9
2020/11/04,03:00,22.0,0.0,100,265,0.0
2020/11/04,04:00,21.8,0.0,100,262,0.0
2020/11/04,05:00,21.5,0.0,100,202,0.4
2020/11/04,06:00,21.8,0.0,100,273,0.3
2020/11/04,07:00,24.0,0.0,94,261,1.6
2020/11/04,08:00,27.6,0.0,79,218,0.6
2020/11/04,09:00,31.0,0.0,65,180,2.3
2020/11/04,10:00,32.7,0.0,62,168,3.2
2020/11/04,11:00,34.2,0.0,51,205,1.3
2020/11/04,12:00,34.9,0.0,52,198,2.9
2020/11/04,13:00,35.7,0.0,50,225,2.0
2020/11/04,14:00,33.9,0.0,52,82,3.0
2020/11/04,15:00,34.6,0.0,53,111,2.6
2020/11/04,16:00,35.5,0.0,50,278,0.5
2020/11/04,17:00,33.3,0.0,60,203,1.0
2020/11/04,18:00,29.4,0.0,81,233,0.2
2020/11/04,19:00,27.2,0.0,91,204,0.0
2020/11/04,20:00,26.3,0.0,95,330,0.0
2020/11/04,21:00,25.7,0.0,95,44,0.1
