Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : IÑAPARI
,Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
,Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
,Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/12/01,00:00,23.8,0.0,98,234,0.0
2020/12/01,01:00,23.7,0.0,99,90,1.4
2020/12/01,02:00,24.0,0.0,99,69,1.4
2020/12/01,03:00,23.7,0.0,99,192,0.7
2020/12/01,04:00,23.6,0.0,99,118,0.3
2020/12/01,05:00,23.4,0.0,99,221,0.8
2020/12/01,06:00,24.0,0.0,99,247,0.0
2020/12/01,07:00,26.7,0.0,87,357,3.6
2020/12/01,08:00,28.3,0.0,79,332,3.8
2020/12/01,09:00,30.6,0.0,70,340,2.4
2020/12/01,10:00,30.4,0.0,70,343,2.8
2020/12/01,11:00,28.0,5.1,85,305,2.9
2020/12/01,12:00,30.6,0.0,76,62,4.3
2020/12/01,13:00,23.9,33.3,100,302,2.3
2020/12/01,14:00,24.8,1.5,100,242,2.1
2020/12/01,15:00,25.4,0.3,100,309,3.4
2020/12/01,16:00,25.8,0.0,96,254,2.7
2020/12/01,17:00,25.8,0.0,93,307,1.4
2020/12/01,18:00,25.3,0.0,97,240,0.6
2020/12/01,19:00,24.9,0.0,99,90,0.8
2020/12/01,20:00,24.9,0.0,100,96,2.6
2020/12/01,21:00,24.9,0.0,100,57,1.0
2020/12/01,22:00,24.9,0.0,99,342,1.6
2020/12/01,23:00,24.6,0.0,98,343,1.7
2020/12/02,00:00,24.2,0.0,99,245,1.6
2020/12/02,01:00,23.8,0.0,99,311,2.5
2020/12/02,02:00,23.6,0.0,99,293,0.1
2020/12/02,03:00,23.4,0.0,100,219,0.0
2020/12/02,04:00,23.5,0.0,98,278,1.0
2020/12/02,05:00,23.4,0.0,99,348,1.0
2020/12/02,06:00,23.5,0.0,99,313,1.7
2020/12/02,07:00,24.3,0.0,95,295,1.6
2020/12/02,08:00,26.1,0.0,88,209,0.8
2020/12/02,09:00,26.2,0.0,88,31,2.7
2020/12/02,10:00,26.8,1.5,89,25,3.4
2020/12/02,11:00,27.4,0.0,83,13,5.8
2020/12/02,12:00,29.5,0.0,73,21,9.7
2020/12/02,13:00,31.4,0.0,63,4,6.5
2020/12/02,14:00,30.6,0.0,67,316,6.6
2020/12/02,15:00,29.5,0.0,74,268,7.0
2020/12/02,16:00,28.6,0.0,75,269,5.5
2020/12/02,17:00,27.1,0.0,82,265,2.5
2020/12/02,18:00,26.2,0.0,89,270,1.5
2020/12/02,19:00,24.9,0.0,95,277,2.2
2020/12/02,20:00,24.7,0.0,97,120,1.3
2020/12/02,21:00,24.0,0.0,99,274,0.6
2020/12/02,22:00,24.2,0.0,99,357,0.4
2020/12/02,23:00,23.9,0.0,100,341,1.0
2020/12/03,00:00,23.8,0.0,99,326,0.8
2020/12/03,01:00,23.6,0.0,100,143,0.0
2020/12/03,02:00,23.3,0.0,100,327,0.8
2020/12/03,03:00,23.1,0.0,100,146,0.0
2020/12/03,04:00,22.9,0.0,100,306,0.0
2020/12/03,05:00,22.5,0.0,100,264,0.6
2020/12/03,06:00,23.2,0.0,100,43,1.6
2020/12/03,07:00,24.7,0.0,95,328,1.0
2020/12/03,08:00,26.3,0.0,87,310,3.2
2020/12/03,09:00,28.6,0.0,80,314,4.1
2020/12/03,10:00,30.6,0.0,70,298,2.9
2020/12/03,11:00,30.6,0.0,66,342,4.9
2020/12/03,12:00,31.6,0.0,68,332,2.7
2020/12/03,13:00,31.3,0.0,65,329,4.3
2020/12/03,14:00,29.2,0.0,78,334,2.7
2020/12/03,15:00,30.9,0.0,68,314,0.8
2020/12/03,16:00,26.6,0.3,90,305,5.5
2020/12/03,17:00,28.6,0.0,78,343,4.7
2020/12/03,18:00,26.6,0.0,87,346,1.6
2020/12/03,19:00,25.7,0.0,94,16,0.0
2020/12/03,20:00,25.3,0.0,97,32,0.5
2020/12/03,21:00,24.9,0.0,97,337,1.8
2020/12/03,22:00,24.9,0.0,93,270,1.5
2020/12/03,23:00,24.7,0.0,95,338,1.4
2020/12/04,00:00,24.1,0.0,98,296,0.8
2020/12/04,01:00,24.3,0.0,98,51,1.1
2020/12/04,02:00,24.2,0.0,97,328,1.0
2020/12/04,03:00,24.1,0.0,96,327,1.6
2020/12/04,04:00,23.8,0.3,99,258,2.1
2020/12/04,05:00,23.7,0.0,99,223,1.3
2020/12/04,06:00,24.1,0.0,99,283,0.1
2020/12/04,07:00,25.1,0.0,94,277,0.5
2020/12/04,08:00,26.6,0.0,85,17,1.5
2020/12/04,09:00,29.8,0.0,74,73,1.7
2020/12/04,10:00,30.4,0.0,72,34,1.7
2020/12/04,11:00,30.3,0.0,76,353,2.8
2020/12/04,12:00,27.9,0.0,74,283,7.9
2020/12/04,13:00,24.3,7.8,99,312,2.3
2020/12/04,14:00,25.5,0.3,97,227,1.0
2020/12/04,15:00,26.3,0.0,90,251,4.3
2020/12/04,16:00,26.6,0.0,90,209,3.5
2020/12/04,17:00,25.6,0.0,88,218,3.5
2020/12/04,18:00,25.2,0.0,92,23,1.4
2020/12/04,19:00,24.2,0.0,98,211,1.8
2020/12/04,20:00,23.8,0.0,99,291,0.4
2020/12/04,21:00,23.7,0.0,100,121,0.2
