Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : IÑAPARI
,Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
,Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
,Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/03/01,00:00,24.0,0.0,100,113,0.4
2021/03/01,01:00,23.9,0.0,100,53,0.2
2021/03/01,02:00,24.1,0.0,100,43,1.7
2021/03/01,03:00,23.9,0.0,100,169,0.2
2021/03/01,04:00,24.1,0.0,100,329,0.3
2021/03/01,05:00,23.9,0.0,100,231,0.7
2021/03/01,06:00,24.0,0.0,100,250,1.3
2021/03/01,07:00,24.6,0.0,100,258,1.0
2021/03/01,08:00,27.5,0.0,86,74,0.7
2021/03/01,09:00,27.7,0.0,84,135,1.3
2021/03/01,10:00,29.2,0.0,75,124,2.5
2021/03/01,11:00,32.1,0.0,65,114,2.2
2021/03/01,12:00,31.5,0.0,69,121,2.0
2021/03/01,13:00,32.5,0.0,65,157,2.2
2021/03/01,14:00,34.7,0.0,60,97,2.3
2021/03/01,15:00,32.3,0.0,63,111,3.3
2021/03/01,16:00,32.9,0.0,63,111,3.2
2021/03/01,17:00,32.8,0.0,62,119,2.8
2021/03/01,18:00,29.4,0.0,74,85,0.7
2021/03/01,19:00,27.1,0.0,89,8,3.1
2021/03/01,20:00,26.3,0.0,90,331,2.1
2021/03/01,21:00,25.7,0.0,94,26,1.8
2021/03/01,22:00,25.1,0.0,97,38,1.5
2021/03/01,23:00,24.7,0.0,99,62,0.6
2021/03/02,00:00,24.8,0.0,98,335,3.1
2021/03/02,01:00,24.5,0.0,99,344,2.7
2021/03/02,02:00,24.2,0.0,99,342,1.7
2021/03/02,03:00,24.0,0.0,100,302,1.8
2021/03/02,04:00,23.9,0.0,99,298,2.0
2021/03/02,05:00,23.5,0.0,100,315,1.2
2021/03/02,06:00,23.7,0.0,100,294,1.7
2021/03/02,07:00,24.5,0.0,95,290,2.7
2021/03/02,08:00,24.9,0.0,92,300,3.5
2021/03/02,09:00,25.8,0.0,89,291,4.2
2021/03/02,10:00,27.2,0.0,83,305,2.3
2021/03/02,11:00,28.9,0.0,77,299,3.0
2021/03/02,12:00,29.1,0.0,79,323,2.0
2021/03/02,13:00,30.4,0.0,70,279,2.0
2021/03/02,14:00,31.8,0.0,72,194,0.8
2021/03/02,15:00,32.3,0.0,66,35,3.6
2021/03/02,16:00,33.5,0.0,61,39,3.0
2021/03/02,17:00,31.6,0.0,67,35,3.1
2021/03/02,18:00,28.3,0.0,84,232,0.3
2021/03/02,19:00,28.4,0.0,80,359,5.4
2021/03/02,20:00,25.7,0.0,91,354,4.1
2021/03/02,21:00,24.8,0.0,91,358,2.5
2021/03/02,22:00,24.1,0.0,93,339,2.6
2021/03/02,23:00,23.5,0.0,94,303,1.9
2021/03/03,00:00,23.6,0.0,94,326,2.2
2021/03/03,01:00,23.5,0.0,94,320,1.4
2021/03/03,02:00,23.5,0.0,95,302,3.5
2021/03/03,03:00,23.5,0.0,95,293,4.3
2021/03/03,04:00,23.4,0.0,96,294,3.3
2021/03/03,05:00,23.4,0.0,96,311,2.4
2021/03/03,06:00,23.4,0.0,97,313,2.7
2021/03/03,08:00,24.8,0.0,90,289,3.0
2021/03/03,09:00,25.5,0.0,88,285,3.0
2021/03/03,10:00,27.0,0.9,83,332,2.8
2021/03/03,11:00,28.6,0.0,78,320,2.4
2021/03/03,12:00,28.9,0.0,76,325,2.4
2021/03/03,13:00,30.4,0.0,72,339,3.6
2021/03/03,14:00,30.1,0.0,72,317,3.4
2021/03/03,15:00,31.8,0.0,66,303,3.5
2021/03/03,16:00,31.5,0.0,66,344,3.5
2021/03/03,17:00,31.7,0.0,67,339,3.1
2021/03/03,18:00,28.5,0.0,79,330,0.8
2021/03/03,19:00,26.2,0.0,95,30,0.5
2021/03/03,20:00,25.1,0.0,99,288,0.1
2021/03/03,21:00,25.4,0.0,94,3,2.1
2021/03/03,22:00,25.2,0.0,94,354,2.1
2021/03/03,23:00,24.9,0.0,96,355,2.8
2021/03/04,00:00,24.8,0.0,96,5,1.6
2021/03/04,01:00,24.8,0.0,94,319,1.9
2021/03/04,02:00,24.7,0.0,93,357,1.8
2021/03/04,03:00,24.0,0.0,96,351,0.8
2021/03/04,04:00,23.7,0.0,99,34,1.5
2021/03/04,05:00,23.9,0.0,98,298,0.7
2021/03/04,06:00,23.4,0.0,100,310,1.2
2021/03/04,07:00,24.7,0.0,93,323,1.9
2021/03/04,08:00,26.2,0.0,85,343,3.6
2021/03/04,09:00,27.2,0.0,80,308,3.5
2021/03/04,10:00,27.6,0.0,79,308,3.8
2021/03/04,11:00,28.9,0.0,75,297,5.3
2021/03/04,12:00,29.0,0.0,77,277,3.7
2021/03/04,13:00,31.5,0.0,67,299,5.1
2021/03/04,14:00,30.7,0.0,71,288,4.9
2021/03/04,15:00,28.0,0.0,85,14,6.2
2021/03/04,16:00,24.0,6.6,100,300,5.0
2021/03/04,17:00,25.2,0.6,100,358,1.1
2021/03/04,18:00,25.1,0.0,100,103,1.9
2021/03/04,19:00,24.6,0.0,100,119,0.5
2021/03/04,20:00,24.2,0.0,100,151,1.0
2021/03/04,21:00,24.3,0.0,100,45,2.1
2021/03/04,22:00,24.1,0.0,100,208,0.0
