Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : CONTAMANA
,Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
,Latitud :,7°21'6.46'',Longitud :,75°0'39.06'',Altitud :,134 msnm.
,Tipo :,HLM - Hidrológica,Código :,251102
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-06-01,6.88,6.84,6.80,6.77
2018-06-02,6.69,6.69,6.69,6.69
2018-06-03,6.68,6.70,6.74,6.79
2018-06-04,6.95,7.02,7.10,7.15
2018-06-05,7.61,7.70,7.79,7.91
2018-06-06,8.35,8.45,8.52,8.60
2018-06-07,8.88,8.96,8.99,9.03
2018-06-08,9.08,9.08,9.08,9.08
2018-06-09,8.98,8.96,8.94,8.90
2018-06-10,8.65,8.60,8.56,8.50
2018-06-11,8.30,8.25,8.23,8.21
2018-06-12,8.15,8.10,8.03,7.95
2018-06-13,7.74,7.72,7.69,7.68
2018-06-14,7.63,7.60,7.57,7.55
2018-06-15,7.50,7.45,7.39,7.35
2018-06-16,7.20,7.17,7.14,7.11
2018-06-17,7.03,7.02,7.00,6.99
2018-06-18,6.98,6.96,6.93,6.91
2018-06-19,6.85,6.83,6.82,6.80
2018-06-20,6.72,6.70,6.68,6.67
2018-06-21,6.61,6.57,6.53,6.49
2018-06-22,6.34,6.30,6.28,6.24
2018-06-23,6.10,6.04,5.97,5.89
2018-06-24,5.76,5.70,5.68,5.65
2018-06-25,5.56,5.54,5.51,5.48
2018-06-26,5.38,5.34,5.31,5.29
2018-06-27,5.18,5.17,5.16,5.15
2018-06-28,5.14,5.13,5.12,5.11
2018-06-29,5.08,5.07,5.06,5.05
2018-06-30,5.03,5.02,5.01,4.98
