Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : CONTAMANA
,Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
,Latitud :,7°21'6.46'',Longitud :,75°0'39.06'',Altitud :,134 msnm.
,Tipo :,HLM - Hidrológica,Código :,251102
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-10-01,5.56,5.55,5.54,5.54
2019-10-02,5.52,5.52,5.51,5.50
2019-10-03,5.47,5.46,5.46,5.45
2019-10-04,5.41,5.45,5.49,5.52
2019-10-05,5.49,5.49,5.48,5.48
2019-10-06,5.41,5.40,5.39,5.38
2019-10-07,5.36,5.36,5.37,5.39
2019-10-08,5.45,5.48,5.53,5.60
2019-10-09,6.48,6.61,6.82,7.10
2019-10-10,7.60,7.69,7.79,7.87
2019-10-11,7.97,7.98,7.99,8.02
2019-10-12,8.04,8.04,8.04,8.04
2019-10-13,7.97,7.94,7.90,7.85
2019-10-14,7.61,7.58,7.53,7.44
2019-10-15,7.19,7.14,7.09,7.04
2019-10-16,6.86,6.83,6.79,6.74
2019-10-17,6.68,6.63,6.58,6.53
2019-10-18,6.37,6.34,6.31,6.28
2019-10-19,6.25,6.25,6.27,6.32
2019-10-20,6.45,6.52,6.59,6.67
2019-10-21,6.88,7.06,7.12,7.20
2019-10-22,7.45,7.46,7.52,7.58
2019-10-23,7.74,7.78,7.81,7.87
2019-10-24,8.02,8.04,8.06,8.14
2019-10-25,8.45,8.50,8.56,8.63
2019-10-26,8.97,8.97,8.97,8.97
2019-10-27,8.96,8.93,8.89,8.85
2019-10-28,8.68,8.66,8.63,8.58
2019-10-29,8.37,8.35,8.29,8.23
2019-10-30,8.10,8.06,8.02,7.98
2019-10-31,7.79,7.75,7.71,7.66
