Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : CONTAMANA
,Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
,Latitud :,7°21'6.46'',Longitud :,75°0'39.06'',Altitud :,134 msnm.
,Tipo :,HLM - Hidrológica,Código :,251102
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-03-01,12.58,12.58,12.58,12.58
2018-03-02,12.59,12.59,12.58,12.57
2018-03-03,12.57,12.59,12.59,12.58
2018-03-04,12.58,12.58,12.59,12.59
2018-03-05,12.57,12.57,12.56,12.56
2018-03-06,12.55,12.55,12.54,12.54
2018-03-07,12.52,12.52,12.52,12.52
2018-03-08,12.54,12.54,12.53,12.53
2018-03-09,12.53,15.52,12.52,12.51
2018-03-10,12.50,12.49,12.48,12.48
2018-03-11,12.45,12.44,12.43,12.42
2018-03-12,12.39,12.39,12.38,12.37
2018-03-13,12.34,12.33,12.31,12.29
2018-03-14,12.26,12.25,12.23,12.22
2018-03-15,12.20,12.20,12.19,12.19
2018-03-16,12.14,12.13,12.12,12.12
2018-03-17,12.11,12.11,12.10,12.10
2018-03-18,12.10,12.10,12.10,12.10
2018-03-19,12.12,12.12,12.12,12.13
2018-03-20,12.13,12.13,12.13,12.13
2018-03-21,12.16,12.16,12.17,12.17
2018-03-22,12.17,12.18,12.20,12.22
2018-03-23,12.23,12.24,12.25,12.27
2018-03-24,12.29,12.29,12.29,12.29
2018-03-25,12.30,12.30,12.31,12.31
2018-03-26,12.31,12.31,12.33,12.36
2018-03-27,12.37,12.37,12.38,12.38
2018-03-28,12.38,12.38,12.39,12.39
2018-03-29,12.41,12.41,12.41,12.41
2018-03-30,12.40,12.40,12.41,12.42
2018-03-31,12.40,12.40,12.40,12.40
