AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-02-01,33,23.6,94.9,0.0
2023-02-02,33.2,23.6,94.4,0.0
2023-02-03,30.2,23.4,96.5,0.0
2023-02-04,31.4,23,96.5,0.0
2023-02-05,28.2,22.8,S/D,0.0
2023-02-06,31.8,22.2,97.0,2.8
2023-02-07,31.2,23,97.0,0.0
2023-02-08,30.4,22.8,98.4,3.6
2023-02-09,31.8,22.4,97.4,6.7
2023-02-10,31,23,97.0,0.0
2023-02-11,30.4,23.2,S/D,0.0
2023-02-12,29.8,23.4,98.4,7.5
2023-02-13,32.6,23.2,96.5,1.6
2023-02-14,32.8,23.4,97.0,11.4
2023-02-15,31.6,23,96.0,0.0
2023-02-16,30,23.4,95.9,0.0
2023-02-17,32.8,23.2,94.8,6.4
2023-02-18,31.4,23.4,97.4,8.8
2023-02-19,27.4,S/D,S/D,56.8
2023-02-20,27.4,22.2,96.8,16.6
2023-02-21,30.8,22.4,96.4,0.0
2023-02-22,31.4,23,96.1,19.4
2023-02-23,29.4,22.6,96.9,0.0
2023-02-24,32,22.8,96.5,0.0
2023-02-25,34.2,23.4,94.0,33.5
2023-02-26,30.4,23.4,98.0,0.0
2023-02-27,30,23.2,97.9,0.0
2023-02-28,31.6,23.2,97.0,10.1
