Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CRUZ
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
,Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-10-01,5.24,5.24,5.23,5.22
2019-10-02,5.21,5.21,5.20,5.19
2019-10-03,5.23,5.26,5.29,5.32
2019-10-04,5.40,5.41,5.42,5.43
2019-10-05,5.45,5.43,5.30,5.35
2019-10-06,5.27,5.25,5.21,5.17
2019-10-07,5.05,5.01,4.95,4.97
2019-10-08,4.94,4.93,4.92,4.90
2019-10-09,5.09,5.12,5.15,5.17
2019-10-10,5.29,5.31,5.32,5.33
2019-10-11,5.36,5.35,5.34,5.33
2019-10-12,5.31,5.37,5.42,5.44
2019-10-13,5.58,5.72,5.86,5.91
2019-10-14,6.25,6.37,6.47,6.51
2019-10-15,6.65,6.66,6.67,6.68
2019-10-16,6.76,6.75,6.74,6.72
2019-10-17,6.67,6.66,6.64,6.62
2019-10-18,6.57,6.57,6.56,6.55
2019-10-19,6.52,6.56,6.60,6.64
2019-10-20,6.75,6.76,6.77,6.78
2019-10-21,6.79,6.78,6.75,6.72
2019-10-22,6.66,6.63,6.60,6.57
2019-10-23,6.53,6.52,6.51,6.50
2019-10-24,6.47,6.47,6.46,6.45
2019-10-25,6.44,6.45,6.46,6.46
2019-10-26,6.47,6.51,6.55,6.58
2019-10-27,6.74,6.76,6.78,6.79
2019-10-28,6.77,6.76,6.75,6.74
2019-10-29,6.73,6.73,6.72,6.72
2019-10-30,6.91,6.94,6.97,6.98
2019-10-31,7.15,7.19,7.23,7.25
