Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CRUZ
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
,Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-11-01,7.33,7.37,7.40,7.41
2019-11-02,7.45,7.45,7.46,7.46
2019-11-03,7.43,7.42,7.41,7.40
2019-11-04,7.37,7.38,7.39,7.40
2019-11-05,7.39,7.39,7.38,7.37
2019-11-06,7.34,7.34,7.33,7.33
2019-11-07,7.27,7.26,7.24,7.21
2019-11-08,7.15,7.14,7.12,7.09
2019-11-09,7.05,7.04,7.03,7.02
2019-11-10,6.97,6.97,6.96,6.95
2019-11-11,6.93,6.93,6.92,6.91
2019-11-12,6.89,6.91,6.93,6.94
2019-11-13,6.98,6.99,6.01,6.02
2019-11-14,7.05,7.05,7.04,7.03
2019-11-15,7.02,7.02,7.01,7.01
2019-11-16,7.04,7.06,7.08,7.09
2019-11-17,7.15,7.20,7.25,7.26
2019-11-18,7.36,7.38,7.39,7.40
2019-11-19,7.46,7.47,7.48,7.48
2019-11-20,7.49,7.49,7.48,7.48
2019-11-21,7.48,7.49,7.50,7.50
2019-11-22,7.51,7.52,7.53,7.54
2019-11-23,7.56,7.55,7.54,7.52
2019-11-24,7.49,7.49,7.48,7.48
2019-11-25,7.45,7.44,7.42,7.40
2019-11-26,7.35,7.31,7.27,7.23
2019-11-27,7.15,7.13,7.11,7.09
2019-11-28,7.02,7.01,6.99,6.97
2019-11-29,6.98,6.98,7.01,7.01
2019-11-30,7.02,7.02,7.01,7.01
