Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BRETAÑA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,PUINAHUA
,Latitud :,5°15'56.43'',Longitud :,74°21'22.98'',Altitud :,105 msnm.
,Tipo :,PE - Meteorológica,Código :,105090
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-01-01,S/D,S/D,91.9,S/D
2020-01-02,S/D,S/D,89.3,S/D
2020-01-03,S/D,S/D,92.3,S/D
2020-01-04,S/D,S/D,85.7,S/D
2020-01-05,S/D,S/D,80.6,S/D
2020-01-06,S/D,S/D,83.2,S/D
2020-01-07,S/D,S/D,81.9,S/D
2020-01-08,S/D,S/D,80.3,S/D
2020-01-09,S/D,S/D,85.1,S/D
2020-01-10,S/D,S/D,86.7,S/D
2020-01-11,S/D,S/D,88.1,S/D
2020-01-12,S/D,S/D,86.1,S/D
2020-01-13,S/D,S/D,88.4,S/D
2020-01-14,S/D,S/D,88.6,S/D
2020-01-15,S/D,S/D,91.1,S/D
2020-01-16,S/D,S/D,86.5,S/D
2020-01-17,S/D,S/D,S/D,S/D
2020-01-18,S/D,S/D,87.7,S/D
2020-01-19,S/D,S/D,90.9,S/D
2020-01-20,S/D,S/D,86.1,S/D
2020-01-21,S/D,S/D,87.7,S/D
2020-01-22,S/D,S/D,81.3,S/D
2020-01-23,S/D,S/D,86.0,S/D
2020-01-24,S/D,S/D,86.8,S/D
2020-01-25,S/D,S/D,84.7,S/D
2020-01-26,S/D,S/D,85.1,S/D
2020-01-27,S/D,S/D,85.2,S/D
2020-01-28,S/D,S/D,80.2,S/D
2020-01-29,S/D,S/D,89.1,S/D
2020-01-30,S/D,S/D,83.8,S/D
2020-01-31,S/D,S/D,88.7,S/D
