AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-06-01,1.240,1.200,1.160,1.120
2017-06-02,1.380,1.460,1.540,1.500
2017-06-03,1.360,1.300,1.260,1.200
2017-06-04,1.140,1.120,1.100,1.080
2017-06-05,1.000,1.000,0.980,0.960
2017-06-06,0.900,0.880,0.880,0.840
2017-06-07,1.040,1.080,1.060,1.020
