AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2026-04-01,1.900,1.880,1.840,1.840
2026-04-02,1.620,1.600,1.560,1.520
2026-04-03,4.520,4.300,3.980,3.920
2026-04-04,1.800,1.780,1.740,1.700
2026-04-05,3.020,3.960,4.100,5.640
2026-04-06,3.740,3.520,3.280,0.000
