Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CALLERIA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/09/01,00:00,23.8,0.0,96,94,0.0
2018/09/01,01:00,23.4,0.0,96,77,0.0
2018/09/01,02:00,23.0,0.0,97,76,0.0
2018/09/01,03:00,22.7,0.0,97,85,0.0
2018/09/01,04:00,22.5,0.0,97,104,0.0
2018/09/01,05:00,22.3,0.0,97,77,0.0
2018/09/01,06:00,22.1,0.0,97,119,0.0
2018/09/01,07:00,22.2,0.0,97,82,0.0
2018/09/01,08:00,22.6,0.0,97,103,0.2
2018/09/04,16:00,27.2,0.0,74,124,0.4
2018/09/04,17:00,27.0,0.0,79,193,0.3
2018/09/04,18:00,26.0,0.0,87,293,0.0
2018/09/04,19:00,24.6,0.0,94,298,0.0
2018/09/04,20:00,23.3,0.0,96,292,0.0
2018/09/04,21:00,22.5,0.0,96,30,0.0
2018/09/04,22:00,21.9,0.0,97,74,0.0
2018/09/04,23:00,21.5,0.0,97,74,0.0
2018/09/05,00:00,21.0,0.0,97,74,0.0
2018/09/05,01:00,20.7,0.0,97,74,0.0
2018/09/05,02:00,20.5,0.0,97,115,0.0
2018/09/05,03:00,20.4,0.0,97,78,0.0
2018/09/05,04:00,20.2,0.0,97,77,0.0
2018/09/05,05:00,20.0,0.0,98,77,0.0
2018/09/05,06:00,19.9,0.0,98,73,0.0
2018/09/05,07:00,19.6,0.0,97,91,0.0
2018/09/05,08:00,19.7,0.0,98,101,0.0
2018/09/05,09:00,21.4,0.0,97,150,0.3
2018/09/05,10:00,24.6,0.0,90,215,0.4
2018/09/05,11:00,27.4,0.0,85,123,0.4
2018/09/05,12:00,28.6,0.0,70,81,0.4
2018/09/05,13:00,30.0,0.0,63,135,0.7
2018/09/05,14:00,30.4,0.0,59,293,0.1
2018/09/05,15:00,30.9,0.0,58,260,0.5
2018/09/05,16:00,30.4,0.0,57,44,0.5
2018/09/05,17:00,28.9,0.0,63,217,0.2
2018/09/05,18:00,27.0,0.0,69,313,0.3
2018/09/05,19:00,25.0,0.0,82,299,0.0
2018/09/05,20:00,23.3,0.0,90,279,0.0
2018/09/05,21:00,22.2,0.0,95,225,0.0
2018/09/05,22:00,21.5,0.0,96,84,0.0
2018/09/05,23:00,20.9,0.0,96,84,0.0
2018/09/06,00:00,20.4,0.0,97,65,0.0
2018/09/06,01:00,20.0,0.0,97,101,0.0
2018/09/06,02:00,19.6,0.0,97,88,0.0
2018/09/06,03:00,19.2,0.0,97,63,0.0
2018/09/06,04:00,18.8,0.0,97,69,0.0
2018/09/06,05:00,18.6,0.0,97,115,0.0
2018/09/06,06:00,18.3,0.0,97,95,0.0
2018/09/06,07:00,18.2,0.0,98,256,0.0
2018/09/06,08:00,18.5,0.0,98,256,0.0
2018/09/06,09:00,20.1,0.0,97,172,0.0
2018/09/06,10:00,23.4,0.0,88,221,0.3
2018/09/06,11:00,27.4,0.0,85,123,0.4
2018/09/06,12:00,29.0,0.0,63,168,0.6
2018/09/06,13:00,30.6,0.0,58,222,0.2
2018/09/06,14:00,31.7,0.0,50,173,0.7
2018/09/06,15:00,32.0,0.0,50,189,0.6
2018/09/06,16:00,31.6,0.0,53,223,0.4
2018/09/06,17:00,29.9,0.0,61,287,0.0
2018/09/06,18:00,27.4,0.0,71,309,0.1
2018/09/06,19:00,25.5,0.0,80,305,0.2
2018/09/06,20:00,23.6,0.0,89,305,0.0
2018/09/06,21:00,22.5,0.0,94,33,0.0
2018/09/06,22:00,21.7,0.0,96,61,0.0
2018/09/06,23:00,21.1,0.0,96,61,0.0
2018/09/07,00:00,20.5,0.0,96,61,0.0
2018/09/07,01:00,20.0,0.0,96,61,0.0
2018/09/07,02:00,19.8,0.0,97,90,0.0
2018/09/07,03:00,19.4,0.0,97,85,0.0
2018/09/07,04:00,19.0,0.0,97,83,0.0
2018/09/07,05:00,18.6,0.0,97,73,0.0
2018/09/07,06:00,18.3,0.0,97,70,0.0
2018/09/07,07:00,17.9,0.0,97,71,0.0
2018/09/07,08:00,18.2,0.0,98,300,0.0
2018/09/07,09:00,20.0,0.0,97,210,0.0
2018/09/07,10:00,23.7,0.0,90,192,0.4
2018/09/07,11:00,27.0,0.0,74,128,0.6
2018/09/07,12:00,29.4,0.0,65,160,0.9
2018/09/07,13:00,31.2,0.0,53,265,0.4
2018/09/07,14:00,32.0,0.0,52,307,0.3
2018/09/07,15:00,32.4,0.0,52,293,0.5
2018/09/07,16:00,31.8,0.0,54,273,0.2
2018/09/07,17:00,29.8,0.0,61,248,0.2
2018/09/07,18:00,27.5,0.0,70,334,0.0
2018/09/07,19:00,25.8,0.0,79,309,0.0
2018/09/07,20:00,23.8,0.0,90,309,0.0
2018/09/07,21:00,22.8,0.0,94,348,0.0
2018/09/07,22:00,21.9,0.0,95,70,0.0
2018/09/07,23:00,21.3,0.0,96,75,0.0
2018/09/08,00:00,20.8,0.0,96,75,0.0
2018/09/08,01:00,20.4,0.0,96,81,0.0
2018/09/08,02:00,20.1,0.0,97,90,0.0
2018/09/08,03:00,19.7,0.0,97,67,0.0
2018/09/08,04:00,19.5,0.0,97,94,0.0
2018/09/08,05:00,19.2,0.0,97,92,0.0
2018/09/08,06:00,19.0,0.0,97,159,0.0
2018/09/08,07:00,18.8,0.0,97,101,0.0
2018/09/08,08:00,18.9,0.0,97,159,0.0
2018/09/08,09:00,20.7,0.0,97,158,0.0
2018/09/08,10:00,24.7,0.0,86,310,0.3
2018/09/08,12:00,30.4,0.0,64,215,0.3
2018/09/08,13:00,32.0,0.0,57,197,0.4
2018/09/08,14:00,33.1,0.0,51,163,0.3
2018/09/08,15:00,33.4,0.0,48,272,0.4
2018/09/08,16:00,33.0,0.0,53,215,0.2
2018/09/08,18:00,28.7,0.0,69,335,0.0
