Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CALLERIA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/07/01,00:00,22.8,0.0,96,56,0.0
2018/07/01,01:00,22.5,0.0,97,60,0.0
2018/07/01,02:00,22.1,0.0,97,115,0.0
2018/07/01,03:00,21.9,0.0,97,60,0.0
2018/07/01,04:00,21.5,0.0,97,92,0.0
2018/07/01,05:00,21.3,0.0,97,104,0.0
2018/07/01,06:00,21.1,0.0,97,221,0.0
2018/07/01,07:00,20.9,0.0,97,118,0.0
2018/07/01,08:00,20.7,0.0,97,130,0.0
2018/07/01,09:00,21.6,0.0,98,120,0.3
2018/07/01,10:00,24.1,0.0,95,126,0.3
2018/07/01,11:00,26.6,0.0,87,67,0.4
2018/07/01,12:00,28.9,0.0,77,94,0.7
2018/07/01,13:00,29.7,0.0,74,165,0.3
2018/07/01,14:00,30.3,0.0,71,74,0.1
2018/07/01,15:00,30.2,0.0,72,153,0.5
2018/07/01,17:00,29.9,0.0,71,50,0.2
2018/07/01,18:00,27.4,0.0,81,323,0.0
2018/07/01,19:00,26.4,0.0,88,329,0.0
2018/07/01,20:00,24.9,0.0,92,38,0.0
2018/07/01,21:00,24.0,0.0,95,38,0.0
2018/07/01,22:00,23.5,0.0,96,43,0.0
2018/07/01,23:00,23.0,0.0,96,49,0.0
2018/07/02,00:00,22.6,0.0,97,64,0.0
2018/07/02,01:00,22.2,0.0,97,69,0.0
2018/07/02,02:00,21.8,0.0,97,266,0.0
2018/07/02,03:00,21.4,0.0,97,244,0.0
2018/07/02,04:00,21.1,0.0,97,22,0.0
2018/07/02,05:00,20.8,0.0,97,54,0.0
2018/07/02,06:00,20.6,0.0,97,120,0.0
2018/07/02,07:00,20.4,0.0,97,124,0.0
2018/07/02,08:00,20.2,0.0,97,139,0.0
2018/07/02,09:00,21.2,0.0,98,143,0.0
2018/07/02,10:00,24.1,0.0,95,200,0.3
2018/07/02,11:00,26.8,0.0,86,13,0.3
2018/07/02,12:00,29.3,0.0,76,139,0.4
2018/07/02,13:00,30.4,0.0,70,15,0.5
2018/07/02,14:00,31.3,0.0,67,63,0.3
2018/07/02,15:00,31.4,0.0,66,285,0.5
2018/07/02,16:00,30.6,0.0,69,143,0.1
2018/07/02,17:00,29.7,0.0,71,328,0.2
2018/07/02,18:00,27.4,0.0,78,326,0.1
2018/07/02,19:00,26.1,0.0,86,301,0.0
2018/07/02,20:00,24.7,0.0,92,302,0.0
2018/07/02,21:00,24.0,0.0,95,4,0.0
2018/07/02,22:00,23.6,0.0,96,272,0.0
2018/07/02,23:00,23.1,0.0,96,75,0.1
2018/07/03,00:00,22.8,0.0,97,79,0.0
2018/07/03,01:00,22.4,0.0,97,79,0.0
2018/07/03,02:00,22.0,0.0,97,78,0.0
2018/07/03,03:00,21.7,0.0,97,64,0.0
2018/07/03,04:00,21.4,0.0,97,72,0.0
2018/07/03,05:00,21.1,0.0,97,72,0.0
2018/07/03,06:00,20.8,0.0,97,96,0.0
2018/07/03,07:00,20.6,0.0,97,214,0.0
2018/07/03,08:00,20.6,0.0,97,186,0.0
2018/07/03,09:00,21.5,0.0,98,172,0.0
2018/07/03,10:00,24.3,0.0,94,134,0.0
2018/07/03,11:00,27.0,0.0,83,132,0.1
2018/07/03,12:00,29.4,0.0,72,142,0.4
2018/07/03,13:00,31.0,0.0,67,150,0.6
2018/07/03,14:00,31.3,0.0,65,198,0.1
2018/07/03,15:00,32.3,0.0,61,260,0.2
2018/07/03,16:00,30.1,0.0,68,310,0.2
2018/07/03,17:00,30.0,0.0,70,243,0.3
2018/07/03,18:00,27.7,0.0,81,305,0.0
2018/07/03,19:00,26.5,0.0,85,98,0.3
2018/07/03,20:00,24.9,0.0,92,69,0.0
2018/07/03,21:00,23.9,0.0,95,69,0.1
2018/07/03,22:00,23.4,0.0,95,60,0.0
2018/07/03,23:00,22.7,0.0,96,69,0.0
2018/07/04,00:00,22.4,0.0,96,60,0.0
2018/07/04,01:00,22.1,0.0,96,60,0.0
2018/07/04,02:00,21.8,0.0,97,60,0.0
2018/07/04,03:00,21.6,0.0,97,74,0.0
2018/07/04,04:00,21.3,0.0,97,175,0.0
2018/07/04,05:00,21.3,0.0,97,110,0.0
2018/07/04,06:00,21.2,0.0,97,110,0.0
2018/07/04,07:00,20.9,0.0,97,80,0.0
2018/07/04,08:00,20.8,0.0,97,126,0.0
2018/07/04,09:00,21.6,0.0,97,121,0.2
2018/07/04,10:00,24.3,0.0,95,309,0.0
2018/07/04,11:00,25.1,0.0,93,82,0.4
2018/07/04,12:00,25.1,0.0,90,90,0.6
2018/07/04,13:00,26.1,0.0,86,96,0.6
2018/07/04,14:00,27.8,0.0,82,147,0.1
2018/07/04,15:00,28.5,0.0,79,315,0.1
2018/07/04,16:00,27.7,0.0,83,111,0.0
2018/07/04,17:00,27.5,0.0,84,222,0.0
2018/07/04,18:00,26.5,0.0,88,312,0.0
2018/07/04,19:00,25.5,0.0,92,319,0.0
2018/07/04,20:00,24.6,0.0,95,293,0.0
2018/07/04,21:00,24.0,0.0,96,35,0.0
2018/07/04,22:00,23.9,0.0,96,103,0.0
2018/07/04,23:00,23.5,0.0,97,1,0.0
2018/07/05,00:00,23.3,0.0,97,166,0.0
2018/07/05,01:00,22.9,0.0,97,282,0.0
2018/07/05,02:00,22.5,0.0,97,294,0.0
2018/07/05,03:00,22.3,0.0,97,302,0.0
2018/07/05,04:00,22.0,0.0,97,302,0.0
2018/07/05,05:00,21.7,0.0,97,302,0.0
2018/07/05,06:00,21.6,0.0,97,35,0.0
2018/07/05,07:00,21.8,0.0,98,90,0.0
2018/07/05,08:00,21.5,0.0,97,123,0.0
2018/07/05,09:00,21.9,0.0,98,105,0.4
2018/07/05,10:00,23.1,0.0,97,127,0.1
