Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CALLERIA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/08/01,00:00,22.6,0.0,97,118,0.0
2018/08/01,01:00,22.9,0.0,97,126,0.0
2018/08/01,02:00,22.9,0.0,97,286,0.0
2018/08/01,03:00,22.8,0.0,97,286,0.0
2018/08/01,04:00,22.7,0.0,97,122,0.0
2018/08/01,05:00,22.4,0.0,97,118,0.0
2018/08/01,06:00,22.3,0.0,97,184,0.0
2018/08/01,07:00,22.2,0.0,98,118,0.0
2018/08/01,08:00,22.1,0.0,97,129,0.0
2018/08/01,09:00,22.9,0.0,97,112,0.3
2018/08/01,10:00,24.0,0.0,93,293,0.4
2018/08/01,11:00,25.6,0.0,85,109,0.3
2018/08/01,12:00,25.8,0.0,84,213,0.3
2018/08/01,13:00,26.4,0.0,83,200,0.1
2018/08/01,14:00,26.4,0.0,83,157,0.2
2018/08/01,15:00,27.3,0.0,79,77,0.2
2018/08/01,16:00,26.8,0.0,84,130,0.1
2018/08/01,17:00,27.5,0.0,80,220,0.2
2018/08/01,18:00,26.5,0.0,85,34,0.1
2018/08/01,19:00,25.0,2.6,94,57,0.3
2018/08/01,20:00,23.1,0.2,96,338,0.1
2018/08/01,21:00,22.4,0.1,97,359,0.0
2018/08/01,22:00,22.1,0.0,97,72,0.0
2018/08/01,23:00,22.2,0.0,97,127,0.0
2018/08/02,00:00,22.3,0.0,97,240,0.0
2018/08/02,01:00,22.2,0.0,97,234,0.0
2018/08/02,02:00,22.0,0.0,98,191,0.0
2018/08/02,03:00,22.0,0.0,97,97,0.0
2018/08/02,04:00,21.8,0.0,98,113,0.0
2018/08/02,05:00,21.6,0.0,97,101,0.0
2018/08/02,06:00,21.5,0.0,97,106,0.0
2018/08/02,07:00,21.3,0.0,98,202,0.0
2018/08/02,08:00,21.2,0.0,98,219,0.0
2018/08/02,09:00,22.0,0.1,98,208,0.0
2018/08/02,10:00,23.3,0.0,96,136,0.0
2018/08/02,11:00,24.7,0.0,92,118,0.1
2018/08/02,12:00,26.1,0.0,87,80,0.8
2018/08/02,13:00,28.3,0.0,77,114,0.5
2018/08/02,14:00,28.6,0.0,73,92,0.2
2018/08/02,15:00,28.8,0.0,74,126,0.1
2018/08/02,16:00,30.1,0.0,65,319,0.1
2018/08/02,17:00,27.7,0.0,76,242,0.0
2018/08/02,18:00,26.3,0.0,82,328,0.0
2018/08/02,19:00,25.4,0.0,88,88,0.2
2018/08/02,20:00,24.7,0.0,90,72,0.2
2018/08/02,21:00,24.0,0.0,92,64,0.0
2018/08/02,22:00,23.4,0.0,94,28,0.0
2018/08/02,23:00,23.2,0.0,95,55,0.0
2018/08/03,00:00,22.9,0.0,96,33,0.0
2018/08/03,01:00,22.3,0.0,97,108,0.0
2018/08/03,02:00,22.0,0.0,97,286,0.0
2018/08/03,03:00,21.7,0.0,97,300,0.0
2018/08/03,04:00,21.4,0.0,97,326,0.1
2018/08/03,05:00,21.1,0.0,97,119,0.0
2018/08/03,06:00,21.0,0.0,97,151,0.0
2018/08/03,07:00,20.8,0.0,97,93,0.0
2018/08/03,08:00,20.7,0.0,98,181,0.0
2018/08/03,09:00,21.6,0.0,98,144,0.1
2018/08/03,10:00,24.4,0.0,91,268,0.2
2018/08/03,11:00,26.7,0.0,82,175,0.4
2018/08/03,12:00,28.5,0.0,77,62,0.6
2018/08/03,13:00,29.7,0.0,71,270,0.5
2018/08/03,14:00,30.7,0.0,67,340,0.6
2018/08/03,15:00,31.0,0.0,64,272,0.3
2018/08/03,16:00,27.2,0.0,80,140,0.1
2018/08/03,17:00,26.9,0.0,84,112,0.0
2018/08/03,18:00,26.7,0.0,89,353,0.1
2018/08/03,19:00,25.9,0.0,93,302,0.0
2018/08/03,20:00,24.8,0.0,95,296,0.0
2018/08/03,21:00,24.1,0.0,96,81,0.1
2018/08/03,22:00,23.7,0.0,97,53,0.0
2018/08/03,23:00,23.3,0.0,97,71,0.0
2018/08/04,00:00,22.9,0.0,97,83,0.0
2018/08/04,01:00,22.6,0.0,97,92,0.0
2018/08/04,02:00,22.2,0.0,97,89,0.0
2018/08/04,03:00,21.9,0.0,97,96,0.0
2018/08/04,04:00,21.7,0.0,97,82,0.1
2018/08/04,05:00,21.6,0.0,97,63,0.0
2018/08/04,06:00,21.5,0.0,97,84,0.0
2018/08/04,07:00,21.8,0.0,97,135,0.0
2018/08/04,08:00,22.1,0.1,98,114,0.1
2018/08/04,09:00,22.8,0.0,98,170,0.0
2018/08/04,10:00,25.3,0.0,94,102,0.2
2018/08/04,11:00,27.0,0.0,87,87,0.7
2018/08/04,12:00,29.3,0.0,75,300,0.7
2018/08/04,13:00,29.9,0.0,73,137,0.1
2018/08/04,14:00,28.5,0.0,82,75,0.9
2018/08/04,15:00,24.1,25.8,97,273,0.7
2018/08/04,16:00,23.9,10.0,99,184,0.6
2018/08/04,17:00,24.4,0.0,97,140,0.1
2018/08/04,18:00,24.7,0.0,97,38,0.6
2018/08/04,19:00,24.0,0.0,96,84,0.0
2018/08/04,20:00,23.1,0.0,97,99,0.3
2018/08/04,21:00,22.8,0.0,97,91,0.0
2018/08/04,22:00,22.4,0.0,97,112,0.0
2018/08/04,23:00,22.2,0.0,98,109,0.0
2018/08/05,00:00,22.0,0.0,98,87,0.0
2018/08/05,01:00,21.8,0.0,97,87,0.0
2018/08/05,02:00,21.5,0.0,98,87,0.0
2018/08/05,03:00,21.2,0.0,97,87,0.0
2018/08/05,04:00,21.0,0.0,98,87,0.0
2018/08/05,05:00,20.8,0.0,98,180,0.0
2018/08/05,06:00,21.0,0.0,98,117,0.0
2018/08/05,07:00,21.1,0.0,98,200,0.0
2018/08/05,08:00,21.4,0.0,98,190,0.0
2018/08/05,09:00,22.0,0.0,98,179,0.0
