Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CALLERIA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/08/01,00:00,24.8,0.0,99,261,0.1
2024/08/01,01:00,24.4,0.0,100,271,0.0
2024/08/01,02:00,24.0,0.0,100,281,0.0
2024/08/01,03:00,23.7,0.0,100,282,0.0
2024/08/01,04:00,23.4,0.0,100,259,0.0
2024/08/01,05:00,23.2,0.0,100,214,0.0
2024/08/01,06:00,22.9,0.0,100,168,0.0
2024/08/01,07:00,22.6,0.0,100,120,0.0
2024/08/01,08:00,22.5,0.0,100,97,0.0
2024/08/01,09:00,23.4,0.0,99,117,0.4
2024/08/01,10:00,25.5,0.0,91,62,0.1
2024/08/01,11:00,27.3,0.0,80,177,0.7
2024/08/01,12:00,29.3,0.0,75,163,0.5
2024/08/01,13:00,30.8,0.0,74,300,0.2
2024/08/01,14:00,30.7,0.0,78,285,0.1
2024/08/01,15:00,30.5,0.0,80,288,0.1
2024/08/01,16:00,30.0,0.0,83,217,0.2
2024/08/01,17:00,31.0,0.0,77,260,0.4
2024/08/01,18:00,30.3,0.0,76,336,0.1
2024/08/01,19:00,27.5,0.0,87,298,0.1
2024/08/01,20:00,25.9,0.0,93,325,0.0
2024/08/01,21:00,25.0,0.0,97,359,0.0
2024/08/01,22:00,24.4,0.0,99,85,0.0
2024/08/01,23:00,23.9,0.0,99,84,0.0
2024/08/02,00:00,23.5,0.0,100,86,0.0
2024/08/02,01:00,23.1,0.0,100,85,0.0
2024/08/02,02:00,22.8,0.0,100,78,0.0
2024/08/02,03:00,22.5,0.0,100,71,0.0
2024/08/02,04:00,22.3,0.0,100,71,0.0
2024/08/02,05:00,22.0,0.0,100,84,0.0
2024/08/02,06:00,21.8,0.0,100,101,0.1
2024/08/02,07:00,21.6,0.0,100,143,0.0
2024/08/02,08:00,21.9,0.0,100,121,0.1
2024/08/02,09:00,23.2,0.0,100,131,0.3
2024/08/02,10:00,25.1,0.0,91,13,0.5
2024/08/02,11:00,27.0,0.0,81,150,0.6
2024/08/02,12:00,29.4,0.0,71,112,0.8
2024/08/02,13:00,31.5,0.0,63,230,0.7
2024/08/02,14:00,32.9,0.0,58,76,0.4
2024/08/02,15:00,33.2,0.0,56,192,0.6
2024/08/02,16:00,33.9,0.0,56,62,0.6
2024/08/02,17:00,33.2,0.0,58,62,0.2
2024/08/02,18:00,31.9,0.0,64,337,0.0
2024/08/02,19:00,29.0,0.0,78,341,0.0
2024/08/02,20:00,26.9,0.0,86,340,0.0
2024/08/02,21:00,25.6,0.0,93,75,0.0
2024/08/02,22:00,24.8,0.0,96,92,0.0
2024/08/02,23:00,24.2,0.0,97,92,0.0
2024/08/03,00:00,23.7,0.0,99,67,0.0
2024/08/03,01:00,23.2,0.0,99,74,0.0
2024/08/03,02:00,22.8,0.0,100,85,0.0
2024/08/03,03:00,22.5,0.0,100,86,0.0
2024/08/03,04:00,22.2,0.0,100,87,0.0
2024/08/03,05:00,22.0,0.0,100,65,0.0
2024/08/03,06:00,21.8,0.0,100,69,0.0
2024/08/03,07:00,21.7,0.0,100,78,0.0
2024/08/03,08:00,21.7,0.0,100,92,0.0
2024/08/03,09:00,22.9,0.0,100,184,0.0
2024/08/03,10:00,25.4,0.0,93,115,0.3
2024/08/03,11:00,27.6,0.0,78,300,0.7
2024/08/03,12:00,30.8,0.0,63,214,1.0
2024/08/03,13:00,33.6,0.0,54,225,0.8
2024/08/03,14:00,34.9,0.0,49,30,1.0
2024/08/03,15:00,35.4,0.0,48,74,0.5
2024/08/03,16:00,35.0,0.0,50,98,0.5
2024/08/03,17:00,33.1,0.0,61,283,0.2
2024/08/03,18:00,32.8,0.0,58,343,0.1
2024/08/03,19:00,29.8,0.0,71,310,0.0
2024/08/03,20:00,27.5,0.0,82,290,0.0
2024/08/03,21:00,26.1,0.0,92,26,0.0
2024/08/03,22:00,25.0,0.0,94,71,0.0
2024/08/03,23:00,24.3,0.0,96,357,0.0
2024/08/04,00:00,23.9,0.0,98,64,0.0
2024/08/04,01:00,23.5,0.0,99,46,0.0
2024/08/04,02:00,23.0,0.0,99,75,0.0
2024/08/04,03:00,22.7,0.0,100,311,0.0
2024/08/04,04:00,22.5,0.0,100,54,0.0
2024/08/04,05:00,22.1,0.0,100,266,0.0
2024/08/04,06:00,21.8,0.0,100,267,0.0
2024/08/04,07:00,21.5,0.0,100,267,0.0
2024/08/04,08:00,21.4,0.0,100,267,0.0
2024/08/04,09:00,22.6,0.0,99,125,0.3
2024/08/04,10:00,25.3,0.0,92,125,0.5
2024/08/04,11:00,27.8,0.0,78,119,0.6
2024/08/04,12:00,30.8,0.0,64,258,0.8
2024/08/04,13:00,33.3,0.0,60,281,0.3
2024/08/04,14:00,33.6,0.0,60,350,0.4
2024/08/04,15:00,34.7,0.0,53,101,0.4
2024/08/04,16:00,34.5,0.0,58,72,0.2
2024/08/04,17:00,32.8,0.0,64,197,0.3
2024/08/04,18:00,33.0,0.0,66,313,0.1
2024/08/04,19:00,30.3,0.0,79,309,0.0
2024/08/04,20:00,28.3,0.0,89,359,0.1
2024/08/04,21:00,27.0,0.0,94,82,0.0
2024/08/04,22:00,26.2,0.0,97,86,0.0
2024/08/04,23:00,25.6,0.0,98,84,0.0
2024/08/05,00:00,25.1,0.0,99,10,0.0
2024/08/05,01:00,24.7,0.0,99,16,0.1
2024/08/05,02:00,24.3,0.0,99,277,0.0
2024/08/05,03:00,23.9,0.0,99,353,0.0
2024/08/05,04:00,23.8,0.0,100,79,0.0
2024/08/05,05:00,23.7,0.0,100,79,0.0
2024/08/05,06:00,23.7,0.0,100,79,0.0
2024/08/05,07:00,23.7,0.0,100,79,0.0
2024/08/05,08:00,23.6,0.0,100,351,0.0
2024/08/05,09:00,24.6,0.0,96,48,0.0
