Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTO TOMAS PUNCHANA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
,Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
,Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-10-01,8.72,8.72,8.72,8.72
2019-10-02,8.68,8.68,8.66,8.66
2019-10-03,8.62,8.62,8.62,8.62
2019-10-04,8.60,8.60,8.62,8.62
2019-10-05,8.64,8.66,8.66,8.68
2019-10-06,8.70,8.74,8.78,8.82
2019-10-07,8.86,8.90,8.94,8.98
2019-10-08,9.06,9.12,9.16,9.22
2019-10-09,9.30,9.32,9.34,9.34
2019-10-10,9.40,9.40,9.42,9.42
2019-10-11,9.46,9.47,9.48,9.48
2019-10-12,9.54,9.57,9.64,9.68
2019-10-13,9.90,9.96,10.02,10.08
2019-10-14,10.30,10.32,10.34,10.36
2019-10-15,10.50,10.52,10.56,10.58
2019-10-16,10.66,10.66,10.66,10.66
2019-10-17,10.65,10.64,10.64,10.54
2019-10-18,10.62,10.62,10.60,10.56
2019-10-19,10.48,10.46,10.42,10.40
2019-10-20,10.38,10.46,10.20,10.40
2019-10-21,10.36,10.36,10.34,10.34
2019-10-22,10.28,10.28,10.26,10.24
2019-10-23,10.21,10.22,10.23,10.24
2019-10-24,10.30,10.34,10.36,10.40
2019-10-25,10.52,10.54,10.58,10.60
2019-10-26,10.66,10.66,10.68,10.70
2019-10-27,10.74,10.74,10.76,10.76
2019-10-28,10.80,10.82,10.84,10.86
2019-10-29,10.90,10.92,10.94,10.96
2019-10-30,11.00,11.02,11.04,11.06
2019-10-31,11.18,11.22,11.26,11.30
