Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTO TOMAS PUNCHANA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
,Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
,Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-03-01,13.70,13.70,13.72,13.72
2020-03-02,13.74,13.76,13.76,13.78
2020-03-03,13.80,13.80,13.82,13.82
2020-03-04,13.84,13.84,13.86,13.86
2020-03-05,13.88,13.88,13.90,13.90
2020-03-06,13.92,13.92,13.94,13.94
2020-03-07,13.96,13.96,13.98,13.98
2020-03-08,14.04,14.04,14.06,14.06
2020-03-09,14.08,14.10,14.10,14.12
2020-03-10,14.14,14.14,14.16,14.18
2020-03-11,14.18,14.18,14.20,14.20
2020-03-12,14.22,14.22,14.24,14.24
2020-03-13,14.30,14.30,14.32,14.32
2020-03-14,14.34,14.34,14.36,14.36
2020-03-15,14.36,14.36,14.38,14.40
2020-03-16,14.42,14.42,14.42,14.42
2020-03-17,14.42,14.42,14.43,14.43
2020-03-18,14.44,14.44,14.46,14.46
2020-03-19,14.46,14.46,14.46,14.46
2020-03-20,14.46,14.46,14.46,14.46
2020-03-21,14.47,14.48,14.49,14.50
2020-03-22,14.52,14.54,14.56,14.58
2020-03-23,14.60,14.62,14.64,14.66
2020-03-24,14.68,14.69,14.70,14.71
2020-03-25,14.72,14.71,14.70,14.69
2020-03-26,14.66,14.64,14.62,14.60
2020-03-27,14.56,14.54,14.52,14.50
2020-03-28,14.46,14.44,14.40,14.38
2020-03-29,14.34,14.34,14.36,14.36
2020-03-30,14.38,14.38,14.38,14.38
2020-03-31,14.40,14.40,14.42,14.42
