Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : ANGAMOS
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
,Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-02-01,15.55,15.56,15.58,15.60
2019-02-02,15.62,15.58,15.50,15.45
2019-02-03,15.40,15.36,15.30,15.20
2019-02-04,15.18,15.17,15.16,15.15
2019-02-05,15.11,15.11,15.10,15.09
2019-02-06,15.06,15.04,15.02,15.00
2019-02-07,15.05,15.06,15.07,15.08
2019-02-08,15.10,15.12,15.13,15.15
2019-02-09,15.19,15.19,15.20,15.20
2019-02-10,15.32,15.34,15.36,15.38
2019-02-11,15.52,15.61,15.67,15.70
2019-02-12,15.83,15.86,15.90,15.92
2019-02-13,15.98,16.05,16.12,16.16
2019-02-14,16.28,16.33,16.34,16.35
2019-02-15,16.37,16.47,15.50,16.52
2019-02-16,16.60,16.62,16.64,16.66
2019-02-17,16.73,16.75,16.77,16.79
2019-02-18,16.80,16.80,16.81,16.81
2019-02-19,16.81,16.82,16.83,16.84
2019-02-20,16.84,16.84,16.83,16.83
2019-02-21,16.81,16.80,16.79,16.79
2019-02-22,16.78,16.78,16.79,16.79
2019-02-23,16.80,16.80,16.79,16.79
2019-02-24,16.77,16.75,16.74,16.73
2019-02-25,16.70,16.68,16.67,16.65
2019-02-26,16.60,16.58,16.57,16.56
2019-02-27,16.49,16.46,16.44,16.42
2019-02-28,16.36,16.32,16.30,16.28
