Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/02/01,00:00,S/D,0.0,51,206,1.2
2022/02/01,01:00,S/D,0.0,42,191,0.9
2022/02/01,02:00,S/D,0.0,41,180,1.0
2022/02/01,03:00,-31.1,0.0,74,197,0.5
2022/02/01,04:00,S/D,0.0,42,254,0.4
2022/02/01,05:00,S/D,0.0,43,196,1.2
2022/02/01,06:00,S/D,0.0,42,195,1.7
2022/02/01,07:00,S/D,0.0,39,201,1.7
2022/02/01,08:00,S/D,0.0,34,270,1.2
2022/02/01,09:00,-28.2,0.0,78,298,1.1
2022/02/01,10:00,-27.3,0.0,57,339,1.6
2022/02/01,11:00,-26.4,0.0,77,332,1.8
2022/02/01,12:00,-28.0,0.0,62,333,1.4
2022/02/01,13:00,-26.6,0.0,66,44,1.9
2022/02/01,14:00,-24.3,0.0,88,43,1.8
2022/02/01,15:00,-26.1,0.0,60,339,1.2
2022/02/01,16:00,-27.7,0.0,49,87,0.9
2022/02/01,17:00,-30.2,0.0,61,214,2.0
2022/02/01,18:00,S/D,0.0,32,199,0.5
2022/02/01,19:00,S/D,0.0,47,201,0.7
2022/02/01,20:00,-31.2,0.0,71,264,1.5
2022/02/01,21:00,-29.8,0.0,76,270,1.7
2022/02/01,22:00,S/D,0.0,41,163,0.7
2022/02/01,23:00,-30.7,0.0,74,159,1.1
2022/02/02,00:00,S/D,0.0,32,279,0.0
2022/02/02,01:00,S/D,0.0,31,174,0.8
2022/02/02,02:00,-31.0,0.0,70,168,0.4
2022/02/02,03:00,-29.6,0.0,82,196,0.3
2022/02/02,04:00,-29.9,0.0,80,170,0.9
2022/02/02,05:00,S/D,0.0,31,197,1.0
2022/02/02,06:00,S/D,0.0,40,182,0.9
2022/02/02,07:00,-30.5,0.0,76,268,0.5
2022/02/02,08:00,S/D,0.0,49,359,1.5
2022/02/02,09:00,-25.3,0.0,81,334,1.6
2022/02/02,10:00,-23.2,0.0,90,0,2.1
2022/02/02,11:00,-27.2,0.0,77,1,2.3
2022/02/02,12:00,-23.8,0.0,89,62,1.0
2022/02/02,13:00,-22.0,0.0,89,46,1.1
2022/02/02,14:00,-26.4,0.0,77,156,2.8
2022/02/02,15:00,-25.0,0.0,85,185,1.8
2022/02/02,16:00,-18.7,0.0,100,227,1.7
2022/02/02,17:00,-30.0,0.0,65,86,1.9
2022/02/02,18:00,S/D,0.0,65,356,4.9
2022/02/02,19:00,-30.5,0.0,81,335,3.2
2022/02/02,20:00,-30.8,0.0,79,279,3.0
2022/02/02,21:00,S/D,0.0,72,165,2.1
2022/02/02,22:00,S/D,0.0,38,166,2.3
2022/02/02,23:00,S/D,0.0,20,83,0.7
2022/02/03,00:00,S/D,0.0,32,180,1.1
2022/02/03,01:00,S/D,0.0,27,55,0.3
2022/02/03,02:00,S/D,0.0,57,64,0.1
