Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/02/01,08:00,S/D,0.0,S/D,279,1.5
2025/02/01,09:00,S/D,0.0,S/D,297,1.6
2025/02/01,10:00,S/D,0.0,S/D,318,1.7
2025/02/01,11:00,S/D,0.0,S/D,358,1.6
2025/02/01,12:00,S/D,0.0,S/D,25,1.0
2025/02/01,13:00,S/D,0.0,S/D,326,1.5
2025/02/01,14:00,S/D,0.0,S/D,274,1.0
2025/02/01,15:00,S/D,0.0,S/D,273,4.8
2025/02/01,16:00,S/D,0.0,S/D,349,7.1
2025/02/01,17:00,S/D,0.0,S/D,250,2.6
2025/02/01,18:00,S/D,0.0,S/D,205,1.0
2025/02/02,09:00,S/D,0.0,S/D,68,0.8
2025/02/02,10:00,S/D,0.0,S/D,62,0.8
2025/02/02,11:00,S/D,0.0,S/D,49,0.3
2025/02/02,12:00,S/D,0.0,S/D,58,0.3
2025/02/02,13:00,S/D,0.0,S/D,113,0.6
2025/02/02,14:00,S/D,0.0,S/D,119,1.0
2025/02/02,15:00,S/D,0.0,S/D,0,0.8
2025/02/02,16:00,S/D,0.0,S/D,28,0.6
2025/02/02,17:00,S/D,0.0,S/D,62,0.0
2025/02/03,08:00,S/D,0.0,S/D,162,1.3
2025/02/03,09:00,S/D,0.0,S/D,47,0.6
2025/02/03,10:00,S/D,0.0,S/D,36,0.9
2025/02/03,11:00,S/D,0.0,S/D,347,1.4
2025/02/03,12:00,S/D,0.0,S/D,19,1.4
2025/02/03,13:00,S/D,0.0,S/D,39,0.3
2025/02/03,14:00,S/D,0.0,S/D,37,0.9
2025/02/03,15:00,S/D,0.0,S/D,25,4.1
2025/02/03,16:00,S/D,0.0,S/D,272,2.6
2025/02/03,17:00,S/D,0.0,S/D,287,0.3
2025/02/03,18:00,S/D,0.0,S/D,143,1.1
2025/02/04,08:00,S/D,0.0,S/D,61,0.4
2025/02/04,09:00,S/D,0.0,S/D,61,0.8
2025/02/04,10:00,S/D,0.0,S/D,68,1.3
2025/02/04,11:00,S/D,0.0,S/D,59,1.4
2025/02/04,12:00,S/D,0.0,S/D,35,1.5
2025/02/04,13:00,S/D,0.0,S/D,66,1.5
2025/02/04,14:00,S/D,0.0,S/D,74,1.9
2025/02/04,15:00,S/D,0.0,S/D,283,1.1
2025/02/04,16:00,S/D,0.0,S/D,209,2.2
2025/02/04,17:00,S/D,0.0,S/D,161,2.4
2025/02/04,18:00,S/D,0.0,S/D,277,0.1
2025/02/05,08:00,S/D,0.0,S/D,102,1.4
2025/02/05,09:00,S/D,0.0,S/D,131,2.3
2025/02/05,10:00,S/D,0.0,S/D,101,1.3
2025/02/05,11:00,S/D,0.0,S/D,102,0.6
2025/02/05,12:00,S/D,0.0,S/D,322,1.4
2025/02/05,13:00,S/D,0.0,S/D,184,1.6
