Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/12/01,00:00,S/D,0.0,S/D,9,0.6
2022/12/01,01:00,S/D,0.0,S/D,337,1.0
2022/12/01,02:00,S/D,0.0,S/D,339,1.8
2022/12/01,03:00,S/D,0.0,S/D,346,1.4
2022/12/01,04:00,S/D,0.0,S/D,302,0.4
2022/12/01,05:00,S/D,0.0,S/D,272,1.2
2022/12/01,06:00,S/D,0.0,S/D,17,0.7
2022/12/01,07:00,S/D,0.0,S/D,344,1.2
2022/12/01,08:00,S/D,0.0,S/D,354,1.3
2022/12/01,09:00,S/D,0.0,S/D,3,5.1
2022/12/01,10:00,S/D,0.0,S/D,24,5.9
2022/12/01,11:00,S/D,0.0,S/D,14,5.4
2022/12/01,12:00,S/D,0.0,S/D,13,5.1
2022/12/01,13:00,S/D,0.0,S/D,12,5.0
2022/12/01,14:00,S/D,0.0,S/D,15,3.8
2022/12/01,15:00,S/D,0.0,S/D,9,4.2
2022/12/01,16:00,S/D,0.0,S/D,17,3.8
2022/12/01,17:00,S/D,0.0,S/D,356,2.6
2022/12/01,18:00,S/D,0.0,S/D,13,0.0
2022/12/01,19:00,S/D,0.0,S/D,247,0.0
2022/12/01,20:00,S/D,0.0,S/D,212,0.7
2022/12/01,21:00,S/D,0.0,S/D,155,1.1
2022/12/01,22:00,S/D,0.0,S/D,41,0.8
2022/12/01,23:00,S/D,0.0,S/D,194,1.1
2022/12/02,00:00,S/D,0.0,S/D,207,1.3
2022/12/02,01:00,S/D,0.0,S/D,290,0.4
2022/12/02,02:00,S/D,0.0,S/D,342,1.1
2022/12/02,03:00,S/D,0.0,S/D,306,0.4
2022/12/02,04:00,S/D,0.0,S/D,7,2.6
2022/12/02,05:00,S/D,0.0,S/D,9,2.9
2022/12/02,06:00,S/D,0.0,S/D,7,2.6
2022/12/02,07:00,S/D,0.0,S/D,358,3.5
2022/12/02,08:00,S/D,0.0,S/D,358,4.4
2022/12/02,09:00,S/D,0.0,S/D,14,6.1
2022/12/02,10:00,S/D,0.0,S/D,26,5.4
2022/12/02,11:00,S/D,0.0,S/D,22,6.1
2022/12/02,12:00,S/D,0.0,S/D,354,5.4
2022/12/02,13:00,S/D,0.0,S/D,2,5.2
2022/12/02,14:00,S/D,0.0,S/D,22,2.7
2022/12/02,15:00,S/D,0.0,S/D,17,3.2
2022/12/02,16:00,S/D,0.0,S/D,345,2.5
2022/12/02,17:00,S/D,0.0,S/D,4,2.7
2022/12/02,18:00,S/D,0.0,S/D,176,1.0
2022/12/02,19:00,S/D,0.0,S/D,176,1.1
2022/12/02,20:00,S/D,0.0,S/D,190,0.9
2022/12/02,21:00,S/D,0.0,S/D,186,0.3
2022/12/02,22:00,S/D,0.0,S/D,196,1.1
2022/12/02,23:00,S/D,0.0,S/D,146,0.5
