Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/10/01,00:00,S/D,0.0,S/D,208,2.0
2023/10/01,01:00,S/D,0.0,S/D,297,0.7
2023/10/01,02:00,S/D,0.0,S/D,279,0.2
2023/10/01,03:00,S/D,0.0,S/D,263,0.6
2023/10/01,04:00,S/D,0.0,S/D,198,0.2
2023/10/01,05:00,S/D,0.0,S/D,224,0.8
2023/10/01,06:00,S/D,0.0,S/D,294,0.7
2023/10/01,07:00,S/D,0.0,S/D,196,1.1
2023/10/01,08:00,S/D,0.0,S/D,344,1.8
2023/10/01,09:00,S/D,0.0,S/D,357,1.7
2023/10/01,10:00,S/D,0.0,S/D,12,1.8
2023/10/01,11:00,S/D,0.0,S/D,332,1.2
2023/10/01,12:00,S/D,0.0,S/D,325,1.2
2023/10/01,13:00,S/D,0.0,S/D,328,0.8
2023/10/01,14:00,S/D,0.0,S/D,349,2.7
2023/10/01,15:00,S/D,0.0,S/D,345,2.0
2023/10/01,16:00,S/D,0.0,S/D,359,2.2
2023/10/01,17:00,S/D,0.0,S/D,271,1.6
2023/10/01,18:00,S/D,0.0,S/D,191,1.1
2023/10/01,19:00,S/D,0.0,S/D,194,1.2
2023/10/01,20:00,S/D,S/D,S/D,S/D,S/D
2023/10/01,22:00,S/D,0.0,S/D,168,1.1
2023/10/01,23:00,S/D,0.0,S/D,148,0.7
2023/10/02,00:00,S/D,0.0,S/D,149,0.3
2023/10/02,01:00,S/D,0.0,S/D,218,0.3
2023/10/02,02:00,S/D,0.0,S/D,199,1.6
2023/10/02,03:00,S/D,0.0,S/D,213,0.1
2023/10/02,04:00,S/D,0.0,S/D,201,0.7
2023/10/02,05:00,S/D,0.0,S/D,193,0.2
2023/10/02,06:00,S/D,0.0,S/D,142,0.5
2023/10/02,07:00,S/D,0.0,S/D,67,0.1
2023/10/02,08:00,S/D,0.0,S/D,38,0.7
2023/10/02,09:00,S/D,0.0,S/D,36,0.8
2023/10/02,10:00,S/D,0.0,S/D,37,0.9
2023/10/02,11:00,S/D,0.0,S/D,39,1.0
2023/10/02,12:00,S/D,0.0,S/D,47,0.7
2023/10/02,13:00,S/D,0.0,S/D,65,1.4
2023/10/02,14:00,S/D,0.0,S/D,49,1.1
2023/10/02,15:00,S/D,0.0,S/D,339,1.7
2023/10/02,16:00,S/D,0.0,S/D,74,0.4
2023/10/02,17:00,S/D,0.0,S/D,163,0.7
2023/10/02,18:00,S/D,0.0,S/D,183,1.2
2023/10/02,19:00,S/D,0.0,S/D,184,0.4
2023/10/02,20:00,S/D,S/D,S/D,S/D,S/D
2023/10/02,21:00,S/D,S/D,S/D,S/D,S/D
2023/10/02,22:00,S/D,0.0,S/D,80,0.5
2023/10/02,23:00,S/D,0.0,S/D,185,1.0
2023/10/03,00:00,S/D,0.0,S/D,135,1.1
