Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/03/01,00:00,S/D,0.0,S/D,215,2.1
2023/03/01,01:00,S/D,0.0,S/D,173,0.8
2023/03/01,02:00,S/D,0.0,S/D,58,0.1
2023/03/01,03:00,S/D,0.0,S/D,236,0.1
2023/03/01,04:00,S/D,0.0,S/D,118,0.0
2023/03/01,05:00,S/D,0.0,S/D,23,0.6
2023/03/01,06:00,S/D,0.0,S/D,14,0.0
2023/03/01,07:00,S/D,0.0,S/D,279,1.0
2023/03/01,08:00,S/D,0.0,S/D,313,0.5
2023/03/01,09:00,S/D,0.0,S/D,325,1.4
2023/03/01,10:00,S/D,0.0,S/D,17,0.9
2023/03/01,11:00,S/D,0.0,S/D,133,1.0
2023/03/01,12:00,S/D,0.0,S/D,13,1.6
2023/03/01,13:00,S/D,0.0,S/D,247,2.0
2023/03/01,14:00,S/D,0.0,S/D,227,2.7
2023/03/01,15:00,S/D,0.0,S/D,212,2.2
2023/03/01,16:00,S/D,18.0,S/D,346,4.1
2023/03/01,17:00,S/D,17.7,S/D,172,1.9
2023/03/01,18:00,S/D,0.0,S/D,169,0.1
2023/03/01,19:00,S/D,0.0,S/D,164,0.1
2023/03/01,20:00,S/D,0.0,S/D,135,1.8
2023/03/01,21:00,S/D,0.0,S/D,44,1.2
2023/03/01,22:00,S/D,0.3,S/D,346,0.3
2023/03/01,23:00,S/D,8.4,S/D,164,3.4
2023/03/02,00:00,S/D,0.0,S/D,189,1.2
2023/03/02,01:00,S/D,4.5,S/D,270,1.2
2023/03/02,02:00,S/D,4.5,S/D,267,3.4
2023/03/02,03:00,S/D,0.0,S/D,190,1.8
2023/03/02,04:00,S/D,0.0,S/D,312,0.2
2023/03/02,05:00,S/D,0.0,S/D,247,1.4
2023/03/02,06:00,S/D,0.0,S/D,175,0.0
2023/03/02,07:00,S/D,0.0,S/D,43,0.1
2023/03/02,08:00,S/D,0.0,S/D,115,1.4
2023/03/02,09:00,S/D,0.0,S/D,90,1.7
2023/03/02,10:00,S/D,0.0,S/D,27,1.0
2023/03/02,11:00,S/D,0.0,S/D,17,1.7
2023/03/02,12:00,S/D,0.0,S/D,316,2.4
2023/03/02,13:00,S/D,0.0,S/D,346,1.5
2023/03/02,14:00,S/D,0.0,S/D,6,1.4
2023/03/02,15:00,S/D,0.0,S/D,3,2.2
2023/03/02,16:00,S/D,0.0,S/D,307,0.8
2023/03/02,17:00,S/D,0.0,S/D,318,1.2
2023/03/02,18:00,S/D,0.0,S/D,337,1.0
2023/03/02,19:00,S/D,0.0,S/D,208,0.2
2023/03/02,20:00,S/D,0.0,S/D,199,1.3
2023/03/02,21:00,S/D,0.0,S/D,239,0.4
2023/03/02,22:00,S/D,0.0,S/D,301,0.6
2023/03/02,23:00,S/D,0.0,S/D,231,0.1
