Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/01/01,00:00,23.9,0.0,100,179,1.2
2021/01/01,01:00,24.1,0.0,100,204,0.0
2021/01/01,02:00,24.2,0.0,100,173,0.5
2021/01/01,03:00,24.6,0.0,100,8,0.7
2021/01/01,04:00,24.7,0.0,100,324,1.0
2021/01/01,05:00,24.5,0.0,100,347,3.6
2021/01/01,06:00,24.1,0.0,100,351,3.1
2021/01/01,07:00,24.5,0.0,100,359,2.7
2021/01/01,08:00,25.2,0.0,100,350,2.9
2021/01/01,09:00,28.0,0.0,96,24,2.7
2021/01/01,10:00,27.3,0.0,99,29,2.8
2021/01/01,11:00,30.1,0.0,91,35,2.3
2021/01/01,12:00,29.4,0.0,91,6,4.8
2021/01/01,13:00,30.4,0.0,89,50,2.2
2021/01/01,14:00,25.7,5.1,100,164,2.9
2021/01/01,15:00,26.5,5.1,100,120,1.5
2021/01/01,16:00,26.9,0.0,100,136,1.1
2021/01/01,17:00,26.7,0.0,100,158,1.6
2021/01/01,18:00,25.5,0.0,100,163,1.9
2021/01/01,19:00,24.7,0.0,100,194,0.3
2021/01/01,20:00,24.4,0.0,100,236,0.5
2021/01/01,21:00,24.2,0.0,100,172,1.2
2021/01/01,22:00,24.3,0.0,100,164,0.8
2021/01/01,23:00,24.3,0.0,100,227,0.4
2021/01/02,00:00,24.1,0.0,100,262,0.3
2021/01/02,01:00,23.9,0.0,100,215,1.0
2021/01/02,02:00,23.8,0.0,100,271,0.7
2021/01/02,03:00,23.6,0.0,100,328,0.3
2021/01/02,04:00,23.0,10.5,100,359,4.9
2021/01/02,05:00,22.7,16.2,100,157,1.1
2021/01/02,06:00,22.7,4.2,100,195,0.4
2021/01/02,07:00,23.1,0.0,100,186,0.3
2021/01/02,08:00,24.0,0.0,100,75,0.3
2021/01/02,09:00,24.8,0.0,100,34,0.5
2021/01/02,10:00,25.4,0.0,100,29,0.5
2021/01/02,11:00,26.4,0.0,100,349,1.1
2021/01/02,12:00,28.0,0.0,100,78,0.4
2021/01/02,13:00,28.5,0.0,100,74,0.5
2021/01/02,14:00,29.6,0.0,98,59,0.8
2021/01/02,15:00,28.4,0.0,100,65,0.7
2021/01/02,16:00,28.6,0.0,98,71,0.7
2021/01/02,17:00,26.3,0.0,100,222,1.8
2021/01/02,18:00,23.9,0.0,100,283,2.6
2021/01/02,19:00,23.8,0.0,100,298,1.6
2021/01/02,20:00,23.3,0.0,100,238,0.9
2021/01/02,21:00,23.3,0.0,100,224,0.8
2021/01/02,22:00,23.5,0.0,100,319,0.7
2021/01/02,23:00,23.5,0.0,100,179,0.5
2021/01/03,00:00,23.6,0.0,100,3,0.9
2021/01/03,01:00,23.5,0.0,100,0,0.5
2021/01/03,02:00,23.5,0.0,100,192,0.1
2021/01/03,03:00,23.7,0.0,100,321,0.7
