Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/04/01,00:00,S/D,0.0,S/D,209,1.7
2025/04/01,01:00,S/D,0.0,S/D,186,1.1
2025/04/01,02:00,S/D,0.0,S/D,88,0.1
2025/04/01,03:00,S/D,0.0,S/D,225,0.0
2025/04/01,04:00,S/D,0.0,S/D,334,0.8
2025/04/01,05:00,S/D,0.0,S/D,270,1.5
2025/04/01,06:00,S/D,0.0,S/D,222,0.7
2025/04/01,07:00,S/D,0.0,S/D,54,0.4
2025/04/01,08:00,S/D,0.0,S/D,114,2.3
2025/04/01,09:00,S/D,0.0,S/D,108,1.8
2025/04/01,10:00,S/D,0.0,S/D,97,1.8
2025/04/01,11:00,S/D,0.0,S/D,60,1.0
2025/04/01,12:00,S/D,0.0,S/D,41,2.3
2025/04/01,13:00,S/D,0.0,S/D,36,1.7
2025/04/01,14:00,S/D,0.0,S/D,40,1.2
2025/04/01,15:00,S/D,0.0,S/D,38,0.2
2025/04/01,16:00,S/D,0.0,S/D,23,0.7
2025/04/01,17:00,S/D,0.0,S/D,195,1.6
2025/04/01,18:00,S/D,0.0,S/D,265,0.2
2025/04/01,19:00,S/D,0.0,S/D,202,0.5
2025/04/01,20:00,S/D,S/D,S/D,S/D,S/D
2025/04/01,21:00,S/D,S/D,S/D,S/D,S/D
2025/04/01,22:00,S/D,0.0,S/D,200,0.3
2025/04/01,23:00,S/D,0.0,S/D,74,0.2
2025/04/02,00:00,S/D,0.0,S/D,181,0.7
2025/04/02,01:00,S/D,0.0,S/D,91,0.7
2025/04/02,02:00,S/D,0.0,S/D,258,0.5
2025/04/02,03:00,S/D,0.0,S/D,351,0.7
2025/04/02,04:00,S/D,0.0,S/D,44,0.0
2025/04/02,05:00,S/D,0.0,S/D,37,0.0
2025/04/02,06:00,S/D,0.0,S/D,46,0.0
2025/04/02,07:00,S/D,0.0,S/D,102,0.6
2025/04/02,08:00,S/D,0.0,S/D,117,1.3
2025/04/02,09:00,S/D,0.0,S/D,56,0.7
2025/04/02,10:00,S/D,0.0,S/D,68,1.5
2025/04/02,11:00,S/D,0.0,S/D,63,1.1
2025/04/02,12:00,S/D,0.0,S/D,38,1.1
2025/04/02,13:00,S/D,0.0,S/D,22,1.9
2025/04/02,14:00,S/D,0.0,S/D,44,1.2
2025/04/02,15:00,S/D,0.0,S/D,50,0.9
2025/04/02,16:00,S/D,0.0,S/D,326,0.7
2025/04/02,17:00,S/D,0.0,S/D,278,0.1
2025/04/02,18:00,S/D,0.0,S/D,297,0.8
2025/04/02,19:00,S/D,0.0,S/D,168,1.4
2025/04/02,21:00,S/D,0.0,S/D,85,0.9
2025/04/02,22:00,S/D,0.0,S/D,347,0.2
2025/04/02,23:00,S/D,0.0,S/D,218,1.7
2025/04/03,00:00,S/D,0.0,S/D,200,1.1
