Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/07/01,00:00,17.0,0.0,5,247,0.8
2021/07/01,01:00,16.9,0.0,5,261,1.2
2021/07/01,02:00,16.3,0.0,5,237,0.5
2021/07/01,03:00,17.1,0.0,5,244,0.3
2021/07/01,04:00,17.2,0.0,5,290,0.9
2021/07/01,05:00,17.3,0.0,5,243,1.1
2021/07/01,06:00,17.3,0.0,5,247,1.0
2021/07/01,07:00,18.0,0.0,6,275,1.5
2021/07/01,08:00,20.2,0.0,6,262,1.0
2021/07/01,09:00,21.9,0.0,7,272,1.2
2021/07/01,10:00,24.0,0.0,7,241,2.0
2021/07/01,11:00,24.2,0.0,7,73,1.1
2021/07/01,12:00,26.7,0.0,8,167,2.3
2021/07/01,13:00,29.5,0.0,67,20,1.4
2021/07/01,14:00,27.3,0.0,100,103,0.9
2021/07/01,15:00,27.2,0.0,8,2,0.6
2021/07/01,16:00,24.9,0.0,100,106,1.4
2021/07/01,17:00,23.3,0.0,100,175,0.3
2021/07/01,18:00,22.2,0.0,100,143,0.5
2021/07/01,19:00,21.7,0.0,100,171,0.9
2021/07/01,20:00,21.6,0.0,100,163,1.7
2021/07/01,21:00,21.4,0.0,100,168,1.5
2021/07/01,22:00,21.1,0.0,100,166,0.6
2021/07/01,23:00,20.1,0.0,100,69,0.0
2021/07/02,00:00,20.0,0.0,100,70,1.3
2021/07/02,01:00,19.3,0.0,100,174,0.6
2021/07/02,02:00,18.7,0.0,100,176,1.4
2021/07/02,03:00,18.5,0.0,6,165,2.2
2021/07/02,04:00,18.1,0.0,6,170,2.0
2021/07/02,05:00,17.8,0.0,6,179,1.5
2021/07/02,06:00,17.5,0.0,6,196,1.6
2021/07/02,07:00,19.7,0.0,6,269,1.7
2021/07/02,08:00,21.7,0.0,7,334,1.0
2021/07/02,09:00,25.1,0.0,8,331,1.1
2021/07/02,10:00,27.5,0.0,8,356,1.4
2021/07/02,11:00,30.1,0.0,9,34,0.6
2021/07/02,12:00,31.3,0.0,10,309,0.9
2021/07/02,13:00,31.5,0.0,10,17,0.5
2021/07/02,14:00,33.1,0.0,10,100,1.5
2021/07/02,15:00,28.8,0.0,10,68,0.5
2021/07/02,16:00,28.2,0.0,9,70,0.1
2021/07/02,17:00,27.5,0.0,9,141,0.4
2021/07/02,18:00,25.1,0.0,8,160,1.2
2021/07/02,19:00,24.2,0.0,8,160,0.0
2021/07/02,20:00,23.0,0.0,8,180,0.6
2021/07/02,21:00,21.8,0.0,8,201,1.1
2021/07/02,22:00,20.9,0.0,7,178,0.0
2021/07/02,23:00,20.4,0.0,7,203,1.3
2021/07/03,00:00,20.4,0.0,7,201,1.4
2021/07/03,01:00,20.1,0.0,7,188,1.3
2021/07/03,02:00,20.1,0.0,7,197,1.2
2021/07/03,03:00,20.5,0.0,7,187,1.1
