Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : REQUENA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
,Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-12-01,9.18,9.22,9.23,9.24
2024-12-02,9.26,9.26,9.26,9.27
2024-12-03,9.33,9.34,9.35,9.37
2024-12-04,9.38,9.43,9.45,9.47
2024-12-05,9.52,9.55,9.56,9.58
2024-12-06,9.63,9.64,9.66,9.67
2024-12-07,9.65,9.66,9.66,9.66
2024-12-08,9.66,9.66,9.66,9.66
2024-12-09,9.62,9.58,9.57,9.57
2024-12-10,9.59,9.58,9.58,9.58
2024-12-11,9.58,9.58,9.58,9.58
2024-12-12,9.62,9.64,9.67,9.71
2024-12-13,9.76,9.77,9.83,9.83
2024-12-14,9.92,9.94,9.96,9.97
2024-12-15,9.98,10.04,10.07,10.09
2024-12-16,10.11,10.13,10.15,10.18
2024-12-17,10.21,10.23,10.24,10.26
2024-12-18,10.28,10.28,10.28,10.29
2024-12-19,10.33,10.35,10.35,10.36
2024-12-20,10.42,10.42,10.44,10.46
2024-12-21,10.46,10.48,10.51,10.53
2024-12-22,10.54,10.57,10.58,10.59
2024-12-23,10.66,10.66,10.67,10.68
2024-12-24,10.69,10.73,10.74,10.75
2024-12-25,10.77,10.79,10.79,10.79
2024-12-26,10.81,10.82,10.83,10.86
2024-12-27,10.88,10.88,10.87,10.88
2024-12-28,10.88,10.88,10.88,10.88
2024-12-29,10.91,10.93,10.95,10.97
2024-12-30,10.99,11.02,11.03,11.04
2024-12-31,11.04,11.04,11.04,11.04
