Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : REQUENA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
,Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-07-01,5.68,5.65,5.64,5.59
2019-07-02,5.49,5.45,5.41,5.37
2019-07-03,5.22,5.14,5.13,5.13
2019-07-04,5.02,4.99,4.96,4.93
2019-07-05,4.83,4.81,4.79,4.77
2019-07-06,4.68,4.66,4.64,4.62
2019-07-07,4.56,4.54,4.52,4.50
2019-07-08,4.44,4.44,4.45,4.45
2019-07-09,4.45,4.41,4.45,4.43
2019-07-10,4.45,4.47,4.49,4.51
2019-07-11,4.58,4.60,4.62,4.64
2019-07-12,4.72,4.74,4.76,4.78
2019-07-13,4.84,4.86,4.88,4.90
2019-07-14,4.96,4.98,5.02,5.04
2019-07-15,5.11,5.11,5.12,5.12
2019-07-16,5.18,5.18,5.19,5.19
2019-07-17,5.19,5.19,5.19,5.18
2019-07-18,5.16,5.16,5.16,5.15
2019-07-19,5.10,5.08,5.05,5.04
2019-07-20,4.97,4.95,4.93,4.91
2019-07-21,4.84,4.83,4.82,4.81
2019-07-22,4.78,4.77,4.76,4.75
2019-07-23,4.69,4.69,4.69,4.70
2019-07-24,4.68,4.68,4.67,4.67
2019-07-25,4.65,4.63,4.61,4.61
2019-07-26,4.58,4.58,4.58,4.60
2019-07-27,4.65,4.65,4.65,4.65
2019-07-28,4.63,4.63,4.62,4.62
2019-07-29,4.59,4.58,4.56,4.54
2019-07-30,4.48,4.46,4.44,4.42
2019-07-31,4.36,4.34,4.32,4.30
