AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-06-01,9.250,9.200,9.160,9.150
2017-06-02,8.930,8.910,8.860,8.760
2017-06-03,8.570,8.540,8.520,8.500
2017-06-04,8.500,8.500,8.510,8.530
2017-06-05,8.590,8.600,8.660,8.710
2017-06-06,8.800,8.820,8.850,8.870
2017-06-07,8.920,8.940,8.970,0.000
