AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2026-04-01,9.390,9.390,9.390,9.390
2026-04-02,9.330,9.330,9.330,9.350
2026-04-03,9.300,9.300,9.300,9.300
2026-04-04,9.290,9.290,9.290,9.270
2026-04-05,9.260,9.260,9.260,9.260
2026-04-06,9.250,9.250,9.230,9.210
2026-04-07,9.200,0.000,0.000,0.000
