AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-06-01,7.870,7.880,7.880,7.900
2023-06-02,7.980,7.990,8.020,8.020
2023-06-03,8.070,8.150,8.310,8.400
