Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CABALLOCOCHA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
,Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
,Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/10/01,00:00,21.7,0.0,98,139,3.3
2020/10/01,01:00,21.7,0.0,99,72,0.7
2020/10/01,02:00,21.7,0.0,99,57,0.1
2020/10/01,03:00,21.8,0.0,99,266,2.3
2020/10/01,04:00,22.2,0.0,98,253,2.1
2020/10/01,05:00,22.3,0.0,98,271,0.4
2020/10/01,06:00,22.1,0.0,99,146,1.5
2020/10/01,07:00,22.2,0.0,98,131,0.6
2020/10/01,08:00,23.5,0.0,94,209,1.0
2020/10/01,09:00,24.5,0.0,89,245,2.2
2020/10/01,10:00,26.5,0.0,82,219,1.2
2020/10/01,11:00,27.7,0.0,77,284,2.6
2020/10/01,12:00,27.5,0.0,76,226,2.8
2020/10/01,13:00,27.9,0.0,79,311,3.7
2020/10/01,14:00,27.2,0.0,83,338,5.0
2020/10/01,15:00,28.2,0.0,78,294,4.5
2020/10/01,16:00,27.9,0.0,77,278,4.4
2020/10/01,17:00,27.1,0.0,82,291,3.7
2020/10/01,18:00,25.6,0.0,89,299,1.5
2020/10/01,19:00,24.8,0.0,93,217,0.1
2020/10/01,20:00,24.4,0.0,95,218,0.0
2020/10/01,21:00,24.3,0.0,95,171,0.4
2020/10/01,22:00,24.1,0.0,96,202,0.2
2020/10/01,23:00,23.5,0.0,98,136,0.7
2020/10/02,00:00,23.5,0.0,98,278,0.1
2020/10/02,01:00,23.0,0.0,98,107,0.0
2020/10/02,02:00,23.8,0.0,98,65,3.8
2020/10/02,03:00,24.2,0.0,95,305,1.9
2020/10/02,04:00,23.2,0.0,97,270,0.6
2020/10/02,05:00,22.8,0.0,98,243,0.1
2020/10/02,06:00,22.9,0.0,99,92,0.5
2020/10/02,07:00,24.4,0.0,95,105,0.7
2020/10/02,08:00,27.8,0.0,79,51,3.2
2020/10/02,09:00,29.4,0.0,69,346,2.5
2020/10/02,10:00,30.3,0.0,69,72,2.7
2020/10/02,11:00,31.2,0.0,67,91,2.4
2020/10/02,12:00,33.3,0.0,57,15,2.3
2020/10/02,13:00,33.6,0.0,50,92,2.1
2020/10/02,14:00,35.3,0.0,47,63,2.7
2020/10/02,15:00,34.1,0.0,48,100,2.7
2020/10/02,16:00,33.8,0.0,49,75,3.1
2020/10/02,17:00,32.9,0.0,53,84,1.7
2020/10/02,18:00,28.8,0.0,77,67,0.4
2020/10/02,19:00,27.4,0.0,86,145,0.9
2020/10/02,20:00,27.3,0.0,81,48,1.8
2020/10/02,21:00,26.5,0.0,87,359,1.1
2020/10/02,22:00,25.5,0.0,92,173,1.0
2020/10/02,23:00,24.8,0.0,93,144,0.2
2020/10/03,00:00,24.4,0.0,95,330,0.8
2020/10/03,01:00,23.7,0.0,96,149,0.1
2020/10/03,02:00,23.4,0.0,97,205,0.5
2020/10/03,03:00,23.4,0.0,97,298,0.9
2020/10/03,04:00,22.9,0.0,97,151,0.0
2020/10/03,05:00,22.6,0.0,98,18,0.0
2020/10/03,06:00,22.7,0.0,97,135,0.0
2020/10/03,07:00,25.9,0.0,91,159,1.7
2020/10/03,08:00,28.0,0.0,84,220,1.8
2020/10/03,09:00,31.0,0.0,72,161,1.1
2020/10/03,10:00,32.5,0.0,63,33,2.9
2020/10/03,11:00,32.5,0.0,60,202,4.2
2020/10/03,12:00,34.2,0.0,53,7,4.6
2020/10/03,13:00,34.8,0.0,49,80,2.9
2020/10/03,14:00,34.7,0.0,49,85,2.0
2020/10/03,15:00,35.1,0.0,51,42,3.0
2020/10/03,16:00,32.2,0.0,58,177,3.3
2020/10/03,17:00,32.3,0.0,63,178,2.0
2020/10/03,18:00,25.8,0.0,91,158,4.2
2020/10/03,19:00,26.2,0.0,92,109,1.3
2020/10/03,20:00,26.3,0.0,94,186,0.4
2020/10/03,21:00,25.8,0.0,93,147,1.8
2020/10/03,22:00,25.5,0.0,94,240,0.6
2020/10/03,23:00,25.2,0.0,92,277,0.6
2020/10/04,00:00,24.4,0.0,95,217,0.4
2020/10/04,01:00,24.8,0.0,94,220,2.1
2020/10/04,02:00,24.5,0.0,94,319,1.5
2020/10/04,03:00,24.4,0.0,94,270,1.7
2020/10/04,04:00,24.4,0.0,93,297,2.8
2020/10/04,05:00,24.2,0.0,96,268,2.5
2020/10/04,06:00,23.8,0.0,97,204,2.4
2020/10/04,07:00,25.3,0.0,93,254,2.6
2020/10/04,08:00,26.8,0.0,84,262,5.0
2020/10/04,09:00,27.7,0.0,81,263,3.6
2020/10/04,10:00,28.3,0.0,76,262,3.9
2020/10/04,11:00,21.3,0.0,99,77,1.7
2020/10/04,12:00,21.9,0.0,98,328,2.6
2020/10/04,13:00,22.7,0.0,95,273,2.5
2020/10/04,14:00,23.0,0.0,92,281,3.1
2020/10/04,15:00,23.8,0.0,88,301,3.8
2020/10/04,16:00,25.5,0.0,81,333,3.0
2020/10/04,17:00,24.3,0.0,87,272,2.1
2020/10/04,18:00,23.5,0.0,93,263,1.0
2020/10/04,19:00,22.9,0.0,95,242,1.6
2020/10/04,20:00,22.8,0.0,95,302,1.1
2020/10/04,21:00,22.6,0.0,95,288,2.3
2020/10/04,22:00,22.5,0.0,96,309,2.7
2020/10/04,23:00,22.4,0.0,97,296,2.9
2020/10/05,00:00,22.1,0.0,96,311,3.6
2020/10/05,01:00,21.8,0.0,96,336,1.9
2020/10/05,02:00,21.6,0.0,97,7,2.1
2020/10/05,03:00,21.6,0.0,97,125,9.0
2020/10/05,04:00,20.8,0.0,98,89,1.6
2020/10/05,05:00,21.1,0.0,98,333,1.1
2020/10/05,06:00,21.4,0.0,98,315,1.7
2020/10/05,07:00,22.0,0.0,98,289,0.8
2020/10/05,08:00,23.3,0.0,94,297,3.6
2020/10/05,09:00,24.5,0.0,88,284,4.8
2020/10/05,10:00,25.0,0.0,85,267,4.9
2020/10/05,11:00,25.6,0.0,82,252,3.0
2020/10/05,12:00,26.0,0.0,81,273,5.2
2020/10/05,13:00,25.6,0.0,83,284,3.7
2020/10/05,14:00,25.2,0.0,83,265,3.6
2020/10/05,15:00,25.8,0.0,81,272,3.9
2020/10/05,16:00,25.9,0.0,81,228,2.7
2020/10/05,17:00,25.2,0.0,85,215,1.6
2020/10/05,18:00,24.0,0.0,92,216,0.2
2020/10/05,19:00,23.5,0.0,95,117,0.8
2020/10/05,20:00,22.9,0.0,97,106,0.3
2020/10/05,21:00,22.3,0.0,97,164,0.5
2020/10/05,22:00,22.2,0.0,98,75,0.3
2020/10/05,23:00,22.1,0.0,98,227,0.0
2020/10/06,00:00,21.8,0.0,98,175,0.0
2020/10/06,01:00,21.8,0.0,99,189,0.0
2020/10/06,02:00,21.5,0.0,99,330,0.3
2020/10/06,03:00,21.2,0.0,99,120,0.0
2020/10/06,04:00,21.1,0.0,99,301,0.0
2020/10/06,05:00,20.7,0.0,99,131,0.0
2020/10/06,06:00,21.0,0.0,99,282,0.0
2020/10/06,07:00,24.9,0.0,85,355,1.6
2020/10/06,08:00,26.2,0.0,82,344,4.5
2020/10/06,09:00,27.8,0.0,74,315,4.3
2020/10/06,10:00,29.2,0.0,70,21,2.5
2020/10/06,11:00,30.2,0.0,66,6,2.4
2020/10/06,12:00,31.3,0.0,60,334,3.7
2020/10/06,13:00,32.6,0.0,59,7,2.5
2020/10/06,14:00,33.2,0.0,55,44,2.2
2020/10/06,15:00,33.3,0.0,57,261,3.0
2020/10/06,16:00,33.0,0.0,53,260,2.0
2020/10/06,17:00,31.6,0.0,60,213,1.8
2020/10/06,18:00,28.8,0.0,77,201,0.1
2020/10/06,19:00,27.0,0.0,89,158,0.7
2020/10/06,20:00,26.0,0.0,93,136,0.7
2020/10/06,21:00,25.6,0.0,92,346,0.0
2020/10/06,22:00,25.1,0.0,94,5,0.0
2020/10/06,23:00,24.8,0.0,94,221,0.1
2020/10/07,00:00,24.3,0.0,96,119,0.5
2020/10/07,01:00,24.0,0.0,97,135,0.2
2020/10/07,02:00,23.8,0.0,97,167,0.0
2020/10/07,03:00,23.6,0.0,98,346,0.1
2020/10/07,04:00,23.4,0.0,98,156,0.2
2020/10/07,05:00,23.5,0.0,98,175,0.0
2020/10/07,06:00,23.5,0.0,97,147,0.0
2020/10/07,07:00,24.8,0.0,92,176,2.1
2020/10/07,08:00,26.5,0.0,85,190,3.0
2020/10/07,09:00,29.1,0.0,71,197,3.5
2020/10/07,10:00,31.4,0.0,62,178,2.9
2020/10/07,11:00,31.0,0.0,64,265,4.6
2020/10/07,12:00,32.4,0.0,59,294,1.4
2020/10/07,13:00,33.1,0.0,55,323,0.6
2020/10/07,14:00,33.7,0.0,54,196,2.8
2020/10/07,15:00,33.3,0.0,54,214,3.2
2020/10/07,19:00,26.4,0.0,85,79,0.9
2020/10/07,20:00,25.9,0.0,91,107,0.4
2020/10/07,21:00,25.7,0.0,93,93,0.5
2020/10/07,22:00,25.5,0.0,94,37,1.1
2020/10/07,23:00,25.1,0.0,95,65,0.5
2020/10/08,00:00,24.8,0.0,96,94,0.6
2020/10/08,01:00,24.6,0.0,97,125,0.5
2020/10/08,02:00,24.5,0.0,97,52,0.4
2020/10/08,03:00,24.2,0.0,96,137,0.5
