Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CABALLOCOCHA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
,Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
,Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/04/01,00:00,24.4,0.0,98,182,0.1
2021/04/01,01:00,24.4,0.0,98,258,0.0
2021/04/01,02:00,24.3,0.0,98,215,0.0
2021/04/01,03:00,24.1,0.0,99,56,0.3
2021/04/01,04:00,24.4,0.0,99,59,0.1
2021/04/01,05:00,24.5,0.0,92,38,1.6
2021/04/01,06:00,23.7,0.0,96,174,0.5
2021/04/01,07:00,26.4,0.0,81,249,0.4
2021/04/01,08:00,27.1,0.0,76,319,2.1
2021/04/01,09:00,27.6,0.0,77,3,1.1
2021/04/01,10:00,28.2,0.0,75,335,2.5
2021/04/01,11:00,29.4,0.0,70,300,2.1
2021/04/01,12:00,31.0,0.0,67,311,1.6
2021/04/01,13:00,30.6,0.0,65,358,1.5
2021/04/01,14:00,26.3,0.6,97,251,1.3
2021/04/01,15:00,27.2,0.3,88,234,1.5
2021/04/01,16:00,27.8,0.0,86,207,1.2
2021/04/01,17:00,27.7,0.0,84,207,1.0
2021/04/01,18:00,27.0,0.0,86,357,0.4
2021/04/01,19:00,26.1,0.0,96,27,0.5
2021/04/01,20:00,25.3,0.0,99,110,0.7
2021/04/01,21:00,25.2,0.0,100,60,0.4
2021/04/01,22:00,25.6,0.0,99,32,0.9
2021/04/01,23:00,25.2,0.0,97,24,1.5
2021/04/02,00:00,25.0,0.0,97,353,2.2
2021/04/02,01:00,24.9,0.0,97,352,2.1
2021/04/02,02:00,24.3,0.3,95,282,0.8
2021/04/02,03:00,23.9,0.0,94,343,1.4
2021/04/02,04:00,23.9,0.0,96,246,0.9
2021/04/02,05:00,23.4,0.0,96,195,1.0
2021/04/02,06:00,23.6,0.0,98,166,2.1
2021/04/02,07:00,23.4,0.6,99,133,1.4
2021/04/02,08:00,23.6,1.8,100,84,0.7
2021/04/02,09:00,24.3,0.3,98,139,1.6
2021/04/02,10:00,25.3,0.3,92,164,1.7
2021/04/02,11:00,27.1,0.0,86,84,1.1
2021/04/02,12:00,28.2,0.0,78,117,1.8
2021/04/02,13:00,30.0,0.0,70,101,2.4
2021/04/02,14:00,28.9,0.0,68,114,1.4
2021/04/02,15:00,28.4,0.0,72,353,1.4
2021/04/02,16:00,29.6,0.0,71,202,0.6
2021/04/02,17:00,28.8,0.0,75,28,1.3
2021/04/02,18:00,26.6,0.0,88,75,1.0
2021/04/02,19:00,26.5,0.0,88,138,1.7
2021/04/02,20:00,25.3,0.0,86,101,0.8
2021/04/02,21:00,24.6,0.0,93,57,0.4
2021/04/02,22:00,24.5,0.0,95,104,0.4
2021/04/02,23:00,24.6,0.0,95,39,0.6
2021/04/03,00:00,24.3,0.0,96,19,0.0
2021/04/03,01:00,24.1,0.0,98,183,0.3
2021/04/03,02:00,23.7,0.0,99,245,0.2
2021/04/03,03:00,23.5,0.0,99,197,0.6
2021/04/03,04:00,23.3,0.0,100,223,0.5
2021/04/03,05:00,23.3,0.0,100,66,0.1
2021/04/03,06:00,23.6,0.0,100,136,0.6
2021/04/03,07:00,26.1,0.0,89,139,1.4
2021/04/03,08:00,26.7,0.0,86,157,0.9
2021/04/03,09:00,28.0,0.0,78,151,1.2
2021/04/03,10:00,29.9,0.0,70,267,0.6
2021/04/03,11:00,30.6,0.0,70,15,2.0
2021/04/03,12:00,29.8,0.0,71,245,0.9
2021/04/03,13:00,30.9,0.0,66,293,2.0
2021/04/03,14:00,30.6,0.0,73,314,0.8
2021/04/03,15:00,28.2,0.3,89,125,1.8
2021/04/03,16:00,25.9,0.0,90,166,1.2
2021/04/03,17:00,26.1,0.0,90,353,0.9
2021/04/03,18:00,25.0,2.4,100,79,1.5
2021/04/03,19:00,24.2,3.6,100,96,0.6
2021/04/03,20:00,24.3,1.8,100,175,0.7
2021/04/03,21:00,24.3,0.3,99,206,0.7
2021/04/03,22:00,24.2,0.0,99,194,0.8
2021/04/03,23:00,24.0,0.6,100,233,0.6
2021/04/04,00:00,23.9,0.0,100,233,0.4
2021/04/04,01:00,23.9,0.3,100,213,0.8
2021/04/04,02:00,23.7,0.0,99,196,1.3
2021/04/04,03:00,23.8,0.0,98,174,0.3
2021/04/04,04:00,23.7,0.0,100,193,0.0
2021/04/04,05:00,23.5,0.0,99,220,0.9
2021/04/04,06:00,23.4,0.0,100,223,0.3
2021/04/04,07:00,24.9,0.0,94,240,1.1
2021/04/04,08:00,25.9,0.0,91,246,1.0
2021/04/04,09:00,27.4,0.0,82,291,1.7
2021/04/04,10:00,28.1,0.0,81,275,1.7
2021/04/04,11:00,29.3,0.0,72,288,1.3
2021/04/04,12:00,29.8,0.0,69,249,1.5
2021/04/04,13:00,27.4,1.2,87,180,1.2
2021/04/04,14:00,30.6,0.6,69,94,1.4
2021/04/04,15:00,30.5,0.0,70,101,1.7
2021/04/04,16:00,31.2,0.0,62,112,1.2
2021/04/04,17:00,31.1,0.0,69,72,1.1
2021/04/04,18:00,27.7,0.0,82,151,1.8
2021/04/04,19:00,26.2,0.0,91,175,0.8
2021/04/04,20:00,25.6,0.0,95,222,0.6
2021/04/04,21:00,26.2,0.0,92,339,1.2
2021/04/04,22:00,25.7,0.0,91,348,2.2
2021/04/04,23:00,25.2,0.0,96,310,1.4
2021/04/05,00:00,24.5,0.0,97,289,2.5
2021/04/05,01:00,24.2,0.0,97,300,1.4
2021/04/05,02:00,24.5,0.0,97,301,1.7
2021/04/05,03:00,24.5,0.0,95,326,1.8
2021/04/05,04:00,24.1,0.3,97,336,2.3
2021/04/05,05:00,23.8,3.6,99,306,1.3
2021/04/05,06:00,23.9,0.0,98,281,1.5
2021/04/05,07:00,24.7,0.0,95,287,1.7
2021/04/05,08:00,24.9,0.0,94,266,2.2
2021/04/05,09:00,26.1,0.0,85,280,2.2
2021/04/05,10:00,26.6,0.0,84,290,1.0
2021/04/05,11:00,27.9,0.0,80,277,2.1
2021/04/05,12:00,28.9,0.0,73,285,1.6
2021/04/05,13:00,29.2,0.0,71,294,2.2
2021/04/05,14:00,30.4,0.0,67,292,2.8
2021/04/05,15:00,29.6,0.0,70,295,2.8
2021/04/05,16:00,29.8,0.0,69,275,2.3
2021/04/05,17:00,29.8,0.0,70,275,1.6
2021/04/05,18:00,27.7,0.0,81,273,0.7
2021/04/05,19:00,26.6,0.3,87,273,1.4
2021/04/05,20:00,25.9,0.6,92,269,1.3
2021/04/05,21:00,25.4,0.0,96,220,0.4
2021/04/05,22:00,24.8,0.0,96,221,0.5
2021/04/05,23:00,24.3,0.0,98,105,0.4
2021/04/06,00:00,24.1,0.0,99,145,0.1
2021/04/06,01:00,23.7,0.0,100,213,0.1
2021/04/06,02:00,23.4,0.0,100,153,0.3
2021/04/06,03:00,23.2,0.0,100,131,0.4
2021/04/06,04:00,22.9,0.0,100,173,0.3
2021/04/06,05:00,22.6,0.0,100,168,0.0
2021/04/06,06:00,22.6,0.0,100,141,0.3
2021/04/06,07:00,25.3,0.0,94,218,0.8
2021/04/06,08:00,26.7,0.0,87,270,2.1
2021/04/06,09:00,28.3,0.0,79,279,1.8
2021/04/06,10:00,29.2,0.0,74,353,2.0
2021/04/06,11:00,30.9,0.0,66,345,1.9
2021/04/06,12:00,31.4,0.0,59,354,2.7
2021/04/06,13:00,30.9,0.0,73,263,3.0
2021/04/06,14:00,26.5,0.0,86,194,3.9
2021/04/06,15:00,24.9,1.5,97,342,2.9
2021/04/06,16:00,25.0,0.0,95,46,1.0
2021/04/06,17:00,24.8,0.0,97,82,0.6
2021/04/06,18:00,24.8,0.0,97,206,0.9
2021/04/06,19:00,24.6,0.0,99,82,0.8
2021/04/06,20:00,24.4,0.0,99,178,0.8
2021/04/06,21:00,24.5,0.0,97,292,0.4
2021/04/06,22:00,25.0,0.0,99,343,1.3
2021/04/06,23:00,24.8,0.0,99,342,0.6
2021/04/07,00:00,24.6,0.0,99,339,0.9
2021/04/07,01:00,24.3,0.0,100,65,0.3
2021/04/07,02:00,24.3,0.0,99,13,0.6
2021/04/07,03:00,24.3,0.0,99,33,0.8
2021/04/07,04:00,24.3,0.0,98,30,0.6
2021/04/07,05:00,24.4,0.0,97,335,1.1
2021/04/07,06:00,23.9,0.0,100,358,1.0
2021/04/07,07:00,25.0,0.0,97,3,0.6
2021/04/07,08:00,26.4,0.0,89,30,1.2
2021/04/07,09:00,27.4,0.0,84,352,0.8
2021/04/07,10:00,28.3,0.0,80,6,1.6
2021/04/07,11:00,29.1,0.0,77,280,1.7
2021/04/07,12:00,30.3,0.0,71,323,1.7
2021/04/07,13:00,32.1,0.0,64,1,2.2
2021/04/07,14:00,31.3,0.0,71,279,1.8
2021/04/07,15:00,31.3,0.0,67,346,1.5
2021/04/07,16:00,27.6,0.0,84,142,1.6
2021/04/07,17:00,28.9,0.0,80,158,0.5
2021/04/07,18:00,26.8,0.0,89,155,0.7
2021/04/07,19:00,26.7,0.0,89,256,0.6
2021/04/07,20:00,26.2,0.0,94,190,0.4
2021/04/07,21:00,25.4,0.0,97,215,0.9
2021/04/07,22:00,25.9,0.0,95,288,0.6
2021/04/07,23:00,25.7,0.0,94,300,1.0
2021/04/08,00:00,24.6,0.0,98,231,0.5
