Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CABALLOCOCHA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
,Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
,Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/06/01,00:00,24.7,0.0,97,101,1.3
2020/06/01,01:00,24.7,0.0,98,223,1.2
2020/06/01,02:00,24.3,0.0,98,244,1.7
2020/06/01,03:00,24.3,0.0,98,174,1.4
2020/06/01,04:00,24.3,0.0,98,213,0.8
2020/06/01,05:00,24.2,0.0,98,81,0.1
2020/06/01,06:00,24.5,0.0,98,289,0.0
2020/06/01,07:00,24.8,0.0,97,51,1.1
2020/06/01,08:00,24.0,6.6,98,153,3.4
2020/06/01,09:00,24.0,1.5,97,177,2.8
2020/06/01,10:00,24.2,1.5,97,162,3.0
2020/06/01,11:00,25.1,0.3,93,346,3.0
2020/06/01,12:00,26.8,0.3,86,59,1.4
2020/06/01,13:00,26.5,0.0,86,72,1.4
2020/06/01,14:00,27.1,0.0,81,212,1.4
2020/06/01,15:00,27.6,0.0,82,47,0.9
2020/06/01,16:00,26.6,0.0,87,49,1.8
2020/06/01,17:00,26.0,0.0,91,102,1.3
2020/06/01,18:00,25.3,0.0,94,294,0.1
2020/06/01,19:00,24.8,0.0,97,324,0.0
2020/06/01,20:00,24.4,0.0,98,209,0.0
2020/06/01,21:00,24.6,0.0,98,316,0.6
2020/06/01,22:00,24.1,0.0,98,129,0.0
2020/06/01,23:00,24.0,0.0,98,101,0.0
2020/06/02,00:00,24.2,0.0,98,287,0.0
2020/06/02,01:00,24.4,0.0,98,302,1.4
2020/06/02,02:00,24.6,0.0,97,350,1.6
2020/06/02,03:00,24.1,0.0,98,197,0.1
2020/06/02,04:00,23.7,0.0,98,247,0.0
2020/06/02,05:00,23.4,0.0,98,151,0.6
2020/06/02,06:00,23.6,0.0,98,161,0.2
2020/06/02,07:00,25.3,0.0,96,159,1.4
2020/06/02,08:00,26.8,0.0,87,163,1.1
2020/06/02,09:00,29.0,0.0,75,28,1.9
2020/06/02,10:00,29.4,0.0,73,280,3.0
2020/06/02,11:00,31.3,0.0,67,16,2.5
2020/06/02,12:00,31.1,0.0,66,291,2.6
2020/06/02,13:00,32.6,0.0,57,339,5.0
2020/06/02,14:00,29.6,0.0,74,326,5.8
2020/06/02,15:00,31.9,0.0,60,43,3.2
2020/06/02,16:00,27.0,0.0,84,142,3.1
2020/06/02,17:00,27.0,0.0,87,181,1.8
2020/06/02,18:00,25.8,0.0,94,167,1.6
2020/06/02,19:00,25.3,0.0,94,172,1.3
2020/06/02,20:00,25.2,0.0,95,136,2.0
2020/06/02,21:00,25.0,0.0,95,168,0.9
2020/06/02,22:00,24.6,0.0,96,65,0.7
2020/06/02,23:00,24.5,0.0,97,42,0.8
2020/06/03,00:00,24.1,0.0,98,119,0.7
2020/06/03,01:00,23.8,0.0,98,157,1.8
2020/06/03,02:00,23.9,0.0,98,256,1.2
2020/06/03,03:00,23.9,0.0,98,97,0.6
2020/06/03,04:00,23.6,0.0,98,159,0.9
2020/06/03,05:00,23.2,0.0,98,172,0.0
2020/06/03,06:00,23.5,0.0,98,196,0.9
2020/06/03,07:00,24.6,0.0,97,13,0.3
2020/06/03,08:00,26.4,0.0,88,324,3.7
2020/06/03,09:00,28.0,0.0,80,345,4.9
2020/06/03,10:00,28.9,0.0,76,335,5.3
2020/06/03,11:00,30.0,0.0,71,349,3.0
2020/06/03,12:00,31.7,0.0,63,4,3.4
2020/06/03,13:00,31.7,0.0,66,9,3.9
2020/06/03,14:00,31.7,0.0,59,344,4.5
2020/06/03,15:00,31.9,0.0,62,344,4.4
2020/06/03,16:00,32.0,0.0,58,345,3.8
2020/06/03,17:00,31.5,0.0,59,310,1.8
2020/06/03,18:00,24.7,0.0,96,85,6.2
2020/06/03,19:00,24.3,0.0,98,52,3.2
2020/06/03,20:00,23.9,0.0,95,318,2.8
2020/06/03,21:00,23.9,0.0,97,196,1.2
2020/06/03,22:00,23.9,0.0,98,80,1.7
2020/06/03,23:00,24.0,0.0,98,9,0.6
2020/06/04,00:00,24.2,0.0,97,62,0.8
2020/06/04,01:00,23.7,0.0,98,211,2.8
2020/06/04,02:00,23.7,0.0,98,120,1.5
2020/06/04,03:00,24.1,0.0,98,316,3.2
2020/06/04,04:00,24.0,0.0,98,317,1.5
2020/06/04,05:00,24.1,0.0,98,317,0.6
2020/06/04,06:00,23.8,0.0,98,111,1.5
2020/06/04,07:00,24.5,0.0,98,73,1.8
2020/06/04,08:00,25.6,0.0,91,82,3.0
2020/06/04,09:00,29.2,0.0,77,86,3.1
2020/06/04,10:00,28.5,0.0,82,95,2.0
2020/06/04,11:00,29.5,0.0,81,39,2.8
2020/06/04,12:00,29.7,0.0,79,65,3.1
2020/06/04,13:00,31.0,0.0,73,74,2.5
2020/06/04,14:00,32.0,0.0,67,358,4.6
2020/06/04,15:00,28.0,0.0,79,215,3.6
2020/06/04,16:00,25.3,0.0,94,139,2.8
2020/06/04,17:00,25.5,0.0,94,240,2.7
2020/06/04,18:00,24.9,0.0,95,240,1.4
2020/06/04,19:00,24.4,0.0,94,71,6.6
2020/06/04,20:00,23.7,0.0,98,75,3.2
2020/06/04,21:00,23.6,0.0,97,84,1.8
2020/06/04,22:00,23.4,0.0,98,48,1.2
2020/06/04,23:00,23.2,0.0,98,54,0.8
2020/06/05,00:00,23.1,0.0,98,171,0.8
2020/06/05,01:00,23.1,0.0,98,237,1.4
2020/06/05,02:00,23.2,0.0,98,214,1.5
2020/06/05,03:00,23.3,0.0,99,70,0.7
2020/06/05,04:00,23.4,0.0,99,146,0.0
2020/06/05,05:00,23.4,0.0,99,111,0.3
2020/06/05,06:00,23.5,0.0,99,270,1.1
2020/06/05,07:00,24.0,0.0,98,157,2.1
2020/06/05,08:00,25.9,0.0,87,92,2.2
2020/06/05,09:00,26.1,0.0,85,143,4.1
2020/06/05,10:00,27.2,0.0,80,127,2.3
2020/06/05,11:00,27.9,0.0,79,99,2.2
2020/06/05,12:00,29.5,0.0,71,95,2.1
2020/06/05,13:00,29.5,0.0,70,92,2.5
2020/06/05,14:00,30.5,0.0,66,49,2.9
2020/06/05,15:00,30.0,0.0,71,96,2.1
2020/06/05,16:00,29.3,0.0,75,38,2.2
2020/06/05,17:00,28.7,0.0,78,53,1.4
2020/06/05,18:00,26.8,0.0,89,12,1.6
2020/06/05,19:00,26.6,0.0,91,342,1.5
2020/06/05,20:00,26.0,0.0,91,276,1.9
2020/06/05,21:00,25.3,0.0,94,237,0.4
2020/06/05,22:00,24.8,0.0,96,228,1.3
2020/06/05,23:00,24.6,0.0,96,235,0.1
2020/06/06,00:00,24.0,0.0,98,92,0.0
2020/06/06,01:00,23.7,0.0,98,132,0.0
2020/06/06,02:00,23.3,0.0,98,186,0.4
2020/06/06,03:00,23.3,0.0,98,280,0.3
2020/06/06,04:00,22.8,0.0,98,205,2.4
2020/06/06,05:00,22.9,0.0,98,123,0.0
2020/06/06,06:00,22.7,0.0,98,188,0.5
2020/06/06,07:00,24.2,0.0,94,165,1.9
2020/06/06,08:00,26.9,0.0,83,174,2.8
2020/06/06,09:00,29.0,0.0,78,178,3.7
2020/06/06,10:00,29.7,0.0,72,168,4.4
2020/06/06,11:00,29.7,0.0,69,170,2.1
2020/06/06,12:00,32.0,0.0,63,330,2.9
2020/06/06,13:00,32.2,0.0,63,338,2.7
2020/06/06,14:00,30.8,0.0,66,252,1.2
2020/06/06,15:00,31.6,0.0,65,222,1.9
2020/06/06,16:00,31.4,0.0,64,254,3.7
2020/06/06,17:00,30.6,0.0,69,240,1.9
2020/06/06,18:00,28.7,0.0,81,258,0.4
2020/06/06,19:00,27.3,0.0,88,249,0.7
2020/06/06,20:00,26.7,0.0,89,204,0.1
2020/06/06,21:00,26.3,0.0,93,255,0.4
2020/06/06,22:00,25.6,0.0,95,68,0.2
2020/06/06,23:00,25.9,0.0,95,299,1.0
2020/06/07,00:00,25.5,0.0,96,171,0.8
2020/06/07,01:00,25.5,0.0,95,295,0.8
2020/06/07,02:00,25.4,0.0,97,181,0.6
2020/06/07,03:00,25.2,0.0,98,57,2.2
2020/06/07,04:00,24.4,0.0,98,267,0.1
2020/06/07,05:00,24.5,0.0,98,8,2.5
2020/06/07,06:00,24.9,0.0,98,157,1.7
2020/06/07,07:00,24.2,0.0,97,122,3.7
2020/06/07,08:00,28.4,0.0,78,32,1.7
2020/06/07,09:00,28.2,0.0,81,16,1.3
2020/06/07,10:00,29.3,0.0,77,354,3.2
2020/06/07,11:00,30.3,0.0,72,69,3.2
2020/06/07,12:00,29.9,0.0,76,94,3.2
2020/06/07,13:00,28.7,0.0,79,112,1.1
2020/06/07,14:00,29.9,0.0,74,243,4.1
2020/06/07,15:00,26.2,0.0,90,129,2.7
2020/06/07,16:00,28.8,0.0,78,256,3.2
2020/06/07,17:00,27.5,0.0,86,27,2.7
2020/06/07,18:00,26.3,0.0,93,63,1.9
2020/06/07,19:00,25.5,0.0,95,34,0.8
2020/06/07,20:00,25.1,0.0,96,239,0.2
2020/06/07,21:00,24.7,0.0,97,161,1.0
2020/06/07,22:00,24.2,0.0,98,111,0.5
2020/06/07,23:00,24.2,0.0,98,47,0.6
2020/06/08,00:00,24.2,0.0,98,71,0.2
