AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/06/05,11:00,S/D,0.0,S/D,130,1.0
2024/06/05,12:00,S/D,0.0,S/D,121,1.5
2024/06/05,13:00,S/D,0.0,S/D,134,1.0
2024/06/05,14:00,S/D,0.6,S/D,15,2.8
2024/06/05,15:00,S/D,2.1,S/D,10,0.9
2024/06/05,16:00,S/D,0.0,S/D,41,0.2
2024/06/05,17:00,S/D,0.0,S/D,163,2.7
2024/06/05,18:00,S/D,0.0,S/D,334,1.0
2024/06/05,19:00,S/D,0.0,S/D,340,2.2
2024/06/05,20:00,S/D,0.0,S/D,54,1.4
2024/06/05,21:00,S/D,0.0,S/D,27,0.8
2024/06/05,22:00,S/D,0.0,S/D,19,1.2
2024/06/05,23:00,S/D,0.0,S/D,12,1.1
2024/06/06,00:00,S/D,0.0,S/D,348,1.3
2024/06/06,01:00,S/D,0.0,S/D,337,0.4
2024/06/06,02:00,S/D,0.0,S/D,3,0.7
2024/06/06,03:00,S/D,1.2,S/D,73,1.1
2024/06/06,04:00,S/D,2.4,S/D,350,3.9
2024/06/06,05:00,S/D,0.3,S/D,339,3.8
2024/06/06,06:00,S/D,0.0,S/D,164,0.8
2024/06/06,07:00,S/D,0.3,S/D,269,1.5
2024/06/06,08:00,S/D,0.0,S/D,312,1.9
2024/06/06,09:00,S/D,0.0,S/D,336,1.8
2024/06/06,10:00,S/D,0.0,S/D,330,3.7
2024/06/06,11:00,S/D,0.0,S/D,298,3.1
2024/06/06,12:00,S/D,7.2,S/D,12,2.9
2024/06/06,13:00,S/D,11.7,S/D,167,1.5
2024/06/06,14:00,S/D,7.5,S/D,8,0.8
2024/06/06,15:00,S/D,2.1,S/D,296,2.3
2024/06/06,16:00,S/D,0.0,S/D,157,1.4
2024/06/06,17:00,S/D,0.0,S/D,188,2.2
2024/06/06,18:00,S/D,0.0,S/D,251,0.9
2024/06/06,19:00,S/D,0.0,S/D,164,2.2
2024/06/06,20:00,S/D,0.0,S/D,351,1.4
2024/06/06,21:00,S/D,0.0,S/D,21,0.8
2024/06/06,22:00,S/D,0.0,S/D,29,0.8
2024/06/06,23:00,S/D,0.0,S/D,14,0.2
2024/06/07,00:00,S/D,0.0,S/D,353,0.6
2024/06/07,01:00,S/D,0.0,S/D,327,0.6
2024/06/07,02:00,S/D,0.0,S/D,353,0.0
2024/06/07,03:00,S/D,0.0,S/D,346,0.1
2024/06/07,04:00,S/D,0.0,S/D,13,1.5
2024/06/07,05:00,S/D,0.0,S/D,324,0.2
2024/06/07,06:00,S/D,0.0,S/D,142,0.3
2024/06/07,07:00,S/D,0.0,S/D,289,1.1
2024/06/07,08:00,S/D,0.0,S/D,251,1.3
2024/06/07,09:00,S/D,0.0,S/D,2,1.3
2024/06/07,10:00,S/D,0.0,S/D,354,1.4
2024/06/07,11:00,S/D,0.0,S/D,153,2.9
2024/06/07,12:00,S/D,0.0,S/D,128,2.1
2024/06/07,13:00,S/D,0.0,S/D,170,2.6
2024/06/07,14:00,S/D,0.0,S/D,164,2.2
2024/06/07,15:00,S/D,0.0,S/D,176,2.5
2024/06/07,16:00,S/D,0.0,S/D,174,4.5
2024/06/07,17:00,S/D,0.0,S/D,222,1.2
2024/06/07,18:00,S/D,0.0,S/D,40,0.2
2024/06/07,19:00,S/D,0.3,S/D,64,0.6
2024/06/07,20:00,S/D,0.3,S/D,284,1.2
2024/06/07,21:00,S/D,0.3,S/D,346,1.4
2024/06/07,22:00,S/D,0.0,S/D,346,1.3
2024/06/07,23:00,S/D,0.0,S/D,72,0.3
2024/06/08,00:00,S/D,0.3,S/D,127,0.3
2024/06/08,01:00,S/D,0.0,S/D,282,1.6
2024/06/08,02:00,S/D,0.3,S/D,340,0.6
2024/06/08,03:00,S/D,0.0,S/D,6,0.7
2024/06/08,04:00,S/D,0.0,S/D,120,0.0
2024/06/08,05:00,S/D,0.0,S/D,355,1.6
2024/06/08,06:00,S/D,0.0,S/D,16,1.6
2024/06/08,07:00,S/D,0.0,S/D,327,1.3
2024/06/08,08:00,S/D,0.0,S/D,304,1.6
2024/06/08,09:00,S/D,0.0,S/D,337,2.1
2024/06/08,10:00,S/D,0.0,S/D,265,2.3
2024/06/08,11:00,S/D,0.3,S/D,187,2.0
2024/06/08,12:00,S/D,0.0,S/D,237,0.7
2024/06/08,13:00,S/D,0.0,S/D,140,2.5
2024/06/08,14:00,S/D,0.0,S/D,88,0.8
2024/06/08,15:00,S/D,0.0,S/D,59,1.3
2024/06/08,16:00,S/D,0.0,S/D,33,1.6
2024/06/08,17:00,S/D,0.0,S/D,164,1.6
2024/06/08,18:00,S/D,0.0,S/D,166,1.8
2024/06/08,19:00,S/D,0.0,S/D,280,1.5
