Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : LA LIBERTAD
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
,Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-09-01,4.40,4.40,4.41,4.42
2019-09-02,4.48,4.53,4.60,4.65
2019-09-03,4.83,4.88,4.91,4.95
2019-09-04,5.05,5.05,5.06,5.07
2019-09-05,4.95,4.89,4.81,4.77
2019-09-06,4.58,4.52,4.46,4.40
2019-09-07,4.24,4.19,4.13,4.07
2019-09-08,3.90,3.86,3.83,3.80
2019-09-09,3.65,3.65,3.65,3.65
2019-09-10,3.65,3.65,3.65,3.65
2019-09-11,3.64,3.64,3.64,3.64
2019-09-12,3.65,3.65,3.65,3.65
2019-09-13,3.65,3.67,3.69,3.70
2019-09-14,3.72,3.72,3.72,3.72
2019-09-15,3.72,3.72,3.72,3.72
2019-09-16,3.71,3.71,3.71,3.71
2019-09-17,3.73,3.73,3.74,3.75
2019-09-18,3.80,3.83,3.86,3.90
2019-09-19,4.10,4.22,4.27,4.32
2019-09-20,4.52,4.61,4.64,4.70
2019-09-21,4.82,4.89,4.91,4.92
2019-09-22,4.86,4.85,4.81,4.78
2019-09-23,4.66,4.62,4.59,4.56
2019-09-24,4.35,4.30,4.25,4.20
2019-09-25,4.07,4.02,3.96,3.89
2019-09-26,3.75,3.72,3.70,3.68
2019-09-27,3.78,3.78,3.77,3.76
2019-09-28,3.74,3.74,3.75,3.76
2019-09-29,3.80,3.80,3.81,3.82
2019-09-30,3.85,3.85,3.87,3.88
