Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : LA LIBERTAD
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
,Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-11-01,4.88,4.97,5.12,5.20
2021-11-02,5.26,5.26,5.28,5.30
2021-11-03,5.35,5.35,5.37,5.39
2021-11-04,5.39,5.39,5.39,5.39
2021-11-05,5.40,5.40,5.40,5.40
2021-11-06,5.41,5.41,5.41,5.41
2021-11-07,5.40,5.40,5.40,5.40
2021-11-08,5.39,5.39,5.39,5.39
2021-11-09,5.32,5.32,5.30,5.29
2021-11-10,5.41,5.41,5.42,5.44
2021-11-11,5.49,5.49,5.51,5.53
2021-11-12,5.67,5.67,5.67,5.68
2021-11-13,5.65,5.63,5.63,5.61
2021-11-14,5.53,5.53,5.52,5.51
2021-11-15,5.46,5.46,5.47,5.47
2021-11-16,5.47,5.48,5.48,5.48
2021-11-17,5.44,5.40,5.37,5.32
2021-11-18,5.32,5.32,5.32,5.32
2021-11-19,5.29,5.26,5.24,5.23
2021-11-20,5.23,5.17,5.06,4.96
2021-11-21,4.81,4.80,4.77,4.70
2021-11-22,4.51,4.49,4.45,4.41
2021-11-23,4.31,4.25,4.20,4.16
2021-11-24,3.97,3.90,3.87,3.81
2021-11-25,3.82,3.82,3.82,3.82
2021-11-26,3.82,3.82,3.82,3.82
2021-11-27,3.77,3.76,3.72,3.69
2021-11-28,3.60,3.60,3.57,3.53
2021-11-29,3.50,3.50,3.49,3.49
2021-11-30,3.48,3.48,3.47,3.47
