Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BELLAVISTA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
,Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-11-01,4.19,4.23,4.28,4.34
2018-11-02,4.87,4.92,4.99,5.09
2018-11-03,5.39,5.42,5.45,5.49
2018-11-04,5.60,5.60,5.60,5.59
2018-11-05,5.50,5.48,5.46,5.44
2018-11-06,5.34,5.31,5.27,5.23
2018-11-07,5.11,5.09,5.07,5.06
2018-11-08,4.99,4.98,4.97,4.96
2018-11-09,4.91,4.89,4.86,4.82
2018-11-10,4.76,4.75,4.73,4.71
2018-11-11,4.67,4.67,4.67,4.67
2018-11-12,4.70,4.70,4.75,4.78
2018-11-13,4.88,4.92,4.95,4.98
2018-11-14,5.19,5.21,5.24,5.27
2018-11-15,5.38,5.40,5.43,5.47
2018-11-16,5.59,5.59,5.59,5.58
2018-11-17,5.54,5.51,5.49,5.46
2018-11-18,5.46,5.46,5.46,5.46
2018-11-19,5.46,5.45,5.45,5.44
2018-11-20,5.39,5.38,5.37,5.35
2018-11-21,5.25,5.24,5.22,5.20
2018-11-22,5.19,5.19,5.20,5.21
2018-11-23,5.31,5.32,5.34,5.35
2018-11-24,5.44,5.44,5.44,5.44
2018-11-25,5.40,5.42,5.43,5.45
2018-11-26,5.64,5.67,5.70,5.75
2018-11-27,5.91,5.91,5.91,5.91
2018-11-28,5.91,5.91,5.91,5.91
2018-11-29,5.88,5.88,5.88,5.88
2018-11-30,5.88,5.90,5.92,5.95
