Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/03/01,00:00,23.3,0.0,93,332,2.3
2021/03/01,01:00,22.9,0.0,100,288,0.8
2021/03/01,02:00,22.4,4.8,100,244,2.8
2021/03/01,03:00,22.4,5.7,100,226,2.0
2021/03/01,04:00,22.3,2.4,100,230,3.9
2021/03/01,05:00,21.5,2.1,100,206,3.5
2021/03/01,06:00,20.8,1.2,100,210,1.3
2021/03/01,07:00,21.0,0.3,100,72,1.1
2021/03/01,08:00,21.8,0.3,100,13,1.2
2021/03/01,09:00,22.8,0.0,88,330,2.7
2021/03/01,10:00,23.8,0.0,85,330,2.3
2021/03/01,11:00,25.6,0.0,80,1,3.9
2021/03/01,12:00,30.8,0.0,62,33,1.5
2021/03/01,13:00,31.0,0.0,57,333,1.8
2021/03/01,14:00,30.0,0.0,63,148,1.4
2021/03/01,15:00,29.4,0.0,69,125,0.9
2021/03/01,16:00,27.5,0.0,77,201,0.9
2021/03/01,17:00,25.4,0.0,87,273,4.2
2021/03/01,18:00,22.7,5.1,100,8,3.2
2021/03/01,19:00,22.8,0.0,100,300,1.6
2021/03/01,20:00,22.9,0.0,100,111,0.0
2021/03/01,21:00,22.8,0.0,100,11,0.4
2021/03/01,22:00,22.5,0.0,100,278,1.1
2021/03/01,23:00,22.6,0.0,100,102,0.0
2021/03/02,00:00,22.6,0.0,100,36,0.0
2021/03/02,01:00,22.4,0.0,100,278,0.4
2021/03/02,02:00,22.4,0.0,100,275,0.0
2021/03/02,03:00,22.4,0.0,100,87,0.1
2021/03/02,04:00,22.5,0.0,100,134,0.2
2021/03/02,05:00,22.5,0.0,100,142,0.0
2021/03/02,06:00,22.6,0.0,100,146,0.2
2021/03/02,07:00,23.1,0.0,100,175,0.0
2021/03/02,08:00,24.7,0.0,100,147,2.0
2021/03/02,09:00,26.1,0.3,83,143,1.8
2021/03/02,10:00,26.9,0.0,78,159,2.3
2021/03/02,11:00,28.1,0.0,74,156,1.9
2021/03/02,12:00,30.1,0.0,64,33,1.1
2021/03/02,13:00,29.8,0.0,69,125,2.2
2021/03/02,14:00,29.6,0.0,63,347,3.3
2021/03/02,15:00,32.7,0.0,58,65,1.4
2021/03/02,16:00,23.9,0.6,88,14,5.5
2021/03/02,17:00,23.6,3.0,100,5,1.9
