Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/05/01,00:00,22.4,0.0,100,343,1.4
2020/05/01,01:00,22.5,0.0,100,262,0.6
2020/05/01,02:00,22.3,0.0,100,252,0.0
2020/05/01,03:00,22.7,0.0,100,70,1.0
2020/05/01,04:00,22.5,0.0,100,42,0.7
2020/05/01,05:00,22.5,0.0,100,334,0.6
2020/05/01,06:00,22.4,0.0,100,6,0.4
2020/05/01,07:00,23.5,0.0,100,1,0.1
2020/05/01,08:00,27.6,0.0,78,134,1.3
2020/05/01,09:00,30.6,0.0,62,150,2.3
2020/05/01,10:00,32.3,0.0,56,144,2.6
2020/05/01,11:00,31.2,0.0,62,126,2.2
2020/05/01,12:00,32.9,0.0,55,129,3.7
2020/05/01,13:00,33.2,0.0,56,157,4.3
2020/05/01,14:00,30.6,0.0,65,138,1.2
2020/05/01,15:00,32.1,0.0,59,133,3.1
2020/05/01,16:00,30.2,3.6,68,129,3.2
2020/05/01,17:00,28.7,0.0,77,84,1.1
2020/05/01,18:00,25.5,0.0,88,8,0.2
2020/05/01,19:00,24.6,0.0,100,348,0.0
2020/05/01,20:00,24.4,0.0,100,54,0.1
2020/05/01,21:00,23.8,0.0,100,9,0.8
2020/05/01,22:00,23.7,0.0,100,3,1.0
2020/05/01,23:00,23.2,0.0,100,29,0.9
2020/05/02,00:00,23.5,0.0,100,229,1.3
2020/05/02,01:00,23.1,0.0,100,312,0.4
2020/05/02,02:00,23.3,0.0,100,324,0.7
2020/05/02,03:00,23.7,0.0,100,279,0.9
2020/05/02,04:00,23.8,0.0,100,250,0.9
2020/05/02,05:00,23.9,0.9,100,197,2.6
2020/05/02,06:00,24.1,0.6,100,198,2.9
2020/05/02,07:00,23.7,11.1,100,208,1.9
2020/05/02,08:00,23.2,33.6,100,31,1.2
2020/05/02,09:00,23.3,32.7,100,30,1.0
2020/05/02,10:00,24.0,2.7,100,307,1.1
2020/05/02,11:00,24.2,2.4,100,338,2.7
2020/05/02,12:00,24.3,3.0,100,308,1.6
2020/05/02,13:00,24.5,0.0,96,295,2.4
2020/05/02,14:00,25.9,0.0,84,326,2.6
2020/05/02,15:00,26.2,0.0,81,334,3.3
2020/05/02,16:00,26.6,0.0,79,284,1.7
2020/05/02,17:00,27.6,0.0,74,343,1.0
