Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/04/01,00:00,22.2,0.0,100,236,0.0
2021/04/01,01:00,22.2,0.0,100,236,0.0
2021/04/01,02:00,21.8,0.0,100,237,0.1
2021/04/01,03:00,21.7,0.0,100,8,1.5
2021/04/01,04:00,21.6,0.0,100,49,0.2
2021/04/01,05:00,21.4,0.0,100,39,0.0
2021/04/01,06:00,21.7,0.0,100,348,0.0
2021/04/01,07:00,23.2,0.0,100,267,0.9
2021/04/01,08:00,24.6,0.0,85,286,1.4
2021/04/01,09:00,27.0,0.0,70,228,2.9
2021/04/01,10:00,30.6,0.0,61,155,4.8
2021/04/01,11:00,31.1,0.0,60,157,5.1
2021/04/01,12:00,31.4,0.0,60,185,5.1
2021/04/01,13:00,32.8,0.0,53,176,5.5
2021/04/01,14:00,32.7,0.0,52,174,6.0
2021/04/01,15:00,33.2,0.0,51,173,6.1
2021/04/01,16:00,30.4,0.0,58,230,3.8
2021/04/01,17:00,26.5,0.0,79,334,3.8
2021/04/01,18:00,25.4,0.0,83,336,3.3
2021/04/01,19:00,24.7,0.0,89,46,2.4
2021/04/01,20:00,24.4,0.0,90,8,1.9
2021/04/01,21:00,23.9,0.0,100,18,1.0
2021/04/01,22:00,23.6,6.0,100,2,1.3
2021/04/01,23:00,23.6,3.3,100,276,1.1
2021/04/02,00:00,23.1,0.6,100,285,1.0
2021/04/02,01:00,23.0,4.5,100,161,1.2
2021/04/02,02:00,22.8,10.8,100,322,1.6
2021/04/02,03:00,22.7,0.0,100,247,1.4
2021/04/02,04:00,22.5,0.0,100,274,1.7
2021/04/02,05:00,22.3,0.0,100,328,0.6
2021/04/02,06:00,22.1,0.0,100,360,2.4
2021/04/02,07:00,23.2,0.0,100,13,1.3
2021/04/02,08:00,27.3,0.0,77,89,1.4
2021/04/02,09:00,30.3,0.0,60,97,1.9
2021/04/02,10:00,30.1,0.0,66,142,3.1
2021/04/02,11:00,30.2,0.0,61,95,3.4
2021/04/02,12:00,29.4,0.0,62,15,1.9
2021/04/02,13:00,31.1,0.0,60,91,1.8
2021/04/02,14:00,33.3,0.0,55,145,5.1
2021/04/02,15:00,30.8,0.0,63,107,1.7
2021/04/02,16:00,31.1,0.0,63,149,2.7
2021/04/02,17:00,28.6,0.0,67,34,1.6
