Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/07/01,00:00,23.3,0.0,100,180,1.1
2020/07/01,01:00,23.0,0.0,100,334,0.4
2020/07/01,02:00,23.0,0.0,100,22,0.4
2020/07/01,03:00,23.0,0.0,100,111,0.0
2020/07/01,04:00,22.8,0.0,100,46,0.1
2020/07/01,05:00,22.5,0.0,100,77,0.0
2020/07/01,06:00,22.0,0.0,100,219,0.5
2020/07/01,07:00,23.4,0.0,100,116,0.5
2020/07/01,08:00,29.3,0.0,70,125,1.5
2020/07/01,09:00,33.1,0.0,53,117,1.5
2020/07/01,10:00,31.8,0.0,56,97,1.0
2020/07/01,11:00,31.7,0.0,62,186,2.9
2020/07/01,12:00,27.4,0.6,79,94,2.2
2020/07/01,13:00,25.1,1.8,90,4,2.2
2020/07/01,14:00,29.6,0.0,69,305,2.8
2020/07/01,15:00,31.8,0.0,59,164,2.7
2020/07/01,16:00,24.8,2.7,97,83,0.7
2020/07/01,17:00,24.1,0.0,97,81,1.0
2020/07/01,18:00,23.5,1.2,100,44,1.4
2020/07/01,19:00,23.3,0.3,100,200,0.0
2020/07/01,20:00,23.4,0.0,100,350,0.9
2020/07/01,21:00,23.3,0.0,100,73,0.7
2020/07/01,22:00,22.7,0.0,100,95,1.0
2020/07/01,23:00,22.8,0.0,100,13,0.5
2020/07/02,00:00,22.7,0.0,100,314,1.6
2020/07/02,01:00,22.7,0.0,100,55,1.9
2020/07/02,02:00,22.5,0.0,100,24,0.7
2020/07/02,03:00,22.3,0.0,100,45,0.0
2020/07/02,04:00,22.0,0.0,100,329,0.4
2020/07/02,05:00,21.5,0.0,100,20,1.1
2020/07/02,06:00,21.3,0.3,100,21,1.3
2020/07/02,07:00,22.5,0.0,100,29,0.8
2020/07/02,08:00,28.5,0.0,65,20,1.7
2020/07/02,09:00,32.3,0.0,55,91,1.7
2020/07/02,10:00,29.7,0.0,63,143,1.9
2020/07/02,11:00,32.1,0.0,53,79,1.9
2020/07/02,12:00,35.2,0.0,44,156,2.9
2020/07/02,13:00,31.8,0.0,56,167,0.2
2020/07/02,14:00,30.7,0.0,62,17,2.3
2020/07/02,15:00,33.4,0.0,58,114,2.3
2020/07/02,16:00,31.8,0.3,59,107,0.7
2020/07/02,17:00,32.4,0.0,54,109,1.1
