Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/09/01,00:00,23.9,0.0,100,192,1.6
2020/09/01,01:00,24.6,0.0,85,153,3.5
2020/09/01,02:00,24.6,0.0,81,156,3.7
2020/09/01,03:00,24.1,0.0,84,162,2.7
2020/09/01,04:00,23.9,0.0,86,178,2.9
2020/09/01,05:00,23.5,0.0,87,191,3.5
2020/09/01,06:00,23.2,0.0,89,214,1.4
2020/09/01,07:00,25.7,0.0,77,252,1.9
2020/09/01,08:00,29.5,0.0,64,241,1.5
2020/09/01,09:00,30.5,0.0,58,157,2.2
2020/09/01,10:00,30.7,0.0,57,212,2.5
2020/09/01,11:00,31.0,0.0,57,220,3.3
2020/09/01,12:00,31.1,0.0,57,262,3.0
2020/09/01,13:00,35.5,0.0,43,165,4.0
2020/09/01,14:00,33.3,0.0,50,164,2.5
2020/09/01,15:00,29.1,0.0,68,331,2.6
2020/09/01,16:00,25.0,0.0,80,33,2.4
2020/09/01,17:00,23.9,0.0,85,298,1.6
2020/09/01,18:00,23.6,0.0,88,297,2.5
2020/09/01,19:00,23.2,0.3,100,0,1.8
2020/09/01,20:00,23.2,0.0,100,7,1.8
2020/09/01,21:00,23.1,0.3,100,66,1.7
2020/09/01,22:00,22.5,0.0,100,15,1.4
2020/09/01,23:00,22.4,0.0,100,332,2.4
2020/09/02,00:00,22.5,0.0,100,165,3.2
2020/09/02,01:00,22.9,0.0,100,315,1.9
2020/09/02,02:00,22.6,0.0,100,272,2.1
2020/09/02,03:00,22.0,0.0,93,256,2.3
2020/09/02,04:00,21.5,0.0,100,231,1.5
2020/09/02,05:00,20.9,0.0,100,38,0.5
2020/09/02,06:00,20.8,0.0,100,83,1.4
2020/09/02,07:00,21.6,0.0,100,79,1.2
2020/09/02,08:00,23.2,0.0,89,68,0.9
2020/09/02,09:00,27.0,0.0,70,162,2.3
2020/09/02,10:00,30.6,0.0,60,136,2.6
2020/09/02,11:00,29.5,0.0,64,118,3.1
2020/09/02,12:00,30.0,0.0,59,89,2.0
2020/09/02,13:00,33.4,0.0,47,180,3.5
2020/09/02,14:00,34.5,0.0,43,166,4.5
2020/09/02,15:00,33.7,0.0,50,329,1.0
2020/09/02,16:00,33.1,0.0,46,208,3.0
2020/09/02,17:00,32.1,0.0,51,199,2.2
