Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/01/01,00:00,23.5,0.0,100,30,0.6
2021/01/01,01:00,23.5,0.0,100,345,1.5
2021/01/01,02:00,23.8,0.0,100,308,0.0
2021/01/01,03:00,23.5,0.0,100,37,0.3
2021/01/01,04:00,23.2,0.0,100,356,1.0
2021/01/01,05:00,22.9,0.0,100,350,0.5
2021/01/01,06:00,22.8,0.0,100,10,1.9
2021/01/01,07:00,24.1,0.0,100,42,0.6
2021/01/01,08:00,23.9,5.4,100,81,2.6
2021/01/01,09:00,24.3,0.6,100,51,1.3
2021/01/01,10:00,29.2,0.0,73,47,1.9
2021/01/01,11:00,27.9,0.0,74,25,4.3
2021/01/01,12:00,29.3,0.0,67,7,3.6
2021/01/01,13:00,31.0,0.0,62,6,2.8
2021/01/01,14:00,29.2,0.0,68,345,5.7
2021/01/01,15:00,28.5,0.0,70,334,3.4
2021/01/01,16:00,27.7,0.0,75,270,2.0
2021/01/01,17:00,23.0,37.5,100,68,2.2
2021/01/01,18:00,23.1,2.1,100,303,1.2
2021/01/01,19:00,22.9,0.0,100,11,1.6
2021/01/01,20:00,22.8,0.0,100,345,1.1
2021/01/01,21:00,22.8,0.0,100,353,0.7
2021/01/01,22:00,22.6,0.0,100,284,1.7
2021/01/01,23:00,22.4,0.0,100,260,0.5
2021/01/02,00:00,22.4,0.0,100,304,1.0
2021/01/02,01:00,22.4,0.0,100,222,1.1
2021/01/02,02:00,22.4,0.0,100,214,0.9
2021/01/02,03:00,22.4,0.3,100,187,1.2
2021/01/02,04:00,22.3,0.0,100,82,0.3
2021/01/02,05:00,22.2,0.0,100,26,1.0
2021/01/02,06:00,22.3,0.0,100,117,0.5
2021/01/02,07:00,22.7,0.3,100,204,1.2
2021/01/02,08:00,23.4,0.0,100,192,3.5
2021/01/02,09:00,23.5,0.0,92,228,0.9
2021/01/02,10:00,24.4,0.0,86,257,1.1
2021/01/02,11:00,25.7,0.3,84,210,2.2
2021/01/02,12:00,23.7,3.6,100,202,2.5
2021/01/02,13:00,26.7,0.0,78,282,2.2
2021/01/02,14:00,24.5,2.7,100,210,0.3
2021/01/02,15:00,25.3,1.2,87,264,2.8
2021/01/02,16:00,24.9,0.3,91,330,2.9
2021/01/02,17:00,26.8,0.3,76,338,3.4
