Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/08/01,00:00,21.4,0.0,100,11,1.1
2020/08/01,01:00,21.1,0.0,100,340,1.3
2020/08/01,02:00,21.0,0.0,100,347,1.9
2020/08/01,03:00,21.3,0.0,100,339,1.2
2020/08/01,04:00,21.2,0.0,100,350,1.0
2020/08/01,05:00,20.9,0.0,100,334,0.2
2020/08/01,06:00,20.7,0.0,100,253,0.0
2020/08/01,07:00,22.3,0.0,100,264,0.0
2020/08/01,08:00,26.6,0.0,78,179,2.2
2020/08/01,09:00,29.4,0.0,60,199,3.4
2020/08/01,10:00,32.4,0.0,51,174,4.5
2020/08/01,11:00,32.8,0.0,48,172,5.2
2020/08/01,12:00,34.1,0.0,44,174,6.2
2020/08/01,13:00,33.9,0.0,43,178,4.6
2020/08/01,14:00,35.1,0.0,40,164,4.1
2020/08/01,15:00,36.1,0.0,34,166,2.4
2020/08/01,16:00,35.8,0.0,38,177,4.2
2020/08/01,17:00,33.9,0.0,44,158,2.4
2020/08/01,18:00,26.9,0.0,72,149,0.9
2020/08/01,19:00,24.0,0.0,89,354,0.9
2020/08/01,20:00,23.0,0.0,96,355,1.0
2020/08/01,21:00,22.3,0.0,100,344,1.1
2020/08/01,22:00,21.8,0.0,100,9,0.7
2020/08/01,23:00,21.3,0.0,100,37,0.3
2020/08/02,00:00,20.7,0.0,100,18,1.1
2020/08/02,01:00,20.3,0.0,100,6,1.0
2020/08/02,02:00,19.9,0.0,100,356,1.2
2020/08/02,03:00,19.5,0.0,100,9,0.8
2020/08/02,04:00,19.0,0.0,100,19,1.1
2020/08/02,05:00,18.9,0.0,100,5,0.9
2020/08/02,06:00,18.6,0.0,100,354,1.0
2020/08/02,07:00,20.2,0.0,100,35,0.0
2020/08/02,08:00,27.2,0.0,82,159,0.3
2020/08/02,09:00,32.2,0.0,50,133,1.6
2020/08/02,10:00,32.1,0.0,51,202,2.1
2020/08/02,11:00,33.9,0.0,45,122,2.5
2020/08/02,12:00,34.6,0.0,42,123,3.2
2020/08/02,13:00,35.0,0.0,39,128,2.9
2020/08/02,14:00,36.0,0.0,34,161,3.3
2020/08/02,15:00,36.9,0.0,32,133,2.3
2020/08/02,16:00,36.0,0.0,32,178,2.9
2020/08/02,17:00,34.5,0.0,41,176,2.1
