Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : ENAPU PERU
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
,Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
,Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2020/12/01,00:00,110.82,0.0
2020/12/01,01:00,110.83,0.0
2020/12/01,02:00,110.83,0.0
2020/12/01,03:00,110.84,0.0
2020/12/01,04:00,110.84,0.0
2020/12/01,05:00,110.84,0.0
2020/12/01,06:00,110.83,0.0
2020/12/01,07:00,110.82,0.0
2020/12/01,08:00,110.85,0.0
2020/12/01,09:00,110.86,0.0
2020/12/01,10:00,110.86,0.0
2020/12/01,11:00,110.85,0.0
2020/12/01,12:00,110.85,0.0
2020/12/01,13:00,110.85,0.0
2020/12/01,14:00,110.86,0.0
2020/12/01,15:00,110.81,0.0
2020/12/01,16:00,110.80,0.0
2020/12/01,17:00,110.80,0.0
2020/12/01,18:00,110.81,0.0
2020/12/01,19:00,110.80,0.0
2020/12/01,20:00,110.80,0.0
2020/12/01,21:00,110.80,0.0
2020/12/01,22:00,110.80,0.0
2020/12/01,23:00,110.80,0.0
2020/12/02,00:00,110.80,0.0
2020/12/02,01:00,110.79,0.0
2020/12/02,02:00,110.79,0.0
2020/12/02,03:00,110.80,0.0
2020/12/02,04:00,110.80,0.0
2020/12/02,05:00,110.79,0.0
2020/12/02,06:00,110.79,0.0
2020/12/02,07:00,110.79,0.0
2020/12/02,08:00,110.78,0.0
2020/12/02,09:00,110.79,0.0
2020/12/02,10:00,110.78,0.0
2020/12/02,11:00,110.78,0.0
2020/12/02,12:00,110.78,0.0
2020/12/02,13:00,110.78,0.0
2020/12/02,14:00,110.79,0.6
2020/12/02,16:00,110.78,0.0
2020/12/02,17:00,110.78,0.0
2020/12/02,18:00,110.78,0.0
2020/12/02,19:00,110.78,0.0
2020/12/02,20:00,110.77,0.0
2020/12/02,21:00,110.77,0.0
2020/12/02,22:00,110.77,0.0
2020/12/02,23:00,110.77,0.0
2020/12/03,00:00,110.78,0.0
2020/12/03,01:00,110.77,0.0
2020/12/03,02:00,110.78,0.0
2020/12/03,03:00,110.77,0.0
2020/12/03,04:00,110.78,0.0
2020/12/03,05:00,110.78,0.0
2020/12/03,06:00,110.81,0.9
2020/12/03,07:00,110.79,0.6
2020/12/03,08:00,110.80,1.8
2020/12/03,09:00,110.80,1.2
2020/12/03,10:00,110.82,0.3
2020/12/03,11:00,110.81,0.0
2020/12/03,12:00,110.81,0.0
2020/12/03,13:00,110.81,0.0
2020/12/03,14:00,110.82,0.0
2020/12/03,15:00,110.81,0.0
2020/12/03,16:00,110.82,0.0
2020/12/03,17:00,110.83,0.0
2020/12/03,18:00,110.83,0.0
2020/12/03,19:00,110.83,0.0
2020/12/03,20:00,110.83,0.0
2020/12/03,21:00,110.84,S/D
2020/12/03,22:00,110.83,0.0
2020/12/03,23:00,110.84,0.0
2020/12/04,00:00,110.84,0.0
2020/12/04,01:00,110.84,0.0
2020/12/04,02:00,110.84,0.0
2020/12/04,03:00,110.85,0.0
2020/12/04,04:00,110.84,0.0
2020/12/04,05:00,110.84,0.0
2020/12/04,06:00,110.85,0.0
2020/12/04,07:00,110.84,0.0
2020/12/04,08:00,110.85,0.0
2020/12/04,09:00,110.85,0.0
2020/12/04,10:00,110.85,0.0
2020/12/04,11:00,110.85,0.0
2020/12/04,12:00,110.86,0.0
2020/12/04,13:00,110.86,0.0
2020/12/04,14:00,110.86,0.6
2020/12/04,15:00,110.86,6.3
2020/12/04,16:00,110.84,0.0
2020/12/04,17:00,110.85,0.0
2020/12/04,18:00,110.85,0.0
2020/12/04,19:00,110.84,0.0
2020/12/04,20:00,110.84,0.0
2020/12/04,21:00,110.89,7.8
2020/12/04,22:00,110.85,0.9
2020/12/04,23:00,110.87,1.8
2020/12/05,00:00,110.85,0.3
2020/12/05,01:00,110.86,0.9
2020/12/05,02:00,110.87,0.9
2020/12/05,03:00,110.86,0.0
2020/12/05,04:00,110.87,0.0
2020/12/05,05:00,110.87,0.3
2020/12/05,06:00,110.87,0.0
2020/12/05,07:00,110.88,0.0
2020/12/05,08:00,110.88,0.0
2020/12/05,09:00,110.88,0.0
2020/12/05,10:00,110.89,0.0
2020/12/05,11:00,110.89,0.0
2020/12/05,12:00,110.89,0.0
2020/12/05,13:00,110.91,1.5
2020/12/05,14:00,110.94,4.5
2020/12/05,15:00,110.92,1.2
2020/12/05,16:00,110.93,0.0
2020/12/05,17:00,110.93,0.0
2020/12/05,18:00,110.93,0.0
2020/12/05,19:00,110.94,0.0
2020/12/05,20:00,110.94,0.0
2020/12/05,21:00,110.95,0.0
2020/12/05,22:00,110.96,0.0
2020/12/05,23:00,110.97,0.0
2020/12/06,00:00,110.97,0.0
2020/12/06,01:00,110.98,0.0
2020/12/06,02:00,110.99,0.0
2020/12/06,03:00,110.99,0.0
2020/12/06,04:00,111.00,0.0
2020/12/06,05:00,111.01,0.0
2020/12/06,06:00,111.02,0.0
2020/12/06,07:00,111.03,0.0
2020/12/06,08:00,111.03,0.0
2020/12/06,09:00,111.04,0.0
2020/12/06,10:00,111.05,0.0
2020/12/06,11:00,111.07,0.0
2020/12/06,12:00,111.08,0.0
2020/12/06,13:00,111.08,0.0
2020/12/06,14:00,111.09,0.0
2020/12/06,15:00,111.10,0.0
2020/12/06,16:00,111.11,0.0
2020/12/06,17:00,111.11,0.0
2020/12/06,18:00,111.12,0.0
2020/12/06,19:00,111.14,0.0
2020/12/06,20:00,111.15,0.0
2020/12/06,21:00,111.16,0.0
2020/12/06,22:00,111.16,0.0
2020/12/06,23:00,111.17,0.0
2020/12/07,00:00,111.19,0.0
2020/12/07,01:00,111.19,0.0
2020/12/07,02:00,111.20,0.0
2020/12/07,03:00,111.21,0.0
2020/12/07,04:00,111.22,0.0
2020/12/07,05:00,111.24,0.0
2020/12/07,06:00,111.25,0.0
2020/12/07,07:00,111.26,0.0
2020/12/07,08:00,111.27,0.0
2020/12/07,09:00,111.28,0.0
2020/12/07,10:00,111.29,0.0
