Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : ENAPU PERU
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
,Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
,Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2020/10/01,00:00,109.68,0.0
2020/10/01,01:00,109.70,0.0
2020/10/01,02:00,109.70,0.0
2020/10/01,03:00,109.71,0.0
2020/10/01,04:00,109.72,0.0
2020/10/01,05:00,109.73,0.0
2020/10/01,06:00,109.74,0.0
2020/10/01,07:00,109.75,0.0
2020/10/01,08:00,109.76,0.0
2020/10/01,09:00,109.77,0.0
2020/10/01,11:00,109.78,0.0
2020/10/01,12:00,109.79,0.0
2020/10/01,13:00,109.79,0.0
2020/10/01,14:00,109.80,0.0
2020/10/01,15:00,109.81,0.0
2020/10/01,16:00,109.81,0.0
2020/10/01,17:00,109.82,0.0
2020/10/01,18:00,109.83,0.0
2020/10/01,19:00,109.83,0.0
2020/10/01,20:00,109.83,0.0
2020/10/01,21:00,109.83,0.0
2020/10/01,22:00,109.84,0.0
2020/10/01,23:00,109.84,0.0
2020/10/02,00:00,109.85,0.0
2020/10/02,01:00,109.84,0.0
2020/10/02,02:00,109.84,0.0
2020/10/02,03:00,109.85,0.0
2020/10/02,04:00,109.85,0.0
2020/10/02,05:00,109.86,0.0
2020/10/02,06:00,109.86,0.0
2020/10/02,07:00,109.87,0.0
2020/10/02,08:00,109.87,0.0
2020/10/02,11:00,109.87,0.0
2020/10/02,12:00,109.88,0.0
2020/10/02,13:00,109.87,0.0
2020/10/02,14:00,109.86,0.0
2020/10/02,15:00,109.86,0.0
2020/10/02,16:00,109.86,0.0
2020/10/02,17:00,109.86,0.0
2020/10/02,18:00,109.87,0.0
2020/10/02,19:00,109.87,0.0
2020/10/02,20:00,109.86,0.0
2020/10/02,21:00,109.87,0.0
2020/10/02,22:00,109.87,0.0
2020/10/02,23:00,109.86,0.0
2020/10/03,00:00,109.87,0.0
2020/10/03,01:00,109.87,0.0
2020/10/03,02:00,109.87,0.0
2020/10/03,03:00,109.87,0.0
2020/10/03,04:00,109.87,0.0
2020/10/03,05:00,109.87,0.0
2020/10/03,06:00,109.87,0.0
2020/10/03,07:00,109.88,0.0
2020/10/03,08:00,109.88,0.0
2020/10/03,09:00,109.88,0.0
2020/10/03,10:00,109.88,0.0
2020/10/03,11:00,109.88,0.0
2020/10/03,13:00,109.88,0.0
2020/10/03,14:00,109.89,0.0
2020/10/03,15:00,109.88,0.0
2020/10/03,16:00,109.89,0.0
2020/10/03,17:00,109.89,0.0
2020/10/03,18:00,109.89,0.0
2020/10/03,19:00,109.89,0.0
2020/10/03,20:00,109.90,0.0
2020/10/03,21:00,109.90,0.0
2020/10/03,22:00,109.89,0.0
2020/10/03,23:00,109.90,0.0
2020/10/04,00:00,109.90,0.0
2020/10/04,01:00,109.90,0.0
2020/10/04,02:00,109.90,0.0
2020/10/04,03:00,109.97,8.7
2020/10/04,04:00,109.94,2.7
2020/10/04,05:00,109.94,2.7
