Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : NAUTA
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
,Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-09-01,3.80,3.80,3.80,3.84
2017-09-02,3.86,3.86,3.86,3.86
2017-09-03,3.80,3.80,3.80,3.80
2017-09-04,3.70,3.70,3.66,3.50
2017-09-05,3.40,3.38,3.34,3.32
2017-09-06,3.26,3.24,3.20,3.18
2017-09-07,3.22,3.20,3.16,3.14
2017-09-08,3.10,3.08,3.04,3.00
2017-09-09,2.90,2.90,2.90,2.90
2017-09-10,2.86,2.86,2.86,2.86
2017-09-11,2.86,2.86,2.86,2.88
2017-09-12,2.84,2.84,2.84,2.84
2017-09-13,2.84,2.84,2.86,2.86
2017-09-14,2.90,2.92,2.92,2.92
2017-09-15,2.90,2.88,2.86,2.86
2017-09-16,2.80,2.82,2.84,2.86
2017-09-17,2.90,2.98,3.08,3.14
2017-09-18,3.32,3.36,3.40,3.42
2017-09-19,3.48,3.52,3.56,3.60
2017-09-20,3.70,3.74,3.80,3.86
2017-09-21,3.96,3.98,3.98,4.00
2017-09-22,4.58,4.64,4.72,4.82
2017-09-23,4.90,5.00,5.00,5.00
2017-09-24,4.94,5.00,5.00,5.00
2017-09-25,4.82,4.80,4.74,4.70
2017-09-26,4.56,4.56,4.56,4.56
2017-09-27,4.38,4.30,4.28,4.26
2017-09-28,4.18,4.18,4.16,4.16
2017-09-29,4.08,4.08,4.08,4.06
2017-09-30,4.04,4.04,4.00,4.00
