Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BORJA
,Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,MANSERICHE
,Latitud :,4°28'12'',Longitud :,77°32'52.8'',Altitud :,152 msnm.
,Tipo :,HLM - Hidrológica,Código :,220107
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-09-01,3.10,3.12,3.14,3.14
2020-09-02,3.12,3.10,3.08,3.08
2020-09-03,3.06,3.08,3.15,3.25
2020-09-04,3.15,3.12,3.10,3.10
2020-09-05,3.05,3.04,3.02,2.98
2020-09-06,3.35,3.40,3.42,3.45
2020-09-07,3.60,3.62,3.64,3.62
2020-09-08,3.50,3.48,3.48,3.50
2020-09-09,3.80,3.98,3.95,3.65
2020-09-10,3.45,3.44,3.42,3.42
2020-09-11,3.38,3.35,3.32,3.30
2020-09-12,3.25,3.25,3.28,3.35
2020-09-13,3.38,3.35,3.32,3.30
2020-09-14,3.35,3.32,3.30,3.28
2020-09-15,3.32,3.35,3.38,3.38
2020-09-16,3.35,3.38,3.40,3.40
2020-09-17,3.48,3.50,3.52,3.52
2020-09-18,3.45,3.42,3.40,3.35
2020-09-19,3.50,3.55,3.62,3.68
2020-09-20,3.65,3.62,3.60,3.60
2020-09-21,3.95,4.02,3.98,3.95
2020-09-22,3.72,3.70,3.68,3.68
2020-09-23,3.85,3.82,3.80,3.68
2020-09-24,4.10,4.70,4.85,5.20
2020-09-25,5.98,6.20,6.42,6.52
2020-09-26,6.30,6.10,5.95,5.80
2020-09-27,5.12,4.98,4.70,4.62
2020-09-28,4.02,3.98,3.80,3.75
2020-09-29,3.68,3.72,3.90,4.30
2020-09-30,4.70,4.68,4.68,4.70
