Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BORJA
,Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,MANSERICHE
,Latitud :,4°28'12'',Longitud :,77°32'52.8'',Altitud :,152 msnm.
,Tipo :,HLM - Hidrológica,Código :,220107
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-04-01,6.35,6.60,6.75,6.88
2023-04-02,6.78,6.65,6.60,6.50
2023-04-03,6.02,5.90,5.80,5.80
2023-04-04,6.10,6.15,6.24,6.30
2023-04-05,6.40,6.34,6.30,6.25
2023-04-06,5.84,5.78,5.68,5.50
2023-04-07,5.24,5.22,5.18,5.18
2023-04-08,5.54,5.80,6.10,6.75
2023-04-09,7.78,7.95,8.40,8.72
2023-04-10,8.58,8.30,8.05,7.85
2023-04-11,7.02,6.60,6.35,6.10
2023-04-12,5.60,5.54,5.50,5.48
2023-04-13,5.58,5.65,5.72,5.80
2023-04-14,6.05,6.15,6.15,6.08
2023-04-15,5.75,5.70,5.64,5.62
2023-04-16,5.60,5.45,5.35,5.30
2023-04-17,5.10,5.25,5.58,6.14
2023-04-18,6.85,6.88,6.88,6.85
2023-04-19,6.35,6.20,6.15,5.90
2023-04-20,6.40,6.65,6.80,6.88
2023-04-21,6.48,6.30,6.18,6.10
2023-04-22,5.85,5.82,5.74,5.65
2023-04-23,5.52,5.48,5.42,5.42
2023-04-24,6.05,6.20,6.35,6.38
2023-04-25,6.12,5.98,5.94,5.90
2023-04-26,5.88,5.92,5.98,6.02
2023-04-27,5.80,5.68,5.62,5.40
2023-04-28,5.20,5.25,5.35,5.38
2023-04-29,5.64,5.64,5.70,5.75
2023-04-30,5.82,5.85,5.88,5.88
