AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-09-01,112.520,112.510,112.500,112.480
2018-09-02,112.460,112.460,112.450,112.440
2018-09-03,112.380,0.000,0.000,0.000
