Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL ESTRECHO
,Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
,Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
,Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2015-02-01,0.20,7.23,7.00,7.32
2015-02-02,7.32,7.32,7.32,7.32
2015-02-03,7.32,7.32,7.32,7.32
2015-02-04,7.32,7.31,7.30,7.28
2015-02-05,7.30,7.32,7.33,7.34
2015-02-06,7.43,7.44,7.45,7.47
2015-02-07,7.58,7.63,7.56,7.70
2015-02-08,7.75,7.76,7.78,7.80
2015-02-09,7.84,7.85,7.86,7.88
2015-02-10,7.92,7.93,7.93,7.94
2015-02-11,7.92,7.92,7.92,7.92
2015-02-12,7.90,7.89,7.89,7.89
2015-02-13,7.87,7.86,7.89,7.90
2015-02-14,7.99,8.01,8.02,8.02
2015-02-15,8.03,8.03,8.03,8.03
2015-02-16,8.03,8.04,8.11,8.15
2015-02-17,8.22,8.25,8.27,8.30
2015-02-18,8.30,8.30,8.31,8.31
2015-02-19,8.31,8.29,8.26,8.24
2015-02-20,8.15,8.12,8.09,8.05
2015-02-21,8.01,7.98,7.97,7.95
2015-02-22,7.73,7.70,7.65,7.68
2015-02-23,7.56,7.53,7.51,7.48
2015-02-24,7.30,7.25,7.17,7.10
2015-02-25,6.99,6.70,6.65,6.60
2015-02-26,6.40,6.35,6.30,6.25
2015-02-27,6.10,6.15,6.10,5.99
2015-02-28,5.80,5.77,5.74,5.70
