Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL ESTRECHO
,Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
,Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
,Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2014-03-01,3.56,3.57,3.58,3.59
2014-03-02,3.70,3.74,3.77,3.80
2014-03-03,3.85,3.90,3.98,4.04
2014-03-04,4.14,4.16,4.20,4.24
2014-03-05,4.35,4.37,4.40,4.43
2014-03-06,4.53,4.56,4.58,4.60
2014-03-07,4.74,4.79,4.84,4.95
2014-03-08,5.32,5.38,5.45,5.53
2014-03-09,5.76,5.79,5.85,5.90
2014-03-10,5.98,6.01,6.05,6.08
2014-03-11,6.09,6.08,6.07,6.07
2014-03-12,6.06,6.02,5.99,5.96
2014-03-13,5.99,5.99,5.99,5.99
2014-03-14,5.98,5.98,5.97,5.97
2014-03-15,5.97,5.97,5.97,5.97
2014-03-16,5.96,5.96,5.96,5.96
2014-03-17,5.87,5.86,5.85,5.84
2014-03-18,5.78,5.79,5.80,5.81
2014-03-19,5.87,5.89,5.90,5.92
2014-03-20,6.01,6.04,6.06,6.10
2014-03-21,6.16,6.19,6.24,6.26
2014-03-22,6.30,6.31,6.33,6.34
2014-03-23,6.42,6.44,6.45,6.46
2014-03-24,6.44,6.44,6.43,6.42
2014-03-25,6.43,6.43,6.43,6.43
2014-03-26,6.40,6.38,6.36,6.35
2014-03-27,6.60,6.70,6.80,6.90
2014-03-28,7.10,7.17,7.23,7.28
2014-03-29,7.43,7.50,7.55,7.60
2014-03-30,7.70,7.73,7.76,7.80
2014-03-31,7.85,7.85,7.85,7.85
