Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL ESTRECHO
,Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
,Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
,Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2014-08-01,8.95,8.95,8.94,8.93
2014-08-02,8.92,8.92,8.91,8.91
2014-08-03,8.91,8.91,8.91,8.91
2014-08-04,8.91,8.90,8.89,8.88
2014-08-05,8.86,8.86,8.85,8.84
2014-08-06,8.82,8.82,8.82,8.82
2014-08-07,8.82,8.82,8.82,8.82
2014-08-08,8.81,8.81,8.80,8.80
2014-08-09,8.80,8.80,8.79,8.79
2014-08-10,8.79,8.79,8.79,8.79
2014-08-11,8.79,8.78,8.77,8.77
2014-08-12,8.79,8.79,8.80,8.80
2014-08-13,8.80,8.80,8.81,8.80
2014-08-14,8.79,8.80,8.81,8.82
2014-08-15,8.81,8.81,8.80,8.80
2014-08-16,8.80,8.80,8.79,8.79
2014-08-17,8.79,8.79,8.78,8.78
2014-08-18,8.78,8.78,8.78,8.78
2014-08-19,8.78,8.78,8.17,8.77
2014-08-20,8.79,8.80,8.81,8.82
2014-08-21,8.81,8.50,8.32,8.17
2014-08-22,8.15,8.15,8.15,8.15
2014-08-23,8.15,8.15,8.15,8.15
2014-08-24,8.15,8.15,8.15,8.15
2014-08-25,8.15,8.15,8.15,8.15
2014-08-26,8.16,8.16,8.17,8.17
2014-08-27,8.16,8.14,8.13,8.13
2014-08-28,8.17,8.17,8.17,8.17
2014-08-29,8.19,8.18,8.17,8.16
2014-08-30,8.10,8.08,8.06,8.05
2014-08-31,8.04,8.02,7.99,7.98
