Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MORALILLO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°53'58.8'',Longitud :,73°20'18'',Altitud :,106 msnm.
,Tipo :,CP - Meteorológica,Código :,103023
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-07-01,32.4,S/D,80.4,0.0
2018-07-02,33.4,S/D,79.0,0.0
2018-07-03,33.6,S/D,75.0,0.0
2018-07-04,32.6,S/D,83.3,0.0
2018-07-05,31.2,S/D,89.4,0.0
2018-07-06,32.2,S/D,83.4,0.0
2018-07-07,33,S/D,83.6,0.0
2018-07-08,31,S/D,90.9,0.9
2018-07-09,28.2,S/D,92.9,16.8
2018-07-10,24.2,S/D,96.7,0.7
2018-07-11,30.2,S/D,95.5,0.0
2018-07-12,30,S/D,93.1,0.0
2018-07-13,29,S/D,93.0,0.0
2018-07-14,32.4,S/D,88.8,0.0
2018-07-15,32.6,S/D,86.0,0.0
2018-07-16,32,S/D,82.2,12.6
2018-07-17,30,S/D,93.6,0.4
2018-07-18,31,S/D,88.2,0.0
2018-07-19,33.2,S/D,80.9,10.8
2018-07-20,31,S/D,90.2,21.2
2018-07-21,28.2,S/D,95.5,35.4
2018-07-22,26.6,S/D,97.3,6.6
2018-07-23,32.2,S/D,88.7,0.0
2018-07-24,33.4,S/D,77.6,0.0
2018-07-25,32,S/D,85.4,0.0
2018-07-26,33,S/D,82.5,0.0
2018-07-27,31.6,S/D,86.4,0.0
2018-07-28,32,S/D,84.9,0.0
2018-07-29,28.4,S/D,94.4,12.4
2018-07-30,31.8,S/D,89.1,10.8
2018-07-31,31.6,S/D,88.2,34.6
