Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MORALILLO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°53'58.8'',Longitud :,73°20'18'',Altitud :,106 msnm.
,Tipo :,CP - Meteorológica,Código :,103023
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-12-01,S/D,S/D,88.9,0.0
2020-12-02,S/D,S/D,87.3,20.8
2020-12-03,S/D,S/D,88.4,10.5
2020-12-04,S/D,S/D,90.7,10.8
2020-12-05,S/D,S/D,89.4,20.5
2020-12-06,S/D,S/D,87.5,0.0
2020-12-07,S/D,S/D,88.9,10.8
2020-12-08,S/D,S/D,92.8,9.5
2020-12-09,S/D,S/D,89.4,10.4
2020-12-10,S/D,S/D,88.6,8.2
2020-12-11,S/D,S/D,86.7,20.8
2020-12-12,S/D,S/D,88.3,19.6
2020-12-13,S/D,S/D,92.8,6.4
2020-12-14,S/D,S/D,88.3,10.5
2020-12-15,S/D,S/D,88.3,30.0
2020-12-16,S/D,S/D,88.4,17.0
2020-12-17,S/D,S/D,87.8,0.0
2020-12-18,S/D,S/D,88.9,0.0
2020-12-19,S/D,S/D,87.3,4.2
2020-12-20,S/D,S/D,89.9,6.2
2020-12-21,S/D,S/D,87.8,6.4
2020-12-22,S/D,S/D,88.9,10.6
2020-12-23,S/D,S/D,87.8,8.2
2020-12-24,S/D,S/D,87.2,8.2
2020-12-25,S/D,S/D,86.8,0.0
2020-12-26,S/D,S/D,87.3,0.0
2020-12-27,S/D,S/D,89.4,8.2
2020-12-28,S/D,S/D,88.2,20.4
2020-12-29,S/D,S/D,87.8,0.0
2020-12-30,S/D,S/D,S/D,S/D
2020-12-31,S/D,S/D,S/D,S/D
